Rank,Player,Rating
1,Kylian Mbappé,8.22
2,Lionel Messi,7.96
3,Neymar,7.92
4,Dimitri Payet,7.76
5,Aurélien Tchouaméni,7.66
6,Marco Verratti,7.65
7,Bruno Guimaraes,7.64
8,Benjamin Bourigeaud,7.63
9,Martin Terrier,7.62
10,Téji Savanier,7.60
11,Jonathan Clauss,7.54
12,Florian Tardieu,7.49
12,Ángel Di Maria,7.49
14,Danilo Pereira,7.48
15,Romain Faivre,7.44
16,Lucas Paquetá,7.44
17,Moussa Dembélé,7.43
18,Franck Honorat,7.42
19,Benjamin André,7.42
20,Karl Toko Ekambi,7.40
21,Jimmy Cabot,7.40
22,Cheick Oumar Doucouré,7.38
23,Hamari Traoré,7.36
24,William Saliba,7.35
25,Achraf Hakimi,7.33
26,Laurent Abergel,7.32
27,Melvin Bard,7.31
28,Lovro Majer,7.31
29,Jean-Clair Todibo,7.31
30,Ruben Aguilar,7.30
30,Seko Fofana,7.30
32,Andrei Girotto,7.29
33,Quentin Merlin,7.29
34,Adrien Thomasson,7.29
35,Flavien Tait,7.28
36,Idrissa Gana Gueye,7.28
37,Wissam Ben Yedder,7.28
38,Caio Henrique,7.28
39,Boubacar Kamara,7.27
40,Benoit Badiashile,7.27
41,Andy Delort,7.25
42,Marquinhos,7.25
43,Renato Sanches,7.23
44,Matteo Guendouzi,7.23
45,Kevin Danso,7.23
46,Konan,7.22
47,Facundo Medina,7.22
47,Jean Onana,7.22
49,Moses Simon,7.20
50,Presnel Kimpembe,7.20
51,Jonathan Gradit,7.20
52,Sofiane Boufal,7.20
53,Valentin Rongier,7.20
54,Houssem Aouar,7.20
54,Florian Sotoca,7.20
56,Rominigue Kouamé,7.19
56,Castello Lukeba,7.19
58,Fabien Centonze,7.18
59,Ludovic Ajorque,7.18
60,Gaëtan Laborde,7.18
61,Frédéric Guilbert,7.17
62,Malo Gusto,7.17
63,Azor Matusiwa,7.17
64,Tiago Djalo,7.17
65,Nicolas Pallois,7.16
66,Gérson,7.16
67,Mario Lemina,7.16
68,Ludovic Blas,7.16
69,Nayef Aguerd,7.15
70,Amine Gouiri,7.15
71,Luan Peres,7.14
72,Xeka,7.13
72,Maxence Caqueret,7.13
72,Anthony Caci,7.13
75,Sanjin Prcic,7.12
76,Pedro Chirivella,7.12
77,Emerson,7.12
78,Guillermo Maripan,7.12
79,Sofiane Diop,7.12
79,Marshall Munetsi,7.12
81,Przemyslaw Frankowski,7.11
82,Pablo Rosario,7.10
83,Dante,7.09
84,Mahdi Camara,7.09
84,Aleksandr Golovin,7.09
84,Lucas Perrin,7.09
87,Dimitri Liénard,7.09
88,Ryad Boudebouz,7.09
89,Mehmet Zeki Celik,7.08
90,Sven Botman,7.08
91,Youssouf Fofana,7.08
92,Thomas Mangani,7.07
93,Alexis Flips,7.07
94,Wylan Cyprien,7.06
95,Hugo Ekitike,7.06
96,Haris Belkebla,7.06
97,Nuno Mendes,7.05
97,Enzo Le Fee,7.05
99,Giulian Biancone,7.05
100,Axel Disasi,7.04
101,Jordan Ferri,7.04
102,Kiki Kouyaté,7.04
103,Kamaldeen Sulemana,7.03
104,Brendan Chardonnet,7.03
104,Jean-Ricner Bellegarde,7.03
106,Mohamed Bayo,7.02
107,Randal Kolo Muani,7.01
108,Cengiz Ünder,7.01
109,Thiago Mendes,7.00
110,Vital N'Simba,7.00
110,Yunis Abdelhamid,7.00
112,Jonathan David,7.00
113,Jonas Martin,7.00
114,Baptiste Santamaria,6.99
115,Alexander Djiku,6.99
116,Gelson Martins,6.99
116,Romain Thomas,6.99
118,Angelo Fulgini,6.98
118,Jean-Kevin Duverne,6.98
120,Ibrahima Sissoko,6.98
120,Birger Meling,6.98
122,Flavius Daniliuc,6.98
123,Justin Kluivert,6.97
124,Thomas Monconduit,6.97
124,Vincent Pajot,6.97
126,Ronaël Pierre-Gabriel,6.97
127,Wout Faes,6.96
128,Lucien Agoume,6.96
129,Amine Harit,6.96
130,Gerzino Nyamsi,6.96
130,Jean Lucas,6.96
132,Denis Bouanga,6.95
133,José Fonte,6.95
134,David Costa,6.95
135,Kevin Volland,6.95
136,Johan Gastien,6.94
136,Duje Caleta-Car,6.94
136,Jonathan Bamba,6.94
136,Jean-Charles Castelletto,6.94
140,Wahbi Khazri,6.93
141,Kévin Gameiro,6.92
141,Jason Berthomier,6.92
141,Léo Dubois,6.92
144,Steve Mounie,6.91
145,Khéphren Thuram-Ulien,6.91
146,Armand Laurienté,6.90
147,Warmed Omari,6.90
148,Pape Sarr,6.89
149,Adrien Truffert,6.89
150,Julien Laporte,6.89
151,Yoann Salmier,6.89
152,Souleyman Doumbia,6.89
152,Hugo Magnetti,6.89
154,Yacine Adli,6.88
155,Ahmadou Bamba Dieng,6.88
156,Xavier Chavalerin,6.87
157,Mamadou Sakho,6.87
158,Vincent Le Goff,6.86
158,Rémi Oudin,6.86
160,Akim Zedadka,6.86
161,Predrag Rajkovic,6.86
162,Florent Mollet,6.86
162,Mihailo Ristic,6.86
162,Fabio,6.86
165,Amadou Onana,6.86
166,Pape Gueye,6.85
166,Elbasan Rashani,6.85
168,Christophe Hérelle,6.85
169,Pol Lirola,6.84
169,Jordan Lotomba,6.84
169,Jérome Boateng,6.84
169,Hichem Boudaoui,6.84
173,Thomas Delaine,6.84
174,Arnaud Souquet,6.83
175,Kasper Dolberg,6.83
176,Ilan Kebbal,6.83
177,Thilo Kehrer,6.83
178,Mickael Nade,6.82
178,Ismaël Traoré,6.82
180,Tristan Dingomé,6.82
181,Romain Del Castillo,6.82
182,Erik Palmer-Brown,6.81
182,Thomas Foket,6.81
184,Enock Kwateng,6.80
185,Alban Lafont,6.79
185,Jonas Omlin,6.79
187,Ismail Jakobs,6.77
188,Habibou Mouhamadou Diallo,6.77
189,Alberth Elis,6.77
190,Nicolas de Préville,6.77
191,Stephy Mavididi,6.76
192,Javairo Dilrosun,6.76
192,Boubacar Traore,6.76
194,Timothée Kolodziejczak,6.74
194,Farid Boulaya,6.74
194,Arnaud Kalimuendo-Muinga,6.74
194,Arkadiusz Milik,6.74
198,Joris Chotard,6.74
199,Yohann Magnin,6.73
200,Georginio Wijnaldum,6.73
201,Issa Kaboré,6.72
202,Terem Moffi,6.72
203,Elye Wahi,6.72
203,Renaud Ripart,6.72
205,Keylor Navas,6.71
205,Zaydou Youssouf,6.71
205,Dylan Bronn,6.71
205,Nicolas Cozza,6.71
209,El Bilal Touré,6.71
210,Walter Benitez,6.71
211,Azzedine Ounahi,6.70
211,Lilian Brassier,6.70
211,Alidu Seidu,6.70
214,Gaël Kakuta,6.69
214,Florent Ogier,6.69
214,Lucas Da Cunha,6.69
217,Andrew Gravillon,6.68
218,Dennis Appiah,6.67
218,Pierrick Capelle,6.67
218,Gabriel Gudmundsson,6.67
218,Lucas Gourna-Douath,6.67
218,Salis Abdul Samed,6.67
223,Youssouf Koné,6.66
224,Timothy Weah,6.66
225,Massadio Haidara,6.65
226,Stian Gregersen,6.65
227,Vincent Manceau,6.64
227,Dion Lopy,6.64
229,Arnaud Nordin,6.63
230,Enzo Ebosse,6.63
230,Osman Bukari,6.63
232,Gideon Mensah,6.62
233,Burak Yilmaz,6.62
233,Jodel Dossou,6.62
235,Ricardo Mangas,6.60
236,Batista Mendy,6.60
237,Jean Aholou,6.59
238,Ui-Jo Hwang,6.59
239,Calvin Stengs,6.58
240,Nathanaël Mbuku,6.57
240,Igor Carioca,6.57
240,Sébastien Corchia,6.57
240,Samuel Moutoussamy,6.57
240,Jimmy Giraudon,6.57
245,Léo Pétrot,6.56
246,Cédric Hountondji,6.55
246,Mama Baldé,6.55
248,Pau Lopez,6.54
248,Junior Sambia,6.54
250,Yoann Touzghar,6.53
250,Bradley Locko,6.53
250,Maxime Estève,6.53
253,Serhou Guirassy,6.52
254,Sékou Mara,6.52
255,Anthony Lopes,6.51
256,Valère Germain,6.51
257,Ivo Grbic,6.51
258,Jérémy Le Douaron,6.51
259,Houboulang Mendes,6.51
259,Alfred Gomis,6.51
261,Matz Sels,6.50
261,Saif-Eddine Khaoui,6.50
263,Timothée Pembélé,6.50
264,Irvin Cardona,6.48
264,Jim Allevinah,6.48
266,Jean-Louis Leca,6.47
267,Quentin Boisgard,6.47
268,Opa Nguette,6.46
269,Paul Bernardoni,6.45
270,Mitchel van Bergen,6.45
271,Yvann Macon,6.44
271,Gauthier Gallon,6.44
271,Harold Moukoudi,6.44
