Rank,Player,Rating
1,Achraf Hakimi,7.91
2,Ousmane Dembélé,7.91
3,Andrey Santos,7.75
4,Mason Greenwood,7.64
5,Joao Neves,7.56
6,Pierre-Emile Højbjerg,7.54
7,Vitinha,7.53
8,Adrien Rabiot,7.52
9,Denis Zakaria,7.51
10,Bradley Barcola,7.50
11,Jonathan Clauss,7.50
11,Rayan Cherki,7.50
13,Djordje Petrovic,7.43
14,Luis Henrique,7.42
14,Przemyslaw Frankowski,7.42
16,Benjamin André,7.39
17,Fabián Ruiz,7.38
18,Dilane Bakwa,7.38
19,Désiré Doué,7.37
20,Corentin Tolisso,7.37
21,Maghnes Akliouche,7.36
22,Marquinhos,7.36
23,Donovan Léon,7.34
24,Lamine Camara,7.32
25,Adrien Thomasson,7.31
26,Nuno Mendes,7.31
27,Kang-In Lee,7.31
28,Evann Guessand,7.31
29,Hicham Boudaoui,7.30
30,Jonathan David,7.29
30,Gaëtan Perrin,7.29
32,Cristian Casseres Jr.,7.29
33,Ludovic Blas,7.28
34,Hákon Arnar Haraldsson,7.28
35,Yahia Fofana,7.27
36,Youssouf Ndayishimiye,7.26
37,Guéla Doué,7.26
38,Leonardo Balerdi,7.26
39,Thilo Kehrer,7.25
40,Wilfried Singo,7.25
41,Alexsandro Ribeiro,7.25
42,Moses Simon,7.24
43,Emanuel Emegha,7.24
44,Neil El Aynaoui,7.24
45,Vanderson,7.22
46,Nicolás Tagliafico,7.21
47,Lucas Beraldo,7.20
48,Amir Murillo,7.19
48,Willian Pacho,7.19
50,Gaëtan Laborde,7.18
51,Ali Abdi,7.18
52,Caio Henrique,7.17
53,Melvin Bard,7.17
54,Yehvann Diouf,7.16
55,Pierre Ekwah,7.16
56,Ludovic Ajorque,7.16
56,Brice Samba,7.16
58,Zuriko Davitashvili,7.15
59,Douglas Augusto,7.15
60,Lucas Chevalier,7.15
61,Diego Moreira,7.14
62,Valentin Rongier,7.14
63,Abdoulaye Touré,7.14
64,Florian Tardieu,7.13
64,Mahdi Camara,7.13
66,Alexandre Lacazette,7.13
67,Azor Matusiwa,7.13
68,Pierre Lees-Melou,7.13
69,Bafodé Diakité,7.13
70,Facundo Medina,7.12
71,Hamed Traorè,7.12
72,Junya Ito,7.12
73,Rémy Cabella,7.12
74,Warren Zaire-Emery,7.12
75,Thomas Meunier,7.12
76,Lucas Perri,7.11
77,Goncalo Ramos,7.11
78,Aron Dønnum,7.11
79,Geoffrey Kondogbia,7.11
80,Marshall Munetsi,7.11
80,Gabriel Suazo,7.11
82,Himad Abdelli,7.10
83,Romain Del Castillo,7.07
84,Gideon Mensah,7.07
84,Nathan Zeze,7.07
86,Vincent Sierro,7.06
86,Jubal,7.06
88,Kenny Lala,7.05
89,Téji Savanier,7.04
90,Ainsley Maitland-Niles,7.03
91,Djibril Sidibé,7.02
92,Geronimo Rulli,7.02
93,Habib Diarra,7.02
94,Eliesse Ben Seghir,7.02
95,Sebastian Nanasi,7.02
96,Kévin Danois,7.01
97,Clinton Mata,7.01
98,Amine Gouiri,7.01
99,Adrien Truffert,7.01
100,Takumi Minamino,7.00
101,Marcin Bulka,7.00
102,Malick Fofana,6.99
103,Félix Lemaréchal,6.99
103,Joseph Okumu,6.99
105,Josué Casimir,6.98
106,Mathias Pereira Lage,6.97
107,Issa Soumaré,6.97
108,Cedric Kipre,6.96
108,Jonathan Gradit,6.96
110,Florent Hanin,6.95
111,Amadou Koné,6.95
112,Clement Akpa,6.94
113,Yann Gboho,6.94
114,Ngal Ayel Mukau,6.94
115,Kamory Doumbia,6.93
116,Sofiane Diop,6.92
117,Duje Caleta-Car,6.92
118,Keito Nakamura,6.92
119,Lucas Stassin,6.92
120,Dante,6.91
120,Nemanja Matic,6.91
122,Romain Faivre,6.90
122,Anass Zaroury,6.90
124,Charlie Cresswell,6.89
124,Benjamin Bouchouari,6.89
126,Lorenz Assignon,6.89
127,Mohamed-Ali Cho,6.88
128,Haris Belkebla,6.87
129,Marco Bizot,6.87
130,Pablo Rosario,6.87
131,Pedro Chirivella,6.87
132,Lassine Sinayoko,6.87
133,Deiver Machado,6.86
133,Philipp Köhn,6.86
135,Andy Diouf,6.85
136,Arnaud Kalimuendo-Muinga,6.85
136,Georges Mikautadze,6.85
138,Quentin Merlin,6.84
139,Moussa Niakhaté,6.84
140,Baptiste Santamaria,6.84
141,Christian Mawissa,6.83
141,Lilian Brassier,6.83
