Rank,Player,Rating
1,Kylian Mbappé,7.85
2,Memphis Depay,7.70
3,Andy Delort,7.51
4,Karl Toko Ekambi,7.46
5,Ángel Di Maria,7.39
6,Marco Verratti,7.31
7,Burak Yilmaz,7.31
8,Farid Boulaya,7.29
9,Wissam Ben Yedder,7.29
10,Zinedine Ferhat,7.28
11,Aleksandr Golovin,7.26
12,Lucas Paquetá,7.26
12,Romain Faivre,7.26
14,Fabien Centonze,7.23
15,Aurélien Tchouaméni,7.22
16,Benjamin André,7.21
17,Reinildo,7.19
18,Gaëtan Laborde,7.19
19,Léo Dubois,7.19
20,Amine Gouiri,7.19
21,Téji Savanier,7.18
22,Marquinhos,7.15
23,Angelo Fulgini,7.14
24,José Fonte,7.14
25,Mehmet Zeki Celik,7.14
26,Ludovic Ajorque,7.13
27,Kevin Volland,7.12
28,Jonathan Bamba,7.11
29,Rafinha,7.11
30,Massadio Haidara,7.11
31,Dimitri Payet,7.09
32,Boubacar Kamara,7.09
33,Sven Botman,7.09
34,Florian Thauvin,7.08
35,Jérémy Doku,7.07
36,Hamari Traoré,7.07
36,Valentin Rongier,7.07
38,Loic Badé,7.06
39,Maxwel Cornet,7.06
40,Ander Herrera,7.06
40,Moise Kean,7.06
42,Ludovic Blas,7.05
42,Martin Terrier,7.05
44,Sofiane Diop,7.04
45,Pape Sarr,7.04
46,Mitchel Bakker,7.03
47,Boubakary Soumaré,7.03
48,Kiki Kouyaté,7.03
49,Mahdi Camara,7.03
50,Ruben Aguilar,7.02
51,Mathieu Debuchy,7.01
52,Caio Henrique,7.00
53,Serhou Guirassy,7.00
54,Tino Kadewere,7.00
55,Idrissa Gana Gueye,7.00
56,Benjamin Bourigeaud,6.99
57,Trevoh Chalobah,6.99
58,Nayef Aguerd,6.99
59,Houssem Aouar,6.99
60,Bruno Guimaraes,6.99
61,Habib Maiga,6.98
62,Yoane Wissa,6.98
63,Gelson Martins,6.97
64,Djibril Sidibé,6.97
64,Cheick Oumar Doucouré,6.97
66,Jonathan Clauss,6.97
67,Danilo Pereira,6.96
67,Marcelo,6.96
69,Steve Mounie,6.95
70,Eduardo Camavinga,6.95
70,Thomas Mangani,6.95
72,Yvan Neyou Noupa,6.94
72,Youssouf Fofana,6.94
74,Alessandro Florenzi,6.94
75,Jonathan Gradit,6.93
75,Guillermo Maripan,6.93
77,Julian Draxler,6.92
77,Luiz Araujo,6.92
79,Keylor Navas,6.91
80,Pablo Sarabia,6.91
