player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Anthony Caci,2021-2022,fr Ligue 1,453016,19,21.0,6,9,1659.0,3.0,0.0,1.139,0.316,0.474
Anthony Caci,2022-2023,de Bundesliga,453016,8,16.0,1,1,698.0,0.0,0.0,2.063,0.125,0.125
Anthony Caci,2023-2024,de Bundesliga,453016,5,13.0,0,0,442.0,2.0,0.0,2.647,0.0,0.0
Anthony Jung,2022-2023,de Bundesliga,58995,2,4.0,0,0,167.0,0.0,0.0,2.156,0.0,0.0
Anthony Jung,2023-2024,de Bundesliga,58995,9,10.0,3,4,810.0,1.0,0.0,1.111,0.333,0.444
Anthony Losilla,2021-2022,de Bundesliga,111266,32,50.0,7,12,2826.0,5.0,0.0,1.592,0.219,0.375
Anthony Losilla,2022-2023,de Bundesliga,111266,30,64.0,5,9,2635.0,6.0,1.0,2.186,0.167,0.3
Anthony Losilla,2023-2024,de Bundesliga,111266,5,9.0,1,1,439.0,0.0,0.0,1.845,0.2,0.2
Anthony Rouault,2022-2023,fr Ligue 1,690799,37,57.0,8,13,3316.0,4.0,0.0,1.547,0.216,0.351
Anthony Rouault,2023-2024,de Bundesliga,690799,5,6.0,1,4,380.0,1.0,0.0,1.421,0.2,0.8
Antoine Makoumbou,2023-2024,it Serie A,460651,7,10.0,1,2,585.0,1.0,0.0,1.538,0.143,0.286
Antoine Mendy,2022-2023,fr Ligue 1,891998,6,6.0,2,3,410.0,0.0,0.0,1.317,0.333,0.5
Anton Stach,2021-2022,de Bundesliga,344069,16,27.0,4,5,1312.0,4.0,0.0,1.852,0.25,0.312
Anton Stach,2022-2023,de Bundesliga,344069,11,22.0,2,5,928.0,3.0,0.0,2.134,0.182,0.455
Anton Stach,2023-2024,de Bundesliga,344069,6,13.0,0,2,472.0,1.0,0.0,2.479,0.0,0.333
