Rank,Player,Rating
215,Aitor Ruibal,6.70
216,Paulo Gazzaniga,6.69
217,Mikel Vesga,6.69
217,Djené,6.69
219,Iván Sánchez,6.68
219,Hugo Sotelo,6.68
219,Igor Zubeldia,6.68
222,Adrian,6.67
222,Manuel Sánchez,6.67
224,Adrià Altimira,6.67
225,Alex Munoz,6.66
226,Brais Méndez,6.66
227,Chrisantus Uche,6.66
228,Omar Mascarell,6.65
229,Diego Conde,6.64
230,Manuel Fuster,6.64
230,Álvaro Tejero,6.64
230,Williot Swedberg,6.64
233,Sergio González,6.63
234,Jofre Carreras,6.63
235,Hugo Duro,6.62
236,Donny van de Beek,6.62
237,Oscar Rodriguez,6.62
238,Pol Lozano,6.61
238,Dimitri Foulquier,6.61
240,Vicente Guaita,6.61
241,Javier Hernández,6.61
242,Oscar Valentin,6.61
243,Mikel Oyarzabal,6.61
244,Gorka Guruzeta,6.61
245,Selim Amallah,6.61
246,Oliver McBurnie,6.60
246,Ander Guevara,6.60
246,Aritz Elustondo,6.60
249,Matija Nastasic,6.60
250,Arnaut Danjuma,6.60
251,Iván Martin,6.59
252,Anuar,6.58
252,Sergio Camello,6.58
254,Aihen Munoz,6.57
254,Iván Balliu,6.57
254,Moussa Diarra,6.57
257,Oriol Romeu,6.56
258,Jon Guridi,6.55
259,Carlos Martin,6.53
259,Juan Cruz,6.53
259,Adrián Embarba,6.53
262,Cristhian Stuani,6.52
262,Carles Pérez,6.52
264,Antonio Martinez,6.52
265,Scott McKenna,6.51
265,Vitor Roque,6.51
267,Pablo Ibánez,6.50
268,Ander Barrenetxea,6.49
268,Antonio Sánchez,6.49
270,Jon Olasagasti,6.48
270,Antoniu Roca,6.48
270,Javi Lopez,6.48
273,Darko Brasanac,6.47
273,Takuma Asano,6.47
275,Cristian Portu,6.47
276,Abel Ruiz,6.47
277,Karl Hein,6.46
278,Lucas Rosa,6.45
278,Moi Gomez,6.45
278,Isaac Romero,6.45
281,Gerard Gumbau,6.44
282,Mamadou Sylla,6.43
283,Sheraldo Becker,6.43
284,Mario Martin,6.42
284,Umar Sadiq,6.42
286,Anastasios Douvikas,6.42
287,Willy Kambwala,6.40
288,Benat Turrientes,6.39
289,Stanko Juric,6.38
289,Ángel Correa,6.38
291,Gerard Fernandez,6.38
292,Rubén Pena,6.37
293,Randy Nteka,6.37
294,Bertug Yildirim,6.37
295,Munir El Haddadi,6.36
296,Unai Gomez,6.35
296,Borja Mayoral,6.35
298,Marvin Park,6.34
299,Cyle Larin,6.33
300,Cédric Bakambu,6.32
300,Javi Sánchez,6.32
300,Raul Garcia,6.32
303,Alex Suárez,6.31
303,Rafa Mir,6.31
305,Luis Pérez,6.30
306,Juanmi Latasa,6.30
307,Diego Garcia,6.29
307,Orri Oskarsson,6.29
309,Alejo Veliz,6.25
310,Miguel de la Fuente,6.17
311,Jaime Mata,6.16
312,Eray Cömert,6.03
