Rank,Player,Rating
1,Jude Bellingham,8.12
2,Ilkay Gündogan,7.71
3,Isco,7.66
4,Toni Kroos,7.56
5,Savio,7.55
6,Frenkie de Jong,7.54
7,Antoine Griezmann,7.54
8,Vinicius Junior,7.53
9,Federico Valverde,7.50
10,Robert Lewandowski,7.48
11,Aleix Garcia,7.47
12,Pepelu,7.46
13,Takefusa Kubo,7.39
14,Brahim Diaz,7.38
15,Rodrygo,7.37
16,Pedri,7.36
17,Lucas Vázquez,7.36
17,Gerard Moreno,7.36
19,Inaki Williams,7.35
20,Daniel Carvajal,7.35
21,Lamine Yamal,7.34
22,Raphinha,7.33
23,Joao Cancelo,7.32
24,Mikel Merino,7.31
25,Iago Aspas,7.30
26,Nico Williams,7.30
27,Álex Baena,7.29
28,Aurélien Tchouaméni,7.29
29,Viktor Tsigankov,7.28
30,Eduardo Camavinga,7.27
31,Alexander Sørloth,7.26
32,Daley Blind,7.26
33,Artem Dovbyk,7.26
34,Yangel Herrera,7.25
35,Daniel Parejo,7.25
36,Gorka Guruzeta,7.25
37,Sergi Cardona,7.24
38,Luka Modric,7.21
39,Ayoze Pérez,7.20
40,Martin Zubimendi,7.20
41,Samuel Dias Lino,7.20
42,Guido Rodriguez,7.18
43,Kirian Rodriguez,7.18
44,Loic Badé,7.18
45,Brais Méndez,7.17
46,Rodrigo De Paul,7.15
47,Iván Martin,7.14
47,Eric Garcia,7.14
49,Diego Rico,7.14
50,Andriy Lunin,7.14
51,Miguel Gutiérrez,7.14
52,Luis Milla,7.13
52,Lucas Ocampos,7.13
54,Borja Mayoral,7.13
55,Renato Tapia,7.13
56,Bryan Zaragoza,7.13
57,Mason Greenwood,7.12
58,Mario Hermoso,7.12
59,Koke,7.11
60,Sergio Ramos,7.11
61,Jules Koundé,7.10
61,Ante Budimir,7.10
63,Pablo Barrios,7.09
64,Jonathan Viera,7.09
65,Yuri Berchiche,7.08
65,Antonio Raillo,7.08
67,Álvaro Morata,7.07
68,Álvaro Vallés,7.07
69,Joao Félix,7.06
69,José Gayà,7.06
71,Oscar de Marcos,7.06
72,Juanlu Sánchez,7.06
73,Ferland Mendy,7.05
74,Francisco Garcia,7.05
75,Germán Pezzella,7.05
76,Lucas Robertone,7.04
77,Jonathan Bamba,7.04
78,Boubakary Soumaré,7.02
79,Unai Nunez,7.01
80,Giorgi Mamardashvili,7.01
81,Yan Couto,7.01
81,Axel Witsel,7.01
83,Marc Pubill,7.00
84,Oscar Mingueza,6.99
85,Marc Roca,6.99
85,Daniel Vivian,6.99
85,Inigo Ruiz de Galarreta,6.99
88,Sergio Arribas,6.99
89,Mika Mármol,6.98
90,Juan Miranda,6.98
91,David Lopez,6.98
92,Rubén Alcaraz,6.98
93,Álvaro Garcia,6.97
93,Sergi Darder,6.97
95,Nemanja Maksimovic,6.97
96,Andreas Christensen,6.96
97,Marcos Acuna,6.96
98,Thierry Correia,6.96
99,Kieran Tierney,6.96
100,Iker Munoz,6.96
101,Youssef En-Nesyri,6.95
102,Inigo Lekue,6.95
102,Hamari Traoré,6.95
104,Luis Rioja,6.95
105,Pau Cubarsi,6.94
106,Samu,6.94
106,Carl Starfelt,6.94
108,Robin Le Normand,6.93
108,Johan Mojica,6.93
108,Moi Gomez,6.93
111,Paulo Gazzaniga,6.93
112,Marcos Llorente,6.92
113,Vedat Muriqi,6.92
114,Oihan Sancet,6.92
115,Aihen Munoz,6.92
115,Ander Herrera,6.92
117,Florian Lejeune,6.92
118,Robert Navarro,6.91
118,Ronald Araujo,6.91
118,Julian Araujo,6.91
118,Manuel Sánchez,6.91
122,Unai Simon,6.91
123,Nemanja Gudelj,6.91
123,Igor Zubeldia,6.91
125,Matija Nastasic,6.90
126,Alex Remiro,6.90
127,Andoni Gorosabel,6.90
128,Joselu,6.90
129,Javi Lopez,6.89
129,Adrián Embarba,6.89
129,Jørgen Strand Larsen,6.89
132,Antonio Rüdiger,6.88
132,Rubén Garcia,6.88
132,César Azpilicueta,6.88
135,Kiko,6.87
136,Jon Guridi,6.87
137,Benat Prados,6.87
138,Oscar Valentin,6.87
139,Ángel Correa,6.87
140,Fermin Lopez,6.87
141,Nahuel Molina,6.86
142,Antonio Blanco,6.86
142,José Copete,6.86
144,Kike Salas,6.86
145,Suso,6.86
146,Rubén Duarte,6.86
147,Ørjan Håskjold Nyland,6.85
147,Jeremias Ledesma,6.85
147,Giovanni González,6.85
150,Mikel Vesga,6.85
151,Alfonso Espino,6.85
152,Sergio Ruiz,6.85
153,Isi Palazon,6.84
153,Jesus Areso,6.84
153,David Garcia,6.84
153,Ander Guevara,6.84
157,Hugo Duro,6.83
157,Juan Iglesias,6.83
159,Nacho Fernandez,6.83
159,Oriol Romeu,6.83
161,Javier Hernández,6.82
162,Diego Lopez,6.82
162,Santi Comesana,6.82
164,Rodrigo Riquelme,6.81
164,Alex Suárez,6.81
164,Aimar Oroz,6.81
167,Arnau Martinez,6.81
168,Antonio Sivera,6.80
168,Jorge Cuenca,6.80
170,Gaston Álvarez,6.80
170,Stefan Savic,6.80
172,Manu Morlanes,6.80
173,Marc-Andre ter Stegen,6.80
174,Carlos Benavidez,6.80
175,Saul Niguez,6.80
176,Chadi Riad,6.79
177,Rubén Pena,6.79
178,Mikel Oyarzabal,6.79
179,Predrag Rajkovic,6.79
180,Jesus Navas,6.79
181,Jan Oblak,6.79
181,Aitor Paredes,6.79
183,Adrià Pedrosa,6.78
184,Rui Silva,6.78
184,Jon Pacheco,6.78
186,Willian José,6.78
187,Ferran Torres,6.78
188,Rafa Marin,6.77
188,Toni Lato,6.77
190,Abdul Mumin,6.76
190,Alberto Moleiro,6.76
190,Unai Lopez,6.76
193,Iván Balliu,6.75
193,Pathé Ciss,6.75
195,Fran Beltrán,6.75
196,Dion Lopy,6.74
197,Djibril Sow,6.74
197,Fali,6.74
199,Daniel Rodriguez,6.74
200,Martin Valjent,6.74
201,Abner,6.74
201,Étienne Capoue,6.74
203,Pablo Maffeo,6.73
204,Saul Coco,6.73
205,Isaac Carcelén,6.73
206,David Soria,6.72
207,Victor Chust,6.72
207,Dodi Lukebakio,6.72
207,Oliver Torres,6.72
207,José Giménez,6.72
207,Dimitri Foulquier,6.72
212,Djené,6.71
213,Lucas Torro,6.71
214,Sergi Canos,6.71
215,Cristhian Mosquera,6.71
216,Gabriel Paulista,6.70
216,Sandro Ramirez,6.70
218,Oscar Rodriguez,6.70
219,Ilias Akhomach,6.69
220,Gonzalo Villar,6.69
221,Alberto Moreno,6.69
221,Carlos Dominguez,6.69
223,Sergio Herrera,6.69
224,Leo Baptistao,6.69
224,Aridane Hernández,6.69
224,Abdelkabir Abqar,6.69
227,Alex Sola,6.67
228,Omar Alderete,6.67
229,Cristhian Stuani,6.66
230,Enzo Loiodice,6.66
230,Ander Barrenetxea,6.66
230,Gerard Gumbau,6.66
230,Javier Guerra,6.66
234,Filip Jörgensen,6.65
235,Maximo Perrone,6.65
235,Jon Moncayola,6.65
237,Sergio Akieme,6.64
237,Arsen Zakharyan,6.64
237,Javier Munoz,6.64
237,Benat Turrientes,6.64
241,Alex Berenguer,6.64
242,Kike Garcia,6.64
243,Vicente Guaita,6.63
244,Iddrisu Baba,6.62
245,Stole Dimitrievski,6.62
246,Álex Fernández,6.62
246,Hector Bellerin,6.62
248,William Carvalho,6.61
248,Largie Ramazani,6.61
248,Cenk Özkacar,6.61
251,Lucas Boye,6.61
251,Cristian Portu,6.61
253,Antonio Sánchez,6.60
253,Raul Albiol,6.60
253,Anastasios Douvikas,6.60
256,Jaume Costa,6.59
256,Memphis Depay,6.59
256,Hugo Guillamon,6.59
256,Alejandro Catena,6.59
260,Luca de la Torre,6.57
261,Jorge Herrando,6.56
261,Fran Pérez,6.56
261,Miguel Rubio,6.56
261,Omar Mascarell,6.56
265,Ezequiel Ávila,6.55
265,Munir El Haddadi,6.55
267,Ignasi Miquel,6.53
268,Jaime Mata,6.53
269,Myrto Uzuni,6.53
270,Rodri,6.53
270,Gonzalo Escalante,6.53
272,Juan Cruz,6.52
273,Samuel Omorodion,6.52
274,Ruben Sobrino,6.52
275,José Ángel Carmona,6.51
275,Lucas Pires,6.51
275,Ricard Sánchez,6.51
275,Jorge de Frutos,6.51
279,Luis Maximiano,6.51
280,Edgar González,6.50
280,Umar Sadiq,6.50
282,Carlos Neva,6.49
282,Unai Gomez,6.49
284,Pablo Ibánez,6.48
285,Roger,6.46
286,José Arnáiz,6.46
287,Marvin Park,6.46
288,Abdon Prats,6.45
288,Christopher Ramos,6.45
290,Valery Fernández,6.44
290,Oscar Trejo,6.44
292,José Luis Morales,6.44
293,Abdessamad Ezzalzouli,6.42
294,Raul Garcia,6.41
295,Iván Alejo,6.40
295,Marc Cardona,6.40
297,Sergio Camello,6.39
298,José Maria Callejon,6.39
298,Gonzalo Melero,6.39
298,Raul de Tomas,6.39
298,César Montes,6.39
302,Cyle Larin,6.36
303,Juanmi Latasa,6.35
304,Oscar Melendo,6.33
305,Carles Alena,6.32
305,Pablo Torre,6.32
305,Abderrahman Rebbach,6.32
308,Kike Pérez,6.31
309,Roman Yaremchuk,6.30
310,Juan Brandariz,6.25
311,Maximiliano Gomez,6.13
