Rank,Player,Rating
1,Karim Benzema,7.93
2,Antoine Griezmann,7.88
3,Robert Lewandowski,7.67
4,Vinicius Junior,7.63
5,Federico Valverde,7.60
6,Pedri,7.56
7,Frenkie de Jong,7.53
8,Rodrygo,7.49
9,Sergio Busquets,7.47
10,Toni Kroos,7.45
11,Mikel Merino,7.45
12,Sergi Darder,7.43
13,Aurélien Tchouaméni,7.41
14,Jules Koundé,7.40
15,Daniel Parejo,7.40
16,José Gayà,7.37
17,Álex Balde,7.36
18,Ousmane Dembélé,7.33
19,Raphinha,7.33
20,José Giménez,7.32
21,Javi Galán,7.32
22,Marco Asensio,7.32
23,Aleix Garcia,7.31
24,Isi Palazon,7.31
25,Gerard Moreno,7.29
26,Éder Militao,7.29
27,Viktor Tsigankov,7.28
28,Nahuel Molina,7.28
29,Juan Foyth,7.27
30,Joselu,7.26
31,Reinildo,7.26
32,Jordi Alba,7.25
33,Lucas Robertone,7.25
34,Guido Rodriguez,7.24
35,Rodrigo De Paul,7.23
36,David Silva,7.23
37,Iago Aspas,7.23
38,Ronald Araujo,7.23
39,Álvaro Garcia,7.21
40,Lucas Vázquez,7.21
41,Andreas Christensen,7.21
42,Daniel Ceballos,7.20
43,Kang-In Lee,7.19
44,Koke,7.18
45,Mario Hermoso,7.17
46,Yeray Álvarez,7.16
47,Samuel Chukwueze,7.16
48,Moi Gomez,7.16
49,Giovani Lo Celso,7.16
50,Takefusa Kubo,7.14
51,Pau Torres,7.14
52,Yannick Carrasco,7.14
53,Aitor Fernández,7.14
54,Marcos Llorente,7.14
55,Arnau Martinez,7.13
55,Inigo Ruiz de Galarreta,7.13
57,Thierry Correia,7.12
57,Thibaut Courtois,7.12
59,Francisco Garcia,7.12
60,Yéremi Pino,7.12
61,Brais Méndez,7.12
62,Yuri Berchiche,7.11
62,David Alaba,7.11
64,Jeremias Ledesma,7.11
65,Omar Alderete,7.10
66,André Almeida,7.10
67,Unai Nunez,7.10
68,Youssouf Sabaly,7.09
69,Enes Ünal,7.08
70,Gabriel Veiga,7.08
71,Eduardo Camavinga,7.08
72,Alfonso Espino,7.07
73,William Carvalho,7.07
74,Nico Williams,7.07
75,Vedat Muriqi,7.06
76,Daniel Vivian,7.05
76,Álvaro Morata,7.05
78,Samuel Dias Lino,7.05
79,Luka Modric,7.05
80,David Lopez,7.04
81,Nicolas Jackson,7.04
82,Étienne Capoue,7.04
83,Aitor Ruibal,7.04
84,Santi Comesana,7.04
85,Oscar de Marcos,7.03
86,Martin Zubimendi,7.03
87,David Garcia,7.03
88,Mikel Vesga,7.03
88,Lucas Torro,7.03
90,Oihan Sancet,7.02
91,Diego Rico,7.02
91,Nacho Fernandez,7.02
91,Gavi,7.02
94,Luis Milla,7.01
95,Gerard Gumbau,7.01
95,Iker Muniain,7.01
97,Oriol Romeu,7.01
98,Stefan Savic,7.00
99,Lucas Ocampos,7.00
100,Inigo Lekue,6.99
101,Inaki Williams,6.99
102,Adrián Embarba,6.99
102,Sergio Canales,6.99
104,Antonio Raillo,6.99
105,Hugo Mallo,6.99
106,Joseph Aidoo,6.99
107,Damian Suarez,6.98
107,Eray Cömert,6.98
109,Sergi Roberto,6.98
110,Eric Garcia,6.98
111,José Copete,6.97
112,Pablo Maffeo,6.97
113,David Soria,6.97
114,Ayoze Pérez,6.97
115,Marcos Acuna,6.97
116,Daniel Carvajal,6.96
117,Alfonso Pedraza,6.95
118,Isaac Carcelén,6.95
119,Mouctar Diakhaby,6.94
120,Raul Albiol,6.94
121,Alex Remiro,6.93
122,Marc-Andre ter Stegen,6.93
123,Jan Oblak,6.93
124,Vinicius de Souza Costa,6.92
125,Omar Mascarell,6.92
126,Thomas Lemar,6.92
127,Ivan Rakitic,6.91
128,Brian Oliván,6.90
129,Oscar Valentin,6.89
129,Fran Beltrán,6.89
129,Franco Cervi,6.89
129,Robin Le Normand,6.89
129,Antonio Rüdiger,6.89
129,Javier Hernández,6.89
135,Samu,6.88
136,Suso,6.88
137,Justin Kluivert,6.88
138,Gonzalo Melero,6.88
138,Nemanja Gudelj,6.88
140,Manuel Sánchez,6.88
140,Germán Pezzella,6.88
140,Igor Zubeldia,6.88
143,Aridane Hernández,6.87
144,El Bilal Touré,6.87
144,Ruben Sobrino,6.87
146,Santiago Bueno,6.86
146,Carlos Clerc,6.86
146,Marcos Alonso,6.86
149,Jon Moncayola,6.85
150,Aimar Oroz,6.85
151,Rodri,6.85
152,Alex Berenguer,6.85
153,Kike Pérez,6.85
154,Borja Iglesias,6.85
155,Alejandro Catena,6.85
156,Rodrigo Riquelme,6.84
157,Gonzalo Plata,6.84
158,Leo Baptistao,6.84
159,Álvaro Aguado,6.84
160,Javier Puado,6.83
161,Alexander Sørloth,6.83
161,Valentin Castellanos,6.83
163,Jesus Navas,6.83
163,Djené,6.83
165,Álex Baena,6.82
166,Oliver Torres,6.82
167,Saul Niguez,6.82
168,Edgar González,6.82
169,Yan Couto,6.82
169,Martin Valjent,6.82
169,Gaston Álvarez,6.82
169,Axel Witsel,6.82
173,Andrés Guardado,6.81
174,Enrique Barja,6.81
175,Rubén Alcaraz,6.81
175,Cyle Larin,6.81
177,Iván Martin,6.81
178,Jaume Costa,6.81
179,Alex Telles,6.81
180,Florian Lejeune,6.80
181,Paulo Gazzaniga,6.79
182,Fernando,6.79
183,Lucas Boye,6.79
184,Predrag Rajkovic,6.79
185,Martin Braithwaite,6.79
186,Théo Bongonda,6.79
187,Sergio Escudero,6.79
188,Joan Jordán,6.79
188,Nico González,6.79
190,Jordi Masip,6.79
191,Iván Sánchez,6.78
191,Aissa Mandi,6.78
191,Hugo Guillamon,6.78
194,Ansu Fati,6.78
195,Tete Morente,6.78
196,Gabriel Paulista,6.77
196,Aihen Munoz,6.77
196,Asier Illarramendi,6.77
196,Dani Garcia,6.77
200,Jawad El Yamiq,6.76
200,Oscar Rodriguez,6.76
200,Ferran Torres,6.76
200,Iván Fresneda,6.76
200,Ander Barrenetxea,6.76
205,Abdessamad Ezzalzouli,6.76
