Rank,Player,Rating
1,Karim Benzema,8.03
2,Vinicius Junior,7.79
3,Jordi Alba,7.78
4,Ousmane Dembélé,7.65
5,Casemiro,7.62
6,Daniel Parejo,7.60
7,Sergio Busquets,7.60
8,Iker Muniain,7.54
9,Toni Kroos,7.46
10,Ferland Mendy,7.44
11,Luka Modric,7.41
12,Frenkie de Jong,7.41
13,Mikel Merino,7.41
14,Nabil Fekir,7.39
15,Yannick Carrasco,7.38
16,Iago Aspas,7.37
17,Carlos Soler,7.37
18,Guido Rodriguez,7.36
19,Memphis Depay,7.35
20,Sergio Canales,7.33
21,Éder Militao,7.32
22,Marco Asensio,7.30
22,Gabriel Paulista,7.30
24,Jules Koundé,7.29
24,Marcos Acuna,7.29
26,Inigo Martinez,7.28
26,Ronald Araujo,7.28
28,Luis Milla,7.27
29,Joselu,7.25
30,Álex Moreno,7.25
31,Pau Torres,7.25
32,Javi Galán,7.24
33,Gerard Piqué,7.24
34,Daniel Carvajal,7.24
35,Sergi Darder,7.23
36,Lucas Vázquez,7.23
37,Raul de Tomas,7.22
38,Mathias Olivera,7.22
39,Diego Rico,7.22
40,Oscar de Marcos,7.21
41,Álvaro Garcia,7.21
42,Étienne Capoue,7.20
42,Juan Foyth,7.20
44,Federico Valverde,7.20
45,Alfonso Espino,7.19
45,Johan Mojica,7.19
47,Lucas Torro,7.19
48,David Silva,7.19
49,Oscar Trejo,7.18
50,David Alaba,7.18
51,David Garcia,7.17
52,Goncalo Guedes,7.17
53,Santi Comesana,7.17
54,Yeray Álvarez,7.17
55,Mikel Oyarzabal,7.17
56,Joao Félix,7.16
57,Mauro Arambarri,7.15
57,Ivan Rakitic,7.15
59,Geoffrey Kondogbia,7.15
60,José Campana,7.14
61,Daniel Vivian,7.13
62,Hector Bellerin,7.13
62,Eduardo Camavinga,7.13
64,Arnaut Danjuma,7.11
65,José Giménez,7.10
66,Marcos Llorente,7.09
67,Nacho Vidal,7.08
68,Koke,7.08
69,José Luis Morales,7.08
70,Sergino Dest,7.08
71,Damian Suarez,7.08
72,Thomas Lemar,7.07
73,Juanmi,7.07
73,Aritz Elustondo,7.07
75,Stefan Savic,7.06
76,Thierry Correia,7.06
77,Alfonso Pedraza,7.06
78,Diego Carlos,7.06
79,Francisco Garcia,7.06
79,Marc Bartra,7.06
81,Rodrigo De Paul,7.06
81,Denis Suárez,7.06
83,Omar Alderete,7.05
84,Andoni Gorosabel,7.05
85,William Carvalho,7.04
85,Inigo Ruiz de Galarreta,7.04
87,Fernando,7.03
88,Pepelu,7.02
89,Pablo Maffeo,7.02
90,Helibelton Palacios,7.02
90,Martin Zubimendi,7.02
92,Alejandro Catena,7.01
93,Jesus Navas,7.01
93,Jon Moncayola,7.01
95,Brais Méndez,7.00
96,Manuel Trigueros,7.00
97,Djené,7.00
98,Eric Garcia,7.00
99,Gavi,6.99
100,Carlos Akapo,6.98
101,Antoine Griezmann,6.98
102,Lucas Ocampos,6.98
103,Daniel Wass,6.98
104,Fidel Chaves,6.97
105,Joan Jordán,6.97
105,Robin Le Normand,6.97
107,Oscar Valentin,6.96
108,Rodrygo,6.96
108,Edgar González,6.96
110,Salva Sevilla,6.96
111,Idrissu Baba,6.96
112,Raul Albiol,6.96
113,José Gayà,6.95
114,Rubén Garcia,6.95
115,Samuel Chukwueze,6.95
116,Thomas Delaney,6.94
117,Adrià Pedrosa,6.94
118,Rubén Duarte,6.94
119,Felipe,6.93
120,Jorge de Frutos,6.93
121,Inigo Lekue,6.91
122,Mario Hermoso,6.91
123,Mamadou Loum Ndiaye,6.91
124,Alejandro Gomez,6.91
124,Franco Cervi,6.91
126,Alex Berenguer,6.90
126,Nemanja Maksimovic,6.90
128,Jaume Costa,6.90
129,Hugo Mallo,6.90
130,Mikel Balenziaga,6.90
131,Álex Fernández,6.90
132,Erik Lamela,6.90
133,Darwin Machis,6.90
134,Inaki Williams,6.88
135,Enes Ünal,6.88
136,Germán Pezzella,6.88
137,Leandro Cabrera,6.88
138,Yangel Herrera,6.87
139,Jorge Cuenca,6.87
140,Iván Balliu,6.86
141,Omar Mascarell,6.86
142,Maxime Gonalons,6.85
143,Ángel Correa,6.85
144,Fran Beltrán,6.84
145,Luis Suárez,6.84
146,Jens Jønsson,6.84
147,Adrián Embarba,6.83
148,Nico González,6.83
149,Sergio Herrera,6.83
150,Thibaut Courtois,6.83
151,Joseph Aidoo,6.82
152,Adnan Januzaj,6.82
153,Daniel Rodriguez,6.82
154,Luis Rioja,6.82
155,Jorge Molina,6.82
156,Fali,6.82
157,Isi Palazon,6.82
158,Alberto Moreno,6.81
158,Isaac Carcelén,6.81
158,Lucas Boye,6.81
158,Willian José,6.81
162,Yassine Bounou,6.81
163,Enis Bardhi,6.81
164,Takefusa Kubo,6.80
165,Alex Remiro,6.80
166,Pere Milla,6.79
166,Alexander Isak,6.79
168,Pervis Estupinán,6.79
168,Unai Vencedor,6.79
170,Oscar Gil,6.78
171,Manuel Sánchez,6.78
172,Nemanja Gudelj,6.78
173,Pedro Bigas,6.77
174,Yéremi Pino,6.77
175,Ante Budimir,6.77
176,Dimitri Foulquier,6.77
177,Jeremias Ledesma,6.76
178,Iván Alejo,6.76
178,Álvaro Negredo,6.76
178,Carlos Neva,6.76
181,Gonzalo Melero,6.76
181,Luis Suárez,6.76
183,Andrés Guardado,6.75
184,Antonio Sánchez,6.74
185,Aleix Vidal,6.74
186,Lucas Pérez,6.73
187,Hugo Guillamon,6.73
188,Oihan Sancet,6.73
189,Juan Cruz,6.72
189,Josan,6.72
189,Oscar Rodriguez,6.72
192,Pathé Ciss,6.71
193,Antonio Moya,6.71
193,Oliver Torres,6.71
195,Tomás Alarcon,6.71
196,Enzo Roco,6.70
197,Renan Lodi,6.70
198,Néstor Araujo,6.70
198,Sergio Escudero,6.70
200,Victor Laguardia,6.70
201,Mouctar Diakhaby,6.70
202,Rafa Mir,6.70
203,Brian Oliván,6.69
204,Mickaël Malsa,6.69
204,Jorge Miramon,6.69
204,Manu Garcia,6.69
204,Son,6.69
204,Rodri,6.69
209,Javier Puado,6.69
210,Gerard Gumbau,6.69
211,Cristian Tello,6.69
212,Tete Morente,6.69
213,Raul Garcia,6.68
214,Oscar Melendo,6.67
215,Edgar Badia,6.67
216,Dani Garcia,6.67
217,Rui Silva,6.67
217,Geronimo Rulli,6.67
219,Maximiliano Gomez,6.66
219,Germán Sánchez,6.66
221,Stole Dimitrievski,6.66
222,Santi Mina,6.66
223,Oscar Duarte,6.66
223,Roger,6.66
225,Quini,6.66
226,Renato Tapia,6.65
226,Sergi Guardiola,6.65
228,Darko Brasanac,6.65
229,Borja Iglesias,6.65
230,Victor Chust,6.65
231,Sime Vrsaljko,6.64
232,Boulaye Dia,6.64
232,Youssef En-Nesyri,6.64
234,Esteban Ariel Saveljich,6.64
234,Florian Lejeune,6.64
236,Luis Maximiano,6.64
237,Anthony Lozano,6.64
238,Joseba Zaldua,6.64
239,Antonio Puertas,6.63
240,Domingos Duarte,6.63
240,Martin Valjent,6.63
242,Keidi Bare,6.62
243,Rober,6.62
244,Yunus Musah,6.62
245,Mikel Vesga,6.61
245,Roberto Torres,6.61
245,Igor Zubeldia,6.61
248,Salvi Sánchez,6.60
248,Ruben Sobrino,6.60
248,Hugo Duro,6.60
248,Manu Morlanes,6.60
252,David Soria,6.60
252,Alexander Sørloth,6.60
254,Carles Alena,6.59
255,Matheus Cunha,6.58
255,Martin Aguirregabiria,6.58
257,Ezequiel Ávila,6.58
258,Diego Lopez,6.57
259,Uros Racic,6.57
259,Raul Guti,6.57
259,Victor Diaz,6.57
262,Stefan Mitrovic,6.56
263,Sergi Gomez,6.55
264,Moi Gomez,6.54
265,Diego González,6.53
265,Unai Simon,6.53
265,Kang-In Lee,6.53
265,Radamel Falcao,6.53
269,Ángel Montoro,6.52
270,Javi Martinez,6.52
271,Bebé,6.52
272,Ángel Rodriguez,6.51
273,Kike Garcia,6.50
274,Marcos de Sousa,6.50
275,Rodrigo Andrés Battaglia,6.49
276,Matias Dituro,6.49
277,Ruben Vezo,6.48
278,Cristian Portu,6.48
279,Sandro Ramirez,6.47
280,Nico Williams,6.46
281,Daniel Gomez,6.44
281,Tomas Pina,6.44
283,Randy Nteka,6.42
283,Fer Nino,6.42
285,Jan Oblak,6.40
286,Guido Carrillo,6.40
287,Unai Lopez,6.39
288,Oier Zarraga,6.38
289,Nolito,6.37
289,Pere Pons,6.37
289,Edgar Méndez,6.37
292,Marc-Andre ter Stegen,6.35
293,Nico Ribaudo,6.35
293,Thiago Galhardo,6.35
295,Amath Ndiaye,6.32
296,Augusto Solari,6.31
297,Manolo Reina,6.30
298,Fernando Pacheco,6.27
299,Dani Cárdenas,6.17
299,Alejandro Cantero,6.17
301,Mamadou Sylla,6.16
302,Jaime Mata,6.14
