Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
658,Kevin Danso,at AUT,DF,Tottenham Hotspur,eng Premier League,25,1998,10,9,842,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0
659,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25,1998,12,12,"1,080",12,0,0,0,0,0,0,3,0,0,0,0,0,0
660,Dante,br BRA,DF,Nice,fr Ligue 1,40,1983,25,21,"1,964",21.8,0,0,0,0,0,0,5,1,0,0,0,0,0
661,Pape Daouda Diongue,sn SEN,MF,Strasbourg,fr Ligue 1,,,9,1,78,0.9,1,0,1,1,0,0,0,0,1.15,0,1.15,1.15,1.15
662,Mohamed Daramy,dk DEN,"FW,MF",Reims,fr Ligue 1,22,2002,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
663,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18,2006,21,16,"1,304",14.5,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14
664,Sergi Darder,es ESP,MF,Mallorca,es La Liga,30,1993,38,34,"2,744",30.5,2,6,8,2,0,0,4,0,0.07,0.2,0.26,0.07,0.26
665,Matteo Darmian,it ITA,"MF,DF",Inter,it Serie A,34,1989,29,20,"1,781",19.8,3,2,5,3,0,0,3,0,0.15,0.1,0.25,0.15,0.25
666,Lukas Daschner,de GER,"FW,MF",Bochum,de Bundesliga,25,1998,14,3,412,4.6,1,1,2,1,0,1,0,0,0.22,0.22,0.44,0.22,0.44
667,Juan David Cabal,co COL,DF,Juventus,it Serie A,23,2001,7,6,460,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
668,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,2000,32,28,"2,554",28.4,16,5,21,10,6,7,4,0,0.56,0.18,0.74,0.35,0.53
669,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23,2000,19,17,"1,560",17.3,1,2,3,1,0,0,0,0,0.06,0.12,0.17,0.06,0.17
670,Ben Davies,wls WAL,DF,Tottenham Hotspur,eng Premier League,31,1993,17,14,"1,331",14.8,0,0,0,0,0,0,5,0,0,0,0,0,0
671,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26,1998,23,10,"1,066",11.8,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25
672,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24,2000,33,32,"2,743",30.5,1,2,3,1,0,0,5,1,0.03,0.07,0.1,0.03,0.1
673,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23,2001,33,32,"2,778",30.9,9,8,17,7,2,2,3,0,0.29,0.26,0.55,0.23,0.49
674,Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29,1995,26,24,"1,845",20.5,0,0,0,0,0,0,7,1,0,0,0,0,0
675,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
676,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33,1991,28,19,"1,702",18.9,4,7,11,4,0,0,2,0,0.21,0.37,0.58,0.21,0.58
677,Bobby De Cordova-Reid,jm JAM,"MF,FW",Leicester City,eng Premier League,31,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.12,0.24,0.36,0.12,0.36
678,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23,2001,36,25,"2,070",23,7,7,14,7,0,0,1,0,0.3,0.3,0.61,0.3,0.61
679,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30,1994,34,23,"2,106",23.4,3,5,8,3,0,0,7,0,0.13,0.21,0.34,0.13,0.34
680,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
681,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31,1992,16,7,769,8.5,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12
682,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36,1988,18,13,"1,060",11.8,1,0,1,1,0,0,1,0,0.08,0,0.08,0.08,0.08
683,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26,1998,5,2,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
684,Koni De Winter,be BEL,DF,Genoa,it Serie A,22,2002,25,23,"2,135",23.7,3,0,3,3,0,0,6,0,0.13,0,0.13,0.13,0.13
685,Amar Dedić,ba BIH,MF,Marseille,fr Ligue 1,21,2002,10,2,314,3.5,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29
686,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28,1995,29,16,"1,432",15.9,2,1,3,2,0,0,6,0,0.13,0.06,0.19,0.13,0.19
687,Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,28,1996,26,14,"1,259",14,6,4,10,3,3,4,0,0,0.43,0.29,0.71,0.21,0.5
688,Enrico Del Prato,it ITA,"DF,MF",Parma,it Serie A,24,1999,34,32,"2,947",32.7,4,0,4,4,0,0,8,0,0.12,0,0.12,0.12,0.12
689,Thomas Delaine,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,32,1992,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
690,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21,2003,37,32,"2,593",28.8,12,2,14,10,2,2,12,0,0.42,0.07,0.49,0.35,0.42
691,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,23,2001,20,12,947,10.5,3,1,4,3,0,0,0,0,0.29,0.1,0.38,0.29,0.38
692,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32,1991,9,8,607,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0
693,Olivier Deman,be BEL,"FW,MF",Werder Bremen,de Bundesliga,24,2000,9,0,67,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
694,Ali Dembélé,fr FRA,DF,Torino,it Serie A,20,2004,15,4,388,4.3,1,0,1,1,0,0,4,1,0.23,0,0.23,0.23,0.23
695,Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,27,1997,29,20,"1,730",19.2,21,6,27,20,1,1,1,0,1.09,0.31,1.4,1.04,1.35
696,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26,1998,34,20,"1,855",20.6,15,1,16,15,0,2,2,0,0.73,0.05,0.78,0.73,0.78
697,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22,2001,31,29,"2,586",28.7,0,0,0,0,0,0,3,0,0,0,0,0,0
698,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
699,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30,1994,18,18,"1,620",18,0,0,0,0,0,0,2,0,0,0,0,0,0
700,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20,2003,23,4,507,5.6,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
701,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,eng Premier League,25,1998,13,2,264,2.9,0,1,1,0,0,0,0,0,0,0.34,0.34,0,0.34
702,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27,1997,33,33,"2,970",33,0,0,0,0,0,0,0,0,0,0,0,0,0
703,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30,1993,37,37,"3,330",37,3,2,5,3,0,0,6,0,0.08,0.05,0.14,0.08,0.14
704,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27,1996,35,27,"2,177",24.2,9,3,12,9,0,0,2,0,0.37,0.12,0.5,0.37,0.5
705,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27,1996,13,7,653,7.3,2,0,2,2,0,0,0,0,0.28,0,0.28,0.28,0.28
706,Mamadou Diakhon,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2005,28,5,858,9.5,2,1,3,2,0,0,2,0,0.21,0.1,0.31,0.21,0.31
707,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23,2001,31,31,"2,766",30.7,4,1,5,4,0,0,8,1,0.13,0.03,0.16,0.13,0.16
708,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20,2003,26,20,"1,628",18.1,4,1,5,4,0,1,6,0,0.22,0.06,0.28,0.22,0.28
709,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22,2002,26,20,"1,901",21.1,8,6,14,8,0,0,5,0,0.38,0.28,0.66,0.38,0.66
710,Assane Diao,sn SEN,"MF,FW",Como,it Serie A,18,2005,15,14,"1,252",13.9,8,1,9,8,0,0,2,0,0.58,0.07,0.65,0.58,0.65
711,Assane Diao,sn SEN,FW,Real Betis,es La Liga,18,2005,10,2,277,3.1,1,2,3,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97
712,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20,2004,30,27,"2,352",26.1,4,5,9,2,2,2,6,0,0.15,0.19,0.34,0.08,0.27
713,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,23,2000,26,20,"1,866",20.7,0,0,0,0,0,0,6,0,0,0,0,0,0
714,Rúben Dias,pt POR,"DF,MF",Manchester City,eng Premier League,27,1997,27,25,"2,271",25.2,0,0,0,0,0,0,4,0,0,0,0,0,0
715,Krépin Diatta,sn SEN,"DF,MF",Monaco,fr Ligue 1,25,1999,19,3,508,5.6,0,0,0,0,0,0,3,0,0,0,0,0,0
716,Kandet Diawara,gn GUI,MF,Le Havre,fr Ligue 1,24,2000,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,19,2005,15,6,582,6.5,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15
718,Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,19,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
719,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,es La Liga,24,1999,31,16,"1,385",15.4,4,2,6,4,0,0,0,0,0.26,0.13,0.39,0.26,0.39
720,Daniel Díaz,es ESP,FW,Real Sociedad,es La Liga,18,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
721,Luis Díaz,co COL,"FW,MF",Liverpool,eng Premier League,27,1997,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,0.49,0.19,0.68,0.49,0.68
722,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26,1998,26,12,"1,211",13.5,3,0,3,3,0,1,2,0,0.22,0,0.22,0.22,0.22
723,Tyler Dibling,eng ENG,"MF,FW",Southampton,eng Premier League,18,2006,33,20,"1,874",20.8,2,0,2,2,0,0,6,0,0.1,0,0.1,0.1,0.1
724,Diego,es ESP,"FW,MF",Leganés,es La Liga,24,2000,28,13,"1,195",13.3,3,0,3,3,0,0,2,0,0.23,0,0.23,0.23,0.23
725,Justin Diehl,de GER,MF,Stuttgart,de Bundesliga,19,2004,6,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0,0.87,0.87,0.87
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
726,Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24,2000,18,5,532,5.9,3,0,3,2,1,1,1,0,0.51,0,0.51,0.34,0.34
727,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30,1994,21,16,"1,463",16.3,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18
728,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31,1993,32,28,"2,351",26.1,0,4,4,0,0,0,4,0,0,0.15,0.15,0,0.15
729,Kembo Diliwidi,fr FRA,FW,Lens,fr Ligue 1,18,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,Federico Dimarco,it ITA,MF,Inter,it Serie A,26,1997,33,29,"2,177",24.2,4,7,11,4,0,0,3,0,0.17,0.29,0.45,0.17,0.45
731,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,30,1993,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0
732,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,de Bundesliga,23,2000,7,3,293,3.3,0,1,1,0,0,0,0,0,0,0.31,0.31,0,0.31
733,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,22,2001,23,13,"1,196",13.3,0,3,3,0,0,0,1,0,0,0.23,0.23,0,0.23
734,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23,2001,23,22,"1,945",21.6,3,2,5,3,0,0,6,0,0.14,0.09,0.23,0.14,0.23
735,Yan Diomandé,ci CIV,MF,Leganés,es La Liga,17,2006,10,6,545,6.1,2,1,3,2,0,0,1,0,0.33,0.17,0.5,0.33,0.5
736,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,31,1992,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
737,Issa Diop,fr FRA,DF,Fulham,eng Premier League,27,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0,0,0,0,0
738,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19,2005,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,24,2000,28,8,"1,064",11.8,6,4,10,6,0,0,3,0,0.51,0.34,0.85,0.51,0.85
740,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21,2003,34,27,"2,225",24.7,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12
741,Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,24,1999,34,34,"3,060",34,0,0,0,0,0,0,1,0,0,0,0,0,0
742,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,26,1997,17,7,663,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0
743,Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0,0,0,0,0
744,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26,1998,6,4,364,4,1,0,1,1,0,0,1,0,0.25,0,0.25,0.25,0.25
745,Roman Dixon,eng ENG,DF,Everton,eng Premier League,19,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
746,Álvaro djaló,gw GNB,"MF,FW",Athletic Club,es La Liga,24,1999,17,7,659,7.3,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14
747,Djené,tg TOG,"DF,MF",Getafe,es La Liga,32,1991,31,31,"2,548",28.3,0,0,0,0,0,0,10,1,0,0,0,0,0
748,Nasser Djiga,bf BFA,DF,Wolves,eng Premier League,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
749,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,31,1993,34,32,"2,640",29.3,1,2,3,1,0,0,6,0,0.03,0.07,0.1,0.03,0.1
750,Marko Dmitrović,rs SRB,GK,Leganés,es La Liga,32,1992,32,32,"2,880",32,0,0,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
751,Ritsu Doan,jp JPN,MF,Freiburg,de Bundesliga,26,1998,34,33,"2,862",31.8,10,7,17,10,0,0,2,0,0.31,0.22,0.53,0.31,0.53
752,Dodô,br BRA,"DF,MF",Fiorentina,it Serie A,25,1998,35,35,"3,115",34.6,0,5,5,0,0,0,8,0,0,0.14,0.14,0,0.14
753,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,26,1998,34,34,"3,060",34,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06
754,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,32,1992,30,25,"2,109",23.4,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13
755,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,22,2002,29,16,"1,516",16.8,3,6,9,3,0,0,1,0,0.18,0.36,0.53,0.18,0.53
756,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,18,2006,10,3,303,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0
757,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,26,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
758,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,20,2003,24,16,"1,281",14.2,3,2,5,3,0,0,0,0,0.21,0.14,0.35,0.21,0.35
759,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,23,2001,19,13,"1,181",13.1,0,0,0,0,0,0,1,0,0,0,0,0,0
760,Israel Domínguez,es ESP,MF,Sevilla,es La Liga,21,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
761,Nicolás Domínguez,ar ARG,MF,Nottingham Forest,eng Premier League,26,1998,34,23,"1,963",21.8,0,1,1,0,0,0,9,0,0,0.05,0.05,0,0.05
762,Sergi Dominguez,es ESP,DF,Barcelona,es La Liga,19,2005,3,2,172,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0
763,Gianluigi Donnarumma,it ITA,GK,Paris Saint-Germain,fr Ligue 1,25,1999,24,24,"2,091",23.2,0,0,0,0,0,0,2,0,0,0,0,0,0
764,Patrick Dorgu,dk DEN,MF,Manchester Utd,eng Premier League,19,2004,12,10,842,9.4,0,0,0,0,0,0,3,1,0,0,0,0,0
765,Patrick Dorgu,dk DEN,"MF,DF",Lecce,it Serie A,19,2004,21,21,"1,840",20.4,3,1,4,3,0,0,2,1,0.15,0.05,0.2,0.15,0.2
766,Alfie Dorrington,eng ENG,DF,Tottenham Hotspur,eng Premier League,19,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
767,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
768,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,26,1998,22,19,"1,335",14.8,2,2,4,2,0,0,5,1,0.13,0.13,0.27,0.13,0.27
769,Alberto Dossena,it ITA,DF,Como,it Serie A,25,1998,23,20,"1,825",20.3,0,2,2,0,0,0,1,1,0,0.1,0.1,0,0.1
770,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,31,1993,33,31,"2,564",28.5,3,2,5,3,0,0,5,1,0.11,0.07,0.18,0.11,0.18
771,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,24,2000,13,4,452,5,0,0,0,0,0,0,1,0,0,0,0,0,0
772,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,19,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
773,Désiré Doué,fr FRA,"MF,FW",Paris Saint-Germain,fr Ligue 1,19,2005,31,18,"1,730",19.2,6,6,12,6,0,0,1,0,0.31,0.31,0.62,0.31,0.62
774,Guela Doué,ci CIV,"DF,MF",Strasbourg,fr Ligue 1,21,2002,32,30,"2,717",30.2,1,2,3,1,0,0,7,0,0.03,0.07,0.1,0.03,0.1
775,Douglas,br BRA,MF,Nantes,fr Ligue 1,27,1997,28,28,"2,307",25.6,4,2,6,4,0,0,8,0,0.16,0.08,0.23,0.16,0.23
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
776,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,21,2003,31,31,"2,639",29.3,1,1,2,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07
777,Issa Doumbia,it ITA,MF,Venezia,it Serie A,20,2003,24,10,939,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
778,Kamory Doumbia,ml MLI,"MF,FW",Brest,fr Ligue 1,21,2003,30,13,"1,322",14.7,3,2,5,3,0,0,1,0,0.2,0.14,0.34,0.2,0.34
779,Amidou Doumbouya,fr FRA,MF,Nice,fr Ligue 1,16,2007,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
780,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,24,1999,13,6,580,6.4,2,2,4,2,0,0,1,0,0.31,0.31,0.62,0.31,0.62
781,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,24,1999,20,6,700,7.8,3,1,4,3,0,0,2,0,0.39,0.13,0.51,0.39,0.51
782,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27,1997,32,27,"2,418",26.9,12,2,14,10,2,2,0,0,0.45,0.07,0.52,0.37,0.45
783,Flynn Downes,eng ENG,MF,Southampton,eng Premier League,25,1999,27,25,"2,151",23.9,1,0,1,1,0,0,12,0,0.04,0,0.04,0.04,0.04
784,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,22,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0,0.18,0.18,0,0.18
785,Radu Drăgușin,ro ROU,DF,Tottenham Hotspur,eng Premier League,22,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0,0,0,0,0
786,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31,1993,21,21,"1,890",21,0,0,0,0,0,0,2,0,0,0,0,0,0
787,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,19,2005,8,5,357,4,0,0,0,0,0,0,2,0,0,0,0,0,0
788,Domingos Duarte,pt POR,DF,Getafe,es La Liga,29,1995,22,21,"1,859",20.7,1,0,1,1,0,0,4,2,0.05,0,0.05,0.05,0.05
789,Martin Dúbravka,sk SVK,GK,Newcastle United,eng Premier League,35,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0
790,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,30,1994,32,30,"2,418",26.9,8,8,16,7,1,2,3,0,0.3,0.3,0.6,0.26,0.56
791,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29,1994,28,27,"2,395",26.6,1,3,4,1,0,0,12,1,0.04,0.11,0.15,0.04,0.15
792,Duk,cv CPV,MF,Leganés,es La Liga,24,2000,10,1,179,2,0,0,0,0,0,0,1,0,0,0,0,0,0
793,Denzel Dumfries,nl NED,MF,Inter,it Serie A,28,1996,29,20,"1,955",21.7,7,2,9,7,0,0,4,0,0.32,0.09,0.41,0.32,0.41
794,Alfred Duncan,gh GHA,MF,Venezia,it Serie A,31,1993,16,12,957,10.6,0,0,0,0,0,0,2,0,0,0,0,0,0
795,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,32,1991,25,23,"2,083",23.1,0,0,0,0,0,0,5,0,0,0,0,0,0
796,Jáder Durán,co COL,FW,Aston Villa,eng Premier League,20,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,0.99,0,0.99,0.99,0.99
797,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23,2001,27,15,"1,394",15.5,4,4,8,4,0,0,3,0,0.26,0.26,0.52,0.26,0.52
798,Julien Duranville,be BEL,MF,Dortmund,de Bundesliga,18,2006,12,2,283,3.1,0,0,0,0,0,0,3,0,0,0,0,0,0
799,Hugo Duro,es ESP,FW,Valencia,es La Liga,24,1999,31,25,"2,166",24.1,11,2,13,10,1,1,5,0,0.46,0.08,0.54,0.42,0.5
800,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,27,1997,9,7,537,6,0,0,0,0,0,0,2,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
801,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,30,1993,24,16,"1,417",15.7,6,3,9,3,3,3,2,0,0.38,0.19,0.57,0.19,0.38
802,Stefan Džodić,rs SRB,DF,Montpellier,fr Ligue 1,19,2005,7,2,242,2.7,0,0,0,0,0,0,2,1,0,0,0,0,0
803,Adam Dźwigała,pl POL,DF,St Pauli,de Bundesliga,28,1995,16,2,373,4.1,0,0,0,0,0,0,2,1,0,0,0,0,0
804,Aron Dønnum,no NOR,MF,Toulouse,fr Ligue 1,26,1998,32,31,"2,689",29.9,3,2,5,3,0,0,6,0,0.1,0.07,0.17,0.1,0.17
805,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,25,1999,2,0,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0
806,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,28,1995,4,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
807,Claudio Echeverri,ar ARG,MF,Manchester City,eng Premier League,18,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
808,Ederson,br BRA,GK,Manchester City,eng Premier League,30,1993,26,26,"2,320",25.8,0,4,4,0,0,0,4,0,0,0.16,0.16,0,0.16
809,Éderson,br BRA,MF,Atalanta,it Serie A,25,1999,37,32,"2,881",32,4,1,5,4,0,0,5,1,0.12,0.03,0.16,0.12,0.16
810,Noah Edjouma,fr FRA,MF,Toulouse,fr Ligue 1,18,2005,10,1,171,1.9,2,0,2,2,0,0,0,1,1.05,0,1.05,1.05,1.05
811,George Edmundson,eng ENG,DF,Ipswich Town,eng Premier League,26,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,Odsonne Édouard,fr FRA,MF,Crystal Palace,eng Premier League,26,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
813,Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,26,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
814,Samuel Edozie,eng ENG,"FW,MF",Southampton,eng Premier League,21,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0
815,Ronnie Edwards,eng ENG,DF,Southampton,eng Premier League,21,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
816,Johannes Eggestein,de GER,FW,St Pauli,de Bundesliga,26,1998,27,22,"1,853",20.6,3,4,7,2,1,2,3,0,0.15,0.19,0.34,0.1,0.29
817,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,27,1996,33,33,"2,845",31.6,2,0,2,2,0,0,4,0,0.06,0,0.06,0.06,0.06
818,Kingsley Ehizibue,nl NED,"MF,DF",Udinese,it Serie A,29,1995,33,30,"2,498",27.8,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04
819,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,es La Liga,26,1998,25,9,966,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28
