Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
387,Brenner,br BRA,"MF,FW",Udinese,it Serie A,24,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.23,0.47,0.7,0.23,0.7
388,Ben Brereton,cl CHI,"FW,MF",Southampton,eng Premier League,25,1999,10,4,449,5,0,0,0,0,0,0,1,0,0,0,0,0,0
389,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,24,2000,29,9,991,11,4,2,6,4,0,0,1,0,0.36,0.18,0.54,0.36,0.54
390,Abel Bretones,es ESP,"DF,MF",Osasuna,es La Liga,23,2000,35,20,"2,074",23,2,0,2,2,0,0,3,0,0.09,0,0.09,0.09,0.09
391,Maximilian Breunig,de GER,FW,Heidenheim,de Bundesliga,23,2000,13,2,350,3.9,2,0,2,1,1,1,0,0,0.51,0,0.51,0.26,0.26
392,Anthony Briançon,fr FRA,"DF,MF",Saint-Étienne,fr Ligue 1,29,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Nathan Broadhead,wls WAL,MF,Ipswich Town,eng Premier League,26,1998,18,7,702,7.8,2,0,2,2,0,0,1,0,0.26,0,0.26,0.26,0.26
394,Armando Broja,al ALB,FW,Everton,eng Premier League,22,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0
395,David Brooks,wls WAL,MF,Bournemouth,eng Premier League,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,0.19,0,0.19,0.19,0.19
396,Arvid Brorsson,se SWE,DF,Monza,it Serie A,25,1999,6,3,362,4,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,23,2000,33,15,"1,390",15.4,1,3,4,1,0,0,1,0,0.06,0.19,0.26,0.06,0.26
398,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,de Bundesliga,21,2003,26,22,"1,947",21.6,3,6,9,3,0,0,2,0,0.14,0.28,0.42,0.14,0.42
399,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,de Bundesliga,25,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,0.45,0.45,0.9,0.45,0.9
400,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,de Bundesliga,25,1998,15,3,414,4.6,1,0,1,1,0,0,1,0,0.22,0,0.22,0.22,0.22
