Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,20,13,"1,237",13.7,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,14,"1,267",14.1,2,2,4,2,0,0,3,1,0.14,0.14,0.28,0.14,0.28
3,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,de Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.00,0.89,0.89,0.00,0.89
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,31,31,"2,781",30.9,4,0,4,3,1,1,5,0,0.13,0.00,0.13,0.10,0.10
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,27,17,"1,519",16.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,33,32,"2,860",31.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,20,2003,22,12,"1,044",11.6,5,0,5,5,0,0,1,0,0.43,0.00,0.43,0.43,0.43
10,Abner,br BRA,DF,Real Betis,es La Liga,23,2000,23,15,"1,400",15.6,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06
11,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,0.36,0.00,0.36,0.24,0.24
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,27,27,"2,312",25.7,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,29,26,"2,388",26.5,3,1,4,3,0,0,1,0,0.11,0.04,0.15,0.11,0.15
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
16,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,31,1991,21,18,"1,292",14.4,1,2,3,1,0,0,7,0,0.07,0.14,0.21,0.07,0.21
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,32,27,"2,252",25.0,8,1,9,8,0,0,2,0,0.32,0.04,0.36,0.32,0.36
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
19,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,20,8,801,8.9,1,2,3,1,0,0,2,0,0.11,0.22,0.34,0.11,0.34
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,20,18,"1,617",18.0,2,0,2,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,27,16,"1,419",15.8,10,0,10,10,0,0,1,0,0.63,0.00,0.63,0.63,0.63
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,0.30,0.10,0.39,0.30,0.39
24,Simon Adingra,ci CIV,MF,Brighton,eng Premier League,21,2002,31,25,"2,222",24.7,6,1,7,6,0,0,3,0,0.24,0.04,0.28,0.24,0.28
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,15,14,"1,243",13.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
26,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
27,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,0.40,0.60,1.00,0.40,1.00
28,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,24,17,"1,407",15.6,1,2,3,1,0,0,3,0,0.06,0.13,0.19,0.06,0.19
29,Adryelson,br BRA,DF,Lyon,fr Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
30,Adson,br BRA,MF,Nantes,fr Ligue 1,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,36,26,"2,230",24.8,0,1,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04
32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,32,29,"2,596",28.8,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07
33,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
35,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
36,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,23,1999,24,19,"1,614",17.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
37,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,27,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05
38,Ruben Aguilar,fr FRA,"MF,DF",Lens,fr Ligue 1,30,1993,25,22,"1,922",21.4,1,3,4,1,0,0,3,0,0.05,0.14,0.19,0.05,0.19
39,Brandon Aguilera,cr CRC,MF,Nottingham Forest,eng Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
40,Naouirou Ahamada,fr FRA,MF,Crystal Palace,eng Premier League,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
41,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,eng Premier League,24,1999,31,29,"2,649",29.4,2,0,2,2,0,0,11,1,0.07,0.00,0.07,0.07,0.07
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
