Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90
43,Ola Aina,ng NGA,"DF,MF",Nottingham Forest,eng Premier League,26,1996,22,20,"1,692",18.8,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11
44,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,eng Premier League,22,2001,33,29,"2,329",25.9,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12
45,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,0.20,0.00,0.20,0.20,0.20
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,28,21,"1,832",20.4,2,1,3,2,0,0,5,0,0.10,0.05,0.15,0.10,0.15
47,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,26,15,"1,360",15.1,2,0,2,2,0,2,4,0,0.13,0.00,0.13,0.13,0.13
48,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,30,28,"2,511",27.9,2,0,2,2,0,0,4,1,0.07,0.00,0.07,0.07,0.07
49,Marley Aké,fr FRA,"FW,MF",Udinese,it Serie A,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,29,24,"2,042",22.7,2,2,4,2,0,0,0,0,0.09,0.09,0.18,0.09,0.18
51,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,19,2004,31,17,"1,511",16.8,2,2,4,2,0,0,4,0,0.12,0.12,0.24,0.12,0.24
52,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
53,Sergio Akieme,es ESP,"DF,MF",Almería,es La Liga,25,1997,19,19,"1,675",18.6,2,0,2,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11
54,Sergio Akieme,es ESP,"DF,MF",Reims,fr Ligue 1,25,1997,13,8,818,9.1,2,0,2,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22
55,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
56,Maghnes Akliouche,fr FRA,MF,Monaco,fr Ligue 1,21,2002,28,18,"1,613",17.9,7,4,11,7,0,0,5,0,0.39,0.22,0.61,0.39,0.61
57,Paul Akouokou,ci CIV,MF,Real Betis,es La Liga,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
58,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
59,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
60,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
61,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,17,11,"1,097",12.2,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
62,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,14,14,"1,154",12.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08
63,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,33,29,"2,311",25.7,5,7,12,5,0,0,7,0,0.19,0.27,0.47,0.19,0.47
64,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,26,24,"2,031",22.6,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
66,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,36,36,"3,134",34.8,3,1,4,1,2,2,14,0,0.09,0.03,0.11,0.03,0.06
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,31,24,"2,195",24.4,0,1,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04
69,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,30,21,"1,692",18.8,0,2,2,0,0,0,17,0,0.00,0.11,0.11,0.00,0.11
70,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,29,10,"1,020",11.3,1,1,2,1,0,0,6,0,0.09,0.09,0.18,0.09,0.18
71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,28,25,"2,155",23.9,3,4,7,3,0,0,6,0,0.13,0.17,0.29,0.13,0.29
72,Aboubacar Ali,km COM,FW,Strasbourg,fr Ligue 1,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69
73,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
74,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31
75,Faride Alidou,de GER,"MF,FW",Köln,de Bundesliga,22,2001,26,14,"1,282",14.2,4,0,4,4,0,0,4,0,0.28,0.00,0.28,0.28,0.28
76,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,18,12,"1,009",11.2,4,1,5,4,0,0,1,0,0.36,0.09,0.45,0.36,0.45
77,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28,28,"2,520",28.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
78,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
79,Tadeo Allende,ar ARG,MF,Celta Vigo,es La Liga,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27
80,Jim Allevinah,ga GAB,MF,Clermont Foot,fr Ligue 1,28,1995,29,22,"1,861",20.7,2,1,3,2,0,0,1,0,0.10,0.05,0.15,0.10,0.15
81,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.19,0.09,0.28,0.19,0.28
82,Miguel Almirón,py PAR,FW,Newcastle United,eng Premier League,29,1994,33,23,"1,937",21.5,3,1,4,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19
83,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,30,25,"2,107",23.4,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13
84,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
85,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
86,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16
87,Edson Álvarez,mx MEX,MF,West Ham United,eng Premier League,25,1997,31,28,"2,377",26.4,1,1,2,1,0,0,11,0,0.04,0.04,0.08,0.04,0.08
88,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,34,29,"2,537",28.2,2,0,2,2,0,0,7,0,0.07,0.00,0.07,0.07,0.07
89,Hugo Álvarez,es ESP,"MF,FW",Celta Vigo,es La Liga,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24
90,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,36,31,"2,647",29.4,11,8,19,9,2,2,2,0,0.37,0.27,0.65,0.31,0.58
91,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,19,14,"1,152",12.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
92,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21
93,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.73,0.00,0.73,0.73,0.73
94,Papa Amadou Diallo,sn SEN,"MF,FW",Metz,fr Ligue 1,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30
95,Selim Amallah,ma MAR,"MF,FW",Valencia,es La Liga,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15
96,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
97,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
98,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,2,1,91,1.0,1,0,1,1,0,0,1,0,0.99,0.00,0.99,0.99,0.99
99,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,34,27,"1,953",21.7,5,1,6,4,1,1,2,0,0.23,0.05,0.28,0.18,0.23
100,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11
101,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
102,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45
103,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,15,15,"1,315",14.6,1,4,5,1,0,1,5,0,0.07,0.27,0.34,0.07,0.34
104,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
105,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,8,1,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
106,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
107,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
108,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,38,38,"3,415",37.9,2,3,5,2,0,0,7,0,0.05,0.08,0.13,0.05,0.13
109,Elliot Anderson,eng ENG,"MF,FW",Newcastle United,eng Premier League,20,2002,21,10,"1,027",11.4,0,2,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18
110,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,38,33,"2,770",30.8,5,6,11,5,0,0,3,0,0.16,0.19,0.36,0.16,0.36
111,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32,1990,30,29,"2,570",28.6,4,0,4,4,0,0,8,0,0.14,0.00,0.14,0.14,0.14
112,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
113,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,28,18,"1,690",18.8,4,2,6,4,0,0,4,0,0.21,0.11,0.32,0.21,0.32
114,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25,1998,19,17,"1,560",17.3,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06
115,Angeliño,es ESP,"DF,MF",Roma,it Serie A,26,1997,16,14,"1,141",12.7,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08
116,Ângelo,br BRA,"MF,FW",Strasbourg,fr Ligue 1,18,2004,21,11,"1,094",12.2,0,3,3,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25
117,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
118,Jaidon Anthony,eng ENG,MF,Bournemouth,eng Premier League,23,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
119,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,33,32,"2,886",32.1,0,3,3,0,0,0,7,0,0.00,0.09,0.09,0.00,0.09
120,Michail Antonio,jm JAM,FW,West Ham United,eng Premier League,33,1990,26,21,"1,695",18.8,6,2,8,6,0,0,6,0,0.32,0.11,0.42,0.32,0.42
121,Antony,br BRA,MF,Manchester Utd,eng Premier League,23,2000,29,15,"1,324",14.7,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14
122,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,25,11,"1,216",13.5,2,2,4,2,0,0,5,0,0.15,0.15,0.30,0.15,0.30
123,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,16,9,756,8.4,4,0,4,4,0,0,3,0,0.48,0.00,0.48,0.48,0.48
124,Stredair Appuah,fr FRA,FW,Nantes,fr Ligue 1,19,2004,4,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
125,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
126,Jon Aramburu,ve VEN,"DF,MF",Real Sociedad,es La Liga,21,2002,11,5,543,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
127,Asaf Arania,il ISR,FW,Darmstadt 98,de Bundesliga,17,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
128,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,25,15,"1,462",16.2,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06
129,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24,1999,25,21,"1,997",22.2,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14
130,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
131,Oliver Arblaster,eng ENG,MF,Sheffield United,eng Premier League,19,2004,12,11,943,10.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
132,Cameron Archer,eng ENG,"FW,MF",Sheffield United,eng Premier League,22,2001,29,21,"1,832",20.4,4,1,5,4,0,0,1,0,0.20,0.05,0.25,0.20,0.25
133,Cameron Archer,eng ENG,FW,Aston Villa,eng Premier League,22,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
134,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,30,1993,31,31,"2,699",30.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
135,Adu Ares,es ESP,MF,Athletic Club,es La Liga,21,2001,12,2,265,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
136,Jesús Areso,es ESP,"DF,MF",Osasuna,es La Liga,24,1999,37,29,"2,660",29.6,1,6,7,1,0,0,3,0,0.03,0.20,0.24,0.03,0.24
137,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
138,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,14,3,369,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
139,Iñigo Arguibide,es ESP,FW,Osasuna,es La Liga,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
140,Yoël Armougom,fr FRA,"MF,DF",Clermont Foot,fr Ligue 1,25,1998,5,2,234,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
141,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,26,9,929,10.3,2,1,3,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29
142,Marko Arnautović,at AUT,FW,Inter,it Serie A,34,1989,27,5,801,8.9,5,3,8,5,0,0,0,0,0.56,0.34,0.90,0.56,0.90
143,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,1994,30,27,"2,506",27.8,2,1,3,2,0,0,9,0,0.07,0.04,0.11,0.07,0.11
144,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
145,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,21,2001,34,22,"2,047",22.7,9,4,13,9,0,0,1,0,0.40,0.18,0.57,0.40,0.57
146,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,14,13,"1,198",13.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
147,Arthur,br BRA,MF,Leverkusen,de Bundesliga,20,2003,4,2,184,2.0,0,2,2,0,0,0,0,0,0.00,0.98,0.98,0.00,0.98
148,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,1994,29,26,"1,986",22.1,6,1,7,6,0,0,2,0,0.27,0.05,0.32,0.27,0.32
149,Marco Asensio,es ESP,"MF,FW",Paris Saint-Germain,fr Ligue 1,27,1996,19,13,"1,113",12.4,4,5,9,4,0,0,0,0,0.32,0.40,0.73,0.32,0.73
150,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,2002,23,6,787,8.7,1,2,3,1,0,0,1,0,0.11,0.23,0.34,0.11,0.34
151,Joel Asoro,se SWE,"MF,FW",Metz,fr Ligue 1,24,1999,20,10,848,9.4,2,1,3,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32
152,Jonathan Asp Jensen,dk DEN,MF,Bayern Munich,de Bundesliga,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
153,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,1987,35,31,"2,707",30.1,9,10,19,6,3,5,6,1,0.30,0.33,0.63,0.20,0.53
154,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,15,15,"1,234",13.7,1,2,3,1,0,0,5,1,0.07,0.15,0.22,0.07,0.22
155,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,14,12,"1,011",11.2,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18
156,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
157,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27,1996,6,5,359,4.0,1,0,1,1,0,0,2,0,0.25,0.00,0.25,0.25,0.25
