Rank,Player,Rating
1,Scott McTominay,7.47
2,Matias Soulé,7.45
3,Hakan Calhanoglu,7.42
4,Alexis Saelemaekers,7.42
5,Mattia Zaccagni,7.39
6,Ademola Lookman,7.39
7,Nico Paz,7.38
8,Christian Pulisic,7.37
9,Marcus Thuram,7.36
10,Mateo Retegui,7.35
11,Marten de Roon,7.33
12,Dodo,7.31
13,Andre-Frank Zambo Anguissa,7.30
14,Kenan Yildiz,7.29
15,Riccardo Orsolini,7.28
16,Vanja Milinkovic-Savic,7.28
17,Éderson,7.28
18,Manuel Locatelli,7.27
19,Moise Kean,7.27
20,Alessandro Buongiorno,7.27
21,Leandro Paredes,7.24
22,Nicolo Barella,7.24
23,Paulo Dybala,7.24
24,Amir Rrahmani,7.23
25,Robin Gosens,7.23
25,Tijjani Reijnders,7.23
27,Lautaro Martinez,7.23
28,Giovanni Di Lorenzo,7.22
29,Mile Svilar,7.21
30,Rafael Leao,7.21
31,Marco Carnesecchi,7.19
32,Florian Thauvin,7.19
33,Nuno Tavares,7.18
34,Theo Hernández,7.18
35,Nicola Leali,7.16
36,Valentin Castellanos,7.16
37,Francesco Acerbi,7.15
38,Nicolo Rovella,7.15
39,Stanislav Lobotka,7.15
40,Alessandro Bastoni,7.15
41,Matteo Guendouzi,7.14
42,Strahinja Pavlovic,7.14
43,Dan Ndoye,7.13
43,Elia Caprile,7.13
45,Henrikh Mkhitaryan,7.13
46,Mathias Olivera,7.12
46,Sead Kolasinac,7.12
48,Yacine Adli,7.12
49,Federico Dimarco,7.12
50,Matteo Politano,7.11
51,Nicolás González,7.11
51,Berat Djimsiti,7.11
53,Raoul Bellanova,7.10
54,Alex Meret,7.10
55,Angelino,7.10
56,Juan Miranda,7.10
57,Aaron Martin Caricol,7.09
58,Giacomo Raspadori,7.09
59,Khéphren Thuram-Ulien,7.08
60,Matteo Ruggeri,7.08
61,Rolando Mandragora,7.07
62,Gabriel Strefezza,7.05
63,Yann Sommer,7.04
64,Stefan de Vrij,7.04
65,Ondrej Duda,7.03
66,Lucas Da Cunha,7.03
67,Oumar Solet,7.03
68,David De Gea,7.03
69,Federico Gatti,7.03
70,Jean Butez,7.02
71,Nikola Moro,7.02
72,Kouadio Koné,7.01
73,Denzel Dumfries,7.01
73,Remo Freuler,7.01
75,Andrea Cambiaso,7.01
76,Michele Di Gregorio,7.00
77,Bryan Cristante,6.99
77,Danilo Cataldi,6.99
79,Marc-Oliver Kempf,6.99
79,Maximo Perrone,6.99
81,Mario Gila,6.98
82,Gianluca Mancini,6.98
82,Weston McKennie,6.98
84,Sam Beukema,6.97
85,Dusan Vlahovic,6.97
86,Ardian Ismajli,6.97
87,Romelu Lukaku,6.96
88,Evan N'Dicka,6.95
88,Guillermo Maripan,6.95
90,Carlos Augusto,6.95
91,Mike Maignan,6.94
91,Johan Vásquez,6.94
93,Antonino Gallo,6.94
94,Charles De Ketelaere,6.94
95,Yerry Mina,6.94
96,Isak Hien,6.94
97,Albert Gudmundsson,6.93
98,Zion Suzuki,6.93
99,Leonardo Spinazzola,6.93
100,Jhon Lucumi,6.93
101,Luca Pellegrini,6.92
102,Pedro Rodriguez,6.92
102,Morten Frendrup,6.92
102,Mario Pasalic,6.92
105,Teun Koopmeiners,6.92
106,Matteo Gabbia,6.92
107,Timothy Weah,6.91
108,Koni De Winter,6.91
109,Nikola Vlasic,6.91
110,Tommaso Augello,6.91
111,Milan Badelj,6.90
112,Luca Ranieri,6.90
113,Yann Aurel Bisseck,6.90
113,Cristiano Biraghi,6.90
115,Youssouf Fofana,6.89
115,Adrián Bernabé,6.89
115,Kialonda Gaspar,6.89
118,Hassane Kamara,6.89
119,Davide Zappacosta,6.89
120,Benjamin Pavard,6.88
120,Fikayo Tomori,6.88
120,Pablo Mari,6.88
123,Pierre Kalulu,6.88
124,Alieu Fadera,6.87
124,Adam Masina,6.87
126,Jesper Karlström,6.87
127,Sebastiano Esposito,6.87
128,Hans Nicolussi Caviglia,6.87
128,Piotr Zielinski,6.87
130,David Neres,6.87
131,Mehmet Zeki Celik,6.86
132,Chico Conceicao,6.86
132,Emanuele Valeri,6.86
134,Juan Cuadrado,6.85
135,Stephan El Shaarawy,6.85
136,Frédéric Guilbert,6.85
136,Nicolo Savona,6.85
138,Alessio Romagnoli,6.85
139,Nikola Krstovic,6.84
140,Samuele Ricci,6.83
141,Wladimiro Falcone,6.83
142,Lorenzo Pellegrini,6.83
143,Nicolo Fagioli,6.83
144,Hernani,6.81
144,Saul Coco,6.81
146,Tete Morente,6.79
147,Sebastiano Luperto,6.79
148,Matteo Darmian,6.79
149,Artem Dovbyk,6.79
150,Jacopo Fazzini,6.79
151,Alex Jimenez,6.78
151,Mergim Vojvoda,6.78
151,Lorenzo Lucca,6.78
151,Jaka Bijol,6.78
155,Dennis Man,6.77
156,Gustav Isaksen,6.77
156,Valentino Lazaro,6.77
158,Mattia Viti,6.77
159,Eldor Shomurodov,6.77
160,Jens Odgaard,6.77
161,Gianluca Busio,6.76
162,Antoine Hainaut,6.76
163,Borna Sosa,6.76
164,Enrico Del Prato,6.76
164,Tino Anjorin,6.76
166,Diego Coppola,6.76
167,Boulaye Dia,6.76
168,Lukasz Skorupski,6.75
169,Giorgos Kyriakopoulos,6.75
170,Ylber Ramadani,6.75
171,Milan Djuric,6.75
172,Mattia Bani,6.75
173,Davide Frattesi,6.75
174,Kingsley Ehizibue,6.75
175,Sandi Lovric,6.74
176,Patrizio Masini,6.74
176,Mandela Keita,6.74
176,Stefano Sabelli,6.74
179,Benjamin Dominguez,6.74
180,Alberto Dossena,6.73
180,Fabio Miretti,6.73
182,Pietro Comuzzo,6.73
183,Daniele Ghilardi,6.72
183,Nadir Zortea,6.72
183,Youssef Maleh,6.72
186,Reda Belahyane,6.71
186,Mikael Egill Ellertsson,6.71
188,Michel Ndary Adopo,6.71
189,Martin Payero,6.71
190,Patrick Dorgu,6.70
190,Lucas Beltran,6.70
192,Malick Thiaw,6.69
193,Adam Obert,6.69
194,Andrea Pinamonti,6.68
195,Darko Lazovic,6.68
196,Alberto Grassi,6.68
196,Liberato Cacace,6.68
198,Suat Serdar,6.68
198,Jackson Tchatchoua,6.68
200,Manuel Lazzari,6.68
201,Thomas Kristensen,6.68
202,Gabriele Zappa,6.67
203,Federico Baschirotto,6.66
204,Jurgen Ekkelenkamp,6.66
205,Simon Sohm,6.66
206,Che Adams,6.66
207,Tommaso Pobega,6.66
208,Thorir Helgason,6.66
208,Balthazar Pierret,6.66
210,Nicolas Viola,6.66
211,Alberto Moreno,6.66
211,Gvidas Gineitis,6.66
213,Edoardo Goldaniga,6.65
213,Adam Marusic,6.65
215,Lautaro Valenti,6.65
216,Jordan Zemura,6.65
216,Jay Idzes,6.65
218,Samuele Birindelli,6.65
219,Joel Pohjanpalo,6.64
220,Domagoj Bradaric,6.64
220,Riccardo Sottil,6.64
222,Patrick Cutrone,6.64
223,Daniel Maldini,6.64
224,Giuseppe Pezzella,6.64
225,Maduka Okoye,6.64
225,Lazar Samardzic,6.64
227,Alessandro Bianco,6.64
228,Andrea Colpani,6.64
229,Marco Brescianini,6.63
