Rank,Player,Rating
1,Hakan Calhanoglu,7.88
2,Lautaro Martinez,7.69
3,Khvicha Kvaratskhelia,7.58
4,Paulo Dybala,7.51
5,Riccardo Calafiori,7.49
6,Marcus Thuram,7.48
7,Rafael Leao,7.45
8,Henrikh Mkhitaryan,7.43
9,Christian Pulisic,7.42
10,Federico Dimarco,7.41
11,Danilo,7.40
12,Alessandro Bastoni,7.38
13,Adrien Rabiot,7.38
14,Albert Gudmundsson,7.38
15,Matias Soulé,7.36
16,Lucas Martinez Quarta,7.32
17,Lewis Ferguson,7.31
18,Benjamin Pavard,7.30
19,Theo Hernández,7.30
20,Manuel Locatelli,7.30
21,Marten de Roon,7.29
22,Luis Alberto,7.29
23,Gleison Bremer,7.28
24,Leandro Paredes,7.27
25,Teun Koopmeiners,7.27
26,Mattia Zaccagni,7.26
27,Alessandro Buongiorno,7.25
28,Ademola Lookman,7.23
29,Nicolás González,7.23
30,Nicolo Barella,7.22
31,Éderson,7.22
32,Bryan Cristante,7.21
33,Morten Frendrup,7.21
34,Victor Osimhen,7.20
35,Francesco Acerbi,7.20
36,Yacine Adli,7.19
37,Giacomo Bonaventura,7.19
38,Joshua Zirkzee,7.18
39,Stanislav Lobotka,7.17
40,Michael Kayode,7.17
41,Tijjani Reijnders,7.17
42,Ruben Loftus-Cheek,7.16
43,Giorgio Scalvini,7.16
43,Remo Freuler,7.16
45,Lorenzo Pellegrini,7.16
45,Matteo Politano,7.16
47,Ivan Ilic,7.15
48,Felipe Anderson,7.14
49,Matteo Pessina,7.14
50,Alexis Saelemaekers,7.14
51,Arthur,7.13
52,Charles De Ketelaere,7.12
53,Lazar Samardzic,7.11
54,Fabiano Parisi,7.11
55,Olivier Giroud,7.10
56,Stefan Posch,7.10
57,Mario Pasalic,7.10
58,Amir Rrahmani,7.10
58,Weston McKennie,7.10
60,Andre-Frank Zambo Anguissa,7.09
61,Milan Badelj,7.09
62,Piotr Zielinski,7.09
63,Aleksey Miranchuk,7.08
64,Walace,7.08
65,Giovanni Di Lorenzo,7.08
66,Alfred Duncan,7.07
67,Jhon Lucumi,7.07
68,Mathias Olivera,7.06
69,Stefan de Vrij,7.06
70,Raoul Bellanova,7.06
71,Federico Chiesa,7.06
72,Antonio Candreva,7.05
73,Yann Sommer,7.04
74,Cristiano Biraghi,7.03
74,Mario Gila,7.03
76,Riccardo Orsolini,7.02
77,Ismael Bennacer,7.02
77,Ondrej Duda,7.02
79,Matteo Ruggeri,7.02
80,Alessandro Florenzi,7.02
81,Dusan Vlahovic,7.00
82,Nicolo Rovella,7.00
83,Fikayo Tomori,7.00
84,Alberto Dossena,7.00
85,Andrea Cambiaso,7.00
86,Berat Djimsiti,6.99
87,Vanja Milinkovic-Savic,6.99
88,Roberto Gagliardini,6.98
89,Duvan Zapata,6.98
90,Elia Caprile,6.97
90,Romelu Lukaku,6.97
92,Nehuén Pérez,6.96
92,Sead Kolasinac,6.96
94,Gianluca Scamacca,6.95
95,Michele Di Gregorio,6.95
96,Luca Mazzitelli,6.95
97,Federico Gatti,6.95
98,Armand Laurienté,6.95
99,Marco Carnesecchi,6.94
100,Wojciech Szczesny,6.94
101,Giangiacomo Magnani,6.94
102,Nikola Milenkovic,6.93
103,Evan N'Dicka,6.93
104,Johan Vásquez,6.92
104,Alessio Romagnoli,6.92
106,Ylber Ramadani,6.92
107,Andrea Colpani,6.92
108,Denzel Dumfries,6.91
109,Enzo Barrenechea,6.91
110,Samuele Ricci,6.90
110,Andrea Carboni,6.90
112,Davide Calabria,6.90
113,Matteo Darmian,6.90
113,Sam Beukema,6.90
113,Victor Kristiansen,6.90
113,Daichi Kamada,6.90
117,Hassane Kamara,6.89
118,Malick Thiaw,6.89
119,Lameck Banda,6.89
120,Suat Serdar,6.89
121,Leo Østigard,6.88
121,Marin Pongracic,6.88
123,Milan Djuric,6.88
124,Filip Kostic,6.88
125,Luca Ranieri,6.88
125,Patric,6.88
127,Antonino Gallo,6.87
127,Radu Dragusin,6.87
129,Jaka Bijol,6.87
130,Cyril Ngonge,6.87
130,Giulio Maggiore,6.87
132,Ricardo Rodriguez,6.87
133,Stephan El Shaarawy,6.86
134,Patrick Ciurria,6.86
135,Josep Martinez,6.86
136,Valentin Gendrey,6.86
137,Sandi Lovric,6.86
137,Diego Coppola,6.86
139,Nikola Vlasic,6.85
140,Mike Maignan,6.84
141,Juan Cabal,6.84
142,Juan Jesus,6.84
143,Tommaso Augello,6.84
144,Leonardo Spinazzola,6.84
145,Grigoris Kastanos,6.83
146,Gianluca Mancini,6.83
146,Nahitan Nández,6.83
146,Valentino Lazaro,6.83
146,Michel Aebischer,6.83
150,Nadir Zortea,6.83
150,Tomas Suslov,6.83
152,Lukasz Skorupski,6.83
153,Roberto Pereyra,6.82
153,Pawel Dawidowicz,6.82
