Rank,Player,Rating
1,Domenico Berardi,7.66
1,Victor Osimhen,7.66
3,Mario Rui,7.62
4,Paulo Dybala,7.60
5,Khvicha Kvaratskhelia,7.60
6,Andre-Frank Zambo Anguissa,7.47
7,Mattia Zaccagni,7.46
8,Adrien Rabiot,7.45
9,Teun Koopmeiners,7.45
10,Sergej Milinkovic-Savic,7.44
11,Min-Jae Kim,7.43
12,Stanislav Lobotka,7.42
13,Lucas Martinez Quarta,7.41
14,Giovanni Di Lorenzo,7.41
15,Rafael Leao,7.39
16,Danilo,7.38
17,Hakan Calhanoglu,7.38
18,Nicolo Barella,7.36
19,Lautaro Martinez,7.35
20,Lorenzo Pellegrini,7.34
21,Felipe Anderson,7.33
22,Matteo Pessina,7.33
23,Sandro Tonali,7.33
24,Ismael Bennacer,7.33
25,Rafael Toloi,7.33
26,Nicolás Dominguez,7.29
26,Theo Hernández,7.29
28,Armand Laurienté,7.29
29,Marcelo Brozovic,7.28
30,Amir Rrahmani,7.28
31,Luis Alberto,7.28
32,Stefan Posch,7.27
33,Piotr Zielinski,7.27
33,Armando Izzo,7.27
35,Cristiano Biraghi,7.26
36,Fabiano Parisi,7.25
37,Carlos Augusto,7.25
38,Morten Hjulmand,7.25
39,Marten de Roon,7.24
40,Iyenoma Udogie,7.24
41,Davide Calabria,7.22
42,Rade Krunic,7.21
43,Ivan Ilic,7.21
44,Manuel Locatelli,7.19
45,Juan Cuadrado,7.19
46,Fikayo Tomori,7.19
47,Nicolo Rovella,7.17
48,Walace,7.16
48,Federico Dimarco,7.16
50,Roger Ibanez,7.15
51,Filip Kostic,7.14
51,Nicolás González,7.14
53,Roberto Pereyra,7.13
54,Ciro Immobile,7.12
55,Lassana Coulibaly,7.11
56,Bryan Cristante,7.11
56,Chris Smalling,7.11
58,Romelu Lukaku,7.10
58,Stephan El Shaarawy,7.10
60,Gleison Bremer,7.10
60,Jerdy Schouten,7.10
62,Boulaye Dia,7.10
63,Ademola Lookman,7.09
64,Valentin Gendrey,7.08
65,Davide Zappacosta,7.08
66,Nikola Vlasic,7.08
67,Mathias Olivera,7.08
68,Francesco Acerbi,7.08
69,Rodrigo Becao,7.07
69,Davide Frattesi,7.07
69,Patrick Ciurria,7.07
69,Antonio Candreva,7.07
73,Dodo,7.06
73,Riccardo Orsolini,7.06
75,Ivan Provedel,7.06
76,Olivier Giroud,7.05
77,Rolando Mandragora,7.05
78,Samuele Ricci,7.05
79,Antonino Gallo,7.05
80,Darko Lazovic,7.05
81,Marko Arnautovic,7.03
81,Matteo Darmian,7.03
83,Razvan Marin,7.03
84,Lewis Ferguson,7.03
85,Nikola Milenkovic,7.03
86,Henrikh Mkhitaryan,7.03
87,Stefano Sensi,7.02
87,Sandi Lovric,7.02
87,Samuel Umtiti,7.02
90,Giacomo Bonaventura,7.02
91,Pasquale Mazzocchi,7.02
92,Antonio Sanabria,7.02
93,Guglielmo Vicario,7.02
93,Matteo Politano,7.02
95,Aleksey Miranchuk,7.01
96,Adam Marusic,7.01
97,Christian Kouamé,7.01
98,Giorgio Scalvini,7.01
99,Edin Dzeko,7.01
100,Alessandro Buongiorno,7.00
100,Jhon Lucumi,7.00
102,Simone Bastoni,7.00
103,Brahim Diaz,7.00
104,Perr Schuurs,7.00
105,Junior Messias,7.00
106,Stefan de Vrij,6.99
106,Federico Baschirotto,6.99
106,Danilo Cataldi,6.99
109,Ethan Ampadu,6.99
110,Nemanja Matic,6.99
111,Hirving Lozano,6.98
112,Andrea Cambiaso,6.98
113,Alessandro Bastoni,6.98
114,Alessio Romagnoli,6.98
115,Alex Sandro,6.97
116,Maxime Lopez,6.97
117,Wilfried Singo,6.96
118,Jaka Bijol,6.96
119,Ricardo Rodriguez,6.96
120,Giorgos Kyriakopoulos,6.96
121,Norbert Gyömbér,6.95
121,Berat Djimsiti,6.95
123,Matheus Henrique,6.94
124,Éderson,6.93
124,Gianluca Mancini,6.93
126,Gabriel Strefezza,6.93
127,Merih Demiral,6.92
128,Joakim Mæhle,6.92
128,Manuel Lazzari,6.92
130,Pierre Kalulu,6.92
131,Nikola Moro,6.92
132,Wladimiro Falcone,6.92
133,Ángel Di Maria,6.91
134,Musa Barrow,6.91
135,Dusan Vlahovic,6.90
136,Alex Meret,6.90
136,Nicolo Cambiaghi,6.90
138,Isak Hien,6.89
138,Igor,6.89
138,Ardian Ismajli,6.89
141,Tyronne Ebuehi,6.89
142,Nicola Zalewski,6.88
143,Milan Djuric,6.88
144,Lazar Samardzic,6.87
145,Vanja Milinkovic-Savic,6.87
146,Eljif Elmas,6.87
146,Nehuén Pérez,6.87
148,Aleksa Terzic,6.87
148,Mehdi Bourabia,6.87
150,Mike Maignan,6.87
151,Nicolo Casale,6.86
151,Elseid Hysaj,6.86
153,Pawel Dawidowicz,6.85
153,Pedro Rodriguez,6.85
153,Johan Vásquez,6.85
156,Wojciech Szczesny,6.84
157,Sofyan Amrabat,6.84
158,Tommaso Augello,6.83
159,Valentino Lazaro,6.83
160,Gary Medel,6.83
160,Mehmet Zeki Celik,6.83
162,Lorenzo Montipo,6.82
163,Denzel Dumfries,6.82
163,Harry Winks,6.82
163,Nicolo Fagioli,6.82
166,Tammy Abraham,6.81
167,Rémi Oudin,6.81
167,Alessandro Zanoli,6.81
167,Soualiho Meité,6.81
170,Leonardo Sernicola,6.80
171,Flavius Daniliuc,6.80
172,Dany Mota,6.80
172,Kingsley Ehizibue,6.80
172,Alberto Grassi,6.80
172,Gianluca Caprari,6.80
172,Andre Onana,6.80
177,Domagoj Bradaric,6.79
178,Matias Vecino,6.79
178,Leonardo Spinazzola,6.79
180,Luka Lochoshvili,6.79
181,Arkadiusz Reca,6.78
182,Alexis Blin,6.78
182,Emanuel Aiwu,6.78
184,Sebastiano Luperto,6.78
185,Rogério,6.77
186,Mergim Vojvoda,6.77
186,Leandro Paredes,6.77
188,Pablo Mari,6.77
188,Arkadiusz Milik,6.77
190,Jonathan Ikoné,6.77
190,Arthur Cabral,6.77
192,Michele Castagnetti,6.77
193,Mehdi Leris,6.76
193,Koray Günter,6.76
193,Adrien Tamèze,6.76
196,Emil Audero,6.76
197,Lorenzo Pirola,6.75
198,Emanuele Valeri,6.75
199,Tommaso Baldanzi,6.75
199,Josh Doig,6.75
199,Roberto Soriano,6.75
202,Adama Soumaoro,6.74
202,Federico Chiesa,6.74
202,Andrea Colpani,6.74
202,Koffi Djidji,6.74
206,Alex Ferrari,6.73
206,Emil Holm,6.73
208,Michele Di Gregorio,6.73
209,Milan Skriniar,6.73
209,Alexis Saelemaekers,6.73
209,Guillermo Ochoa,6.73
212,Karol Linetty,6.73
213,Jean-Daniel Akpa-Akpro,6.73
214,Filippo Bandinelli,6.72
215,Lukasz Skorupski,6.71
216,Charalambos Lykogiannis,6.71
216,Tonny Vilhena,6.71
218,Frank Tsadjout,6.70
218,Marco Davide Faraoni,6.70
218,Beto,6.70
218,Dimitrios Nikolaou,6.70
222,M'Bala Nzola,6.70
223,Marco Carnesecchi,6.70
224,Martin Erlic,6.70
225,Riccardo Saponara,6.69
226,Mario Pasalic,6.68
227,Grigoris Kastanos,6.68
228,Isaac Success,6.67
228,Matteo Bianchetti,6.67
228,Luis Muriel,6.67
228,Dylan Bronn,6.67
232,Simone Verdi,6.67
233,Rasmus Højlund,6.66
233,Ante Rebic,6.66
235,Albin Ekdal,6.66
236,Luca Caldirola,6.66
236,Kelvin Amian,6.66
238,David Okereke,6.65
238,Federico Ceccherini,6.65
238,Alfred Duncan,6.65
238,Bruno Amione,6.65
242,Robin Gosens,6.65
243,Giangiacomo Magnani,6.65
243,Juan Musso,6.65
245,Bram Nuytinck,6.64
245,Jeremy Toljan,6.64
247,Petar Stojanovic,6.63
247,Krzysztof Piatek,6.63
247,Tomas Rincon,6.63
250,Pietro Terracciano,6.63
250,Kevin Agudelo,6.63
252,Jose Machin,6.62
253,Emil Bohinen,6.61
253,Nedim Bajrami,6.61
253,Andrea Petagna,6.61
256,Miguel Veloso,6.60
257,Moise Kean,6.59
257,Marco Silvestri,6.59
259,Manolo Gabbiadini,6.58
260,Giacomo Raspadori,6.58
261,Sam Lammers,6.58
262,Luka Jovic,6.57
262,Daniele Verde,6.57
262,Joan Gonzalez,6.57
265,Filip Djuricic,6.57
265,Fabio Depaoli,6.57
267,Nemanja Radonjic,6.57
268,Antonin Barak,6.56
269,Francesco Caputo,6.56
270,Joaquin Correa,6.56
271,Fabio Miretti,6.56
272,Charles Pickel,6.56
273,Kristian Thorstvedt,6.54
273,Tanguy Ndombélé,6.54
273,Assan Ceesay,6.54
276,Bartlomiej Dragowski,6.52
277,Samuele Birindelli,6.52
277,Duvan Zapata,6.52
277,Gian Marco Ferrari,6.52
280,Federico Di Francesco,6.51
280,Rui Patricio,6.51
282,Lameck Banda,6.50
283,Marlon,6.48
283,Federico Bonazzoli,6.48
283,Tolgay Arslan,6.48
283,Ruan Tressoldi,6.48
287,Cyriel Dessers,6.46
288,Daniel Ciofani,6.45
288,Charles De Ketelaere,6.45
290,Michel Aebischer,6.44
290,Cristian Buonaiuto,6.44
292,Divock Origi,6.43
292,Nicolas Haas,6.43
294,Martin Satriano,6.42
295,Emmanuel Quartsin Gyasi,6.40
295,Yayah Kallon,6.40
297,Liam Henderson,6.38
297,Eldor Shomurodov,6.38
299,Erik Botheim,6.35
299,Youssef Maleh,6.35
301,Andrea Consigli,6.33
302,Gregoire Defrel,6.31
302,Fabio Quagliarella,6.31
304,Andrea Pinamonti,6.30
305,Andrea Belotti,6.29
306,Kevin Lasagna,6.28
307,Lorenzo Colombo,6.25
308,Felix Afena-Gyan,6.01
