Rank,Player,Rating
204,Yann Karamoh,6.59
205,Samir,6.58
205,Federico Ceccherini,6.58
207,Alessio Cragno,6.58
208,Giuseppe Pezzella,6.58
208,Andrea Masiello,6.58
210,Marash Kumbulla,6.57
210,Jens Stryger Larsen,6.57
210,Julian Chabot,6.57
210,Pedro Obiang,6.57
210,Mert Müldür,6.57
215,Riccardo Sottil,6.56
216,Valerio Verre,6.56
217,Marlon,6.56
218,Mattia Perin,6.56
219,Riccardo Improta,6.55
220,Eldor Shomurodov,6.55
220,Sandro Tonali,6.55
222,Goran Pandev,6.55
223,Luca Ceppitelli,6.54
223,Perparim Hetemaj,6.54
225,Pawel Dawidowicz,6.54
225,Sofyan Amrabat,6.54
225,Riccardo Gagliolo,6.54
228,Ivan Radovanovic,6.53
228,Mohamed Fares,6.53
230,Kevin Agudelo,6.53
230,Sasa Lukic,6.53
232,Soualiho Meité,6.53
233,Gaetano Castrovilli,6.52
234,Mitchell Dijks,6.52
235,Mattias Svanberg,6.52
236,Yordan Osorio,6.52
237,Martin Cáceres,6.51
238,Claudio Terzi,6.51
238,Martin Erlic,6.51
240,Gaston Ramirez,6.51
240,Marvin Zeegelaar,6.51
242,Samir Handanovic,6.50
243,Jeremy Toljan,6.50
243,Stefano Okaka Chuka,6.50
243,Nahuel Estévez,6.50
243,Lyanco,6.50
247,Simone Zaza,6.50
248,Gianluca Lapadula,6.49
248,Samuel Castillejo,6.49
248,Matteo Lovato,6.49
251,Paolo Ghiglione,6.48
252,Andreas Cornelius,6.48
253,Patric,6.47
253,Alessandro Tuia,6.47
255,Germán Pezzella,6.46
255,Gonzalo Escalante,6.46
255,Danilo,6.46
258,Marco Silvestri,6.45
259,Karol Linetty,6.45
260,Giovanni Simeone,6.44
260,Luca Vignali,6.44
260,Gabriele Zappa,6.44
263,Jean-Daniel Akpa-Akpro,6.43
263,Bruno Alves,6.43
265,Pepe Reina,6.42
265,Radja Nainggolan,6.42
265,Lorenzo De Silvestri,6.42
265,Alessandro Deiola,6.42
269,Niccolo Zanellato,6.41
270,Kamil Glik,6.41
271,Edoardo Goldaniga,6.41
271,Milos Vulic,6.41
273,Eljif Elmas,6.40
274,Pedro Pereira,6.40
274,Pau Lopez,6.40
276,Lorenzo Venuti,6.39
277,Marco Sau,6.37
277,Koffi Djidji,6.37
279,Alex Meret,6.36
280,Bartlomiej Dragowski,6.35
281,Lisandro Magallán,6.34
281,Alberto Grassi,6.34
283,Mattia Bani,6.33
283,Daam Foulon,6.33
285,Lukasz Skorupski,6.33
286,Kevin Lasagna,6.32
286,Riccardo Marchizza,6.32
288,Federico Barba,6.31
289,Artur Ionita,6.30
289,Marko Pjaca,6.30
291,Luca Caldirola,6.30
292,Vedat Muriqi,6.28
293,Ivan Provedel,6.27
294,Maxime Busi,6.27
295,Juan Musso,6.26
296,Sebastian Walukiewicz,6.26
297,Fabio Depaoli,6.24
298,Christian Kouamé,6.23
299,Ebrima Colley,6.22
300,Andreas Pereira,6.16
301,Valon Behrami,6.14
302,Luca Marrone,6.05
303,Sebastiano Luperto,6.03
304,Lorenzo Montipo,5.98
305,Vladimir Golemic,5.91
306,Salvatore Sirigu,5.86
307,Luigi Sepe,5.83
308,Alex Cordaz,5.77
