Rank,Player,Rating
1,Domenico Berardi,7.81
2,Sergej Milinkovic-Savic,7.69
3,Hakan Calhanoglu,7.66
4,Marcelo Brozovic,7.63
5,Theo Hernández,7.62
6,Fabián Ruiz,7.61
7,Ciro Immobile,7.59
8,Lorenzo Insigne,7.58
9,Ivan Perisic,7.57
9,Gianluca Caprari,7.57
11,Nicolo Barella,7.55
12,Lorenzo Pellegrini,7.54
13,Juan Cuadrado,7.52
14,Rafael Leao,7.51
15,Kalidou Koulibaly,7.49
16,Paulo Dybala,7.49
17,Andre-Frank Zambo Anguissa,7.46
18,Henrikh Mkhitaryan,7.43
19,Gleison Bremer,7.43
20,Giovanni Di Lorenzo,7.42
21,Mario Rui,7.42
22,Lautaro Martinez,7.41
23,Sandro Tonali,7.38
24,Fikayo Tomori,7.37
25,José Luis Palomino,7.37
26,Davide Calabria,7.37
27,Luis Muriel,7.36
28,Franck Kessié,7.36
29,Danilo,7.35
30,Stanislav Lobotka,7.34
31,Antonio Candreva,7.34
32,Mattia Zaccagni,7.34
33,Gerard Deulofeu,7.33
34,Tammy Abraham,7.32
35,Sasa Lukic,7.32
36,Victor Osimhen,7.31
37,Maxime Lopez,7.31
38,Luis Alberto,7.30
39,Edin Dzeko,7.29
40,Pierre Kalulu,7.28
41,Dusan Vlahovic,7.27
42,Felipe Anderson,7.27
43,Milan Badelj,7.26
44,Walace,7.26
45,Darko Lazovic,7.24
46,Nicolás González,7.24
47,Marten de Roon,7.23
48,Mario Pasalic,7.22
49,Simone Bastoni,7.21
50,Alessandro Bastoni,7.21
51,Manuel Locatelli,7.21
52,Antonin Barak,7.21
53,Alberto Grassi,7.20
54,Duvan Zapata,7.20
55,Dries Mertens,7.19
56,Teun Koopmeiners,7.19
57,Pedro Rodriguez,7.18
58,Domenico Criscito,7.18
59,Jordan Veretout,7.18
60,Roger Ibanez,7.17
61,Marco Davide Faraoni,7.17
62,Adrien Rabiot,7.17
63,Bryan Cristante,7.17
64,Olivier Giroud,7.16
65,Federico Dimarco,7.16
66,Remo Freuler,7.15
67,Rafael Toloi,7.15
68,Giacomo Bonaventura,7.14
69,Marko Arnautovic,7.14
70,Nicolás Dominguez,7.14
71,Hamed Traorè,7.13
72,Adrien Tamèze,7.13
73,Lucas Torreira,7.13
74,Wilfried Singo,7.13
75,Matthijs de Ligt,7.11
76,Milan Skriniar,7.10
77,Leonardo Bonucci,7.09
78,Iyenoma Udogie,7.09
79,Álvaro Morata,7.09
80,Nicolo Rovella,7.09
81,Ismael Bennacer,7.08
82,Amir Rrahmani,7.08
82,Giorgos Kyriakopoulos,7.08
84,Junior Messias,7.08
85,Davide Frattesi,7.06
86,Josip Brekalo,7.06
87,Piotr Zielinski,7.04
88,Szymon Zurkowski,7.04
88,Giacomo Raspadori,7.04
90,Stefan de Vrij,7.04
91,Nahuel Molina,7.04
92,Milan Djuric,7.03
93,Mike Maignan,7.03
93,Miguel Veloso,7.03
95,Tommaso Pobega,7.02
96,Ruslan Malinovsky,7.02
97,Matteo Pessina,7.02
97,Giorgio Chiellini,7.02
99,Denzel Dumfries,7.01
100,Cristiano Biraghi,7.01
101,Rick Karsdorp,7.01
101,Weston McKennie,7.01
103,Berat Djimsiti,7.00
104,Francesco Acerbi,7.00
105,Hirving Lozano,6.99
105,Ricardo Rodriguez,6.99
107,Ethan Ampadu,6.99
108,Ivan Ilic,6.98
109,Petar Stojanovic,6.98
110,Roberto Soriano,6.98
111,Daniele Verde,6.98
112,Mergim Vojvoda,6.98
113,Omar Colley,6.97
113,Samuele Ricci,6.97
115,Merih Demiral,6.97
115,Danilo Cataldi,6.97
117,Ola Aina,6.96
118,Ridgeciano Haps,6.95
119,Chris Smalling,6.95
120,Alexis Saelemaekers,6.95
121,Aaron Hickey,6.95
122,Nicolo Casale,6.94
122,Davide Zappacosta,6.94
124,Gianluca Scamacca,6.94
124,Musa Barrow,6.94
126,Riccardo Orsolini,6.94
127,Arthur Theate,6.93
127,Igor,6.93
129,Rodrigo Becao,6.93
130,Joao Pedro,6.93
131,Mattia Aramu,6.93
131,Francesco Caputo,6.93
133,Nikola Milenkovic,6.92
134,Jean-Victor Makengo,6.92
135,Roberto Pereyra,6.92
136,Giovanni Simeone,6.91
137,Alessandro Florenzi,6.91
138,Johan Vásquez,6.90
139,Rolando Mandragora,6.90
140,Rade Krunic,6.89
140,Matias Vina,6.89
140,Bartosz Bereszynski,6.89
143,Nedim Bajrami,6.89
144,Andrea Cambiaso,6.89
145,Koray Günter,6.89
146,Tolgay Arslan,6.89
147,Matteo Darmian,6.88
147,Brahim Diaz,6.88
149,Gaetano Castrovilli,6.87
150,Mattias Svanberg,6.87
151,Koffi Djidji,6.87
152,Razvan Marin,6.86
153,Matteo Lovato,6.86
154,Gary Medel,6.85
155,Mattia Caldara,6.84
156,Alex Sandro,6.84
156,Albin Ekdal,6.84
158,Gianluca Mancini,6.84
158,Stephan El Shaarawy,6.84
158,Giulio Maggiore,6.84
161,Nahitan Nández,6.83
162,Joaquin Correa,6.82
163,Kristjan Asllani,6.82
164,Luiz Felipe,6.82
165,Rogério,6.81
166,Andrea Belotti,6.81
167,Dennis Praet,6.81
168,Alexis Sánchez,6.81
169,Eljif Elmas,6.81
170,Arkadiusz Reca,6.80
170,Mert Müldür,6.80
170,Alessandro Buongiorno,6.80
173,Grigoris Kastanos,6.80
174,Adam Marusic,6.80
175,David Ospina,6.80
176,Raoul Bellanova,6.80
177,Fabiano Parisi,6.79
178,Aleksey Miranchuk,6.79
178,Federico Bernardeschi,6.79
180,Matteo Politano,6.79
181,Andrea Pinamonti,6.79
182,Riccardo Saponara,6.79
183,Gian Marco Ferrari,6.78
183,Joakim Mæhle,6.78
185,Samir Handanovic,6.77
186,Morten Thorsby,6.76
187,Elseid Hysaj,6.76
187,David Zima,6.76
187,Pietro Ceccaroni,6.76
187,Federico Bonazzoli,6.76
187,Lucas Leiva,6.76
192,Mattia Viti,6.75
193,Lorenzo De Silvestri,6.75
193,Antonio Sanabria,6.75
195,Nicolo Zaniolo,6.75
195,Alessandro Deiola,6.75
195,Manuel Lazzari,6.75
198,Tommaso Augello,6.74
198,Lassana Coulibaly,6.74
198,Emmanuel Quartsin Gyasi,6.74
198,Federico Ceccherini,6.74
202,Antonio Junior Vacca,6.73
202,Jeremie Boga,6.73
204,Wojciech Szczesny,6.72
204,Sofyan Amrabat,6.72
206,Beto,6.72
207,Alex Ferrari,6.71
208,Riccardo Sottil,6.71
209,Jakub Kiwior,6.70
209,Dimitrios Nikolaou,6.70
211,Bram Nuytinck,6.69
211,Dalbert,6.69
213,Adama Soumaoro,6.68
213,Alfred Duncan,6.68
215,Lukasz Skorupski,6.67
216,Maya Yoshida,6.67
217,Sebastiano Luperto,6.66
218,Ignacio Pussetto,6.65
219,Martin Erlic,6.65
219,Hans Hateboer,6.65
221,Jeremy Toljan,6.64
221,Gianluca Busio,6.64
223,Isaac Success,6.64
223,Nehuén Pérez,6.64
223,Liam Henderson,6.64
223,Salvador Ferrer,6.64
227,Lorenzo Venuti,6.63
227,Moise Kean,6.63
229,David Okereke,6.62
229,Kevin Agudelo,6.62
229,Pasquale Mazzocchi,6.62
232,Tomas Rincon,6.61
233,Vlad Chiriches,6.60
233,Nadir Zortea,6.60
235,Gaston Pereiro,6.60
236,Leo Stulac,6.60
237,Thomas Henry,6.60
238,Arturo Vidal,6.59
239,Ante Rebic,6.59
239,Manolo Portanova,6.59
239,Viktor Kovalenko,6.59
242,Luca Ranieri,6.59
242,Filippo Bandinelli,6.59
244,Ivan Provedel,6.58
245,Marko Pjaca,6.58
