"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"19;""Marco Asensio"";""Real Madrid"";31;1422;9;6;6.37;5.17;0.4;0.33;0.73;0.68;0.96;0.55",
"20;""Ángel Correa"";""Atletico Madrid"";35;1434;9;1;6.72;4.06;0.42;0.25;0.68;0.68;0.75;0.29",
"21;""Takefusa Kubo"";""Real Sociedad"";35;2483;9;4;7.15;6.84;0.26;0.25;0.51;0.51;0.58;0.18",
"22;""Rodrygo"";""Real Madrid"";34;2385;9;8;14.77;7.27;0.56;0.27;0.83;0.8;1.02;0.41",
"23;""Isi Palazón"";""Rayo Vallecano"";37;3041;9;5;7.68;4.77;0.23;0.14;0.37;0.3;0.31;0.13",
"24;""Ante Budimir"";""Osasuna"";31;1825;8;0;8;0.74;0.39;0.04;0.43;0.43;0.42;0.07",
"25;""Borja Mayoral"";""Getafe"";35;2812;8;2;9.48;3.15;0.3;0.1;0.4;0.36;0.34;0.04",
"26;""Youssef En-Nesyri"";""Sevilla"";31;1642;8;1;9.02;1.5;0.49;0.08;0.58;0.58;0.59;0.09",
"27;""Brais Méndez"";""Real Sociedad"";34;2439;8;4;5.8;3.79;0.21;0.14;0.35;0.35;0.48;0.25",
"28;""Ezequiel Ávila"";""Osasuna"";29;1762;8;2;6.88;2.66;0.35;0.14;0.49;0.37;0.36;0.07",
"29;""Cyle Larin"";""Real Valladolid"";19;1476;8;3;7.6;2.52;0.46;0.15;0.62;0.53;0.49;0.02",
"30;""Lucas Boyé"";""Elche"";35;2500;7;2;9.72;3.56;0.35;0.13;0.48;0.45;0.46;0.13",
"31;""Gerard Moreno"";""Villarreal"";21;1232;7;3;9.87;2.51;0.72;0.18;0.9;0.8;0.89;0.22",
"32;""Morales"";""Villarreal"";29;1176;7;0;6.66;1.88;0.51;0.14;0.65;0.65;0.7;0.05",
"33;""Yannick Carrasco"";""Atletico Madrid"";35;2342;7;3;8.94;4.49;0.34;0.17;0.52;0.49;0.64;0.24",
"34;""Federico Valverde"";""Real Madrid"";34;2504;7;4;4.02;6.36;0.14;0.23;0.37;0.37;0.74;0.49",
"35;""Javi Puado"";""Espanyol"";37;2373;7;2;7.29;3.25;0.28;0.12;0.4;0.4;0.35;0.11",
"36;""Anssumane Fati"";""Barcelona"";36;1342;7;3;10.53;1.69;0.71;0.11;0.82;0.82;1.1;0.37",
"37;""Raphinha"";""Barcelona"";36;2107;7;7;10.04;10.53;0.43;0.45;0.88;0.88;1.1;0.59",
"38;""El Bilal Touré"";""Almeria"";21;1278;7;2;6.23;0.74;0.44;0.05;0.49;0.49;0.55;0.09",
"39;""Erik Lamela"";""Sevilla"";32;1846;6;0;6.22;1.53;0.3;0.07;0.38;0.38;0.47;0.19",
"40;""Rafa Mir"";""Sevilla"";26;1303;6;0;8.14;0.92;0.56;0.06;0.63;0.63;0.6;0.08",
"41;""Sergi Darder"";""Espanyol"";38;3349;6;3;3.46;8.39;0.09;0.23;0.32;0.32;0.41;0.28",
"42;""Pere Milla"";""Elche"";31;1882;6;1;5.17;1.31;0.25;0.06;0.31;0.2;0.26;0.11",
"43;""Sergio León"";""Real Valladolid"";29;1313;6;1;4.21;1.71;0.29;0.12;0.41;0.3;0.35;0.1",
"44;""Justin Kluivert"";""Valencia"";26;1453;6;0;6.61;2.74;0.41;0.17;0.58;0.53;0.62;0.14",
"45;""Gorka Guruzeta"";""Athletic Club"";30;1409;6;1;6.38;1.24;0.41;0.08;0.49;0.49;0.61;0.21",
"46;""Samuel Chukwueze"";""Villarreal"";37;2360;6;5;7.25;4.41;0.28;0.17;0.44;0.44;0.6;0.21",
"47;""Lee Kang-In"";""Mallorca"";36;2876;6;6;5.01;6.46;0.16;0.2;0.36;0.36;0.36;0.15",
"48;""Sergio Camello"";""Rayo Vallecano"";38;2442;6;5;7.06;2.19;0.26;0.08;0.34;0.34;0.36;0.06",
"49;""Álex Baena"";""Villarreal"";35;1925;6;2;4.28;5.16;0.2;0.24;0.44;0.44;0.66;0.37",
"50;""Pedri"";""Barcelona"";26;2002;6;1;4.98;5.75;0.22;0.26;0.48;0.48;1.12;0.77",
"51;""Nico Williams"";""Athletic Club"";36;2713;6;4;6.02;5.54;0.2;0.18;0.38;0.38;0.52;0.19",
"52;""Samuel Lino"";""Valencia"";38;2926;6;1;8.72;2.21;0.27;0.07;0.34;0.34;0.51;0.2",
