"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Karim Benzema"";""Real Madrid"";32;2614;27;12;24.67;9;0.85;0.31;1.16;0.88;0.99;0.33",
"2;""Juanmi"";""Real Betis"";33;2183;17;4;10.19;2.73;0.42;0.11;0.53;0.53;0.6;0.14",
"3;""Iago Aspas"";""Celta Vigo"";37;3098;17;5;14.59;6.39;0.42;0.19;0.61;0.5;0.58;0.2",
"4;""Raúl de Tomás"";""Espanyol"";34;2942;17;3;15.71;1.61;0.48;0.05;0.53;0.42;0.42;0.1",
"5;""Vinícius Júnior"";""Real Madrid"";35;2712;17;10;14.6;9.23;0.48;0.31;0.79;0.79;1.03;0.39",
"6;""Enes Ünal"";""Getafe"";37;2848;16;1;11.38;1.57;0.36;0.05;0.41;0.32;0.26;0.05",
"7;""Joselu"";""Alaves"";37;3132;14;4;13.48;3.92;0.39;0.11;0.5;0.35;0.33;0.09",
"8;""Morales"";""Levante"";35;2737;13;7;13.54;5.41;0.45;0.18;0.62;0.5;0.58;0.12",
"9;""Memphis Depay"";""Barcelona"";28;1845;12;2;11.86;4.67;0.58;0.23;0.81;0.63;0.77;0.33",
"10;""Ángel Correa"";""Atletico Madrid"";36;1879;12;5;7.53;3.65;0.36;0.17;0.54;0.54;0.69;0.21",
"11;""Luis Suárez"";""Atletico Madrid"";35;1829;11;2;10.48;1.86;0.52;0.09;0.61;0.5;0.51;0.11",
"12;""Carlos Soler"";""Valencia"";32;2489;11;5;8.92;4.17;0.32;0.15;0.47;0.29;0.33;0.18",
"13;""Gonçalo Guedes"";""Valencia"";36;2653;11;6;7.21;5.61;0.24;0.19;0.43;0.38;0.43;0.18",
"14;""Pierre-Emerick Aubameyang"";""Barcelona"";17;1105;10;1;8.83;1.3;0.72;0.11;0.83;0.83;0.94;0.21",
"15;""Marco Asensio"";""Real Madrid"";31;1733;10;0;7.72;2.27;0.4;0.12;0.52;0.52;0.73;0.31",
"16;""Jorge Molina"";""Granada"";35;1940;10;5;7.5;4.06;0.35;0.19;0.54;0.5;0.48;0.06",
"17;""Borja Iglesias"";""Real Betis"";33;1574;10;0;8.5;2.32;0.49;0.13;0.62;0.49;0.48;0.14",
"18;""Rafa Mir"";""Sevilla"";34;1769;10;0;8.39;0.31;0.43;0.02;0.44;0.44;0.55;0.16",
"19;""Arnaut Danjuma Groeneveld"";""Villarreal"";23;1483;10;3;12.82;2.39;0.78;0.15;0.92;0.79;0.87;0.18",
"20;""Gerard Moreno"";""Villarreal"";17;1190;9;3;7.68;4.97;0.58;0.38;0.96;0.84;0.8;0.18",
"21;""Mikel Oyarzabal"";""Real Sociedad"";22;1685;9;3;9.38;4;0.5;0.21;0.71;0.52;0.55;0.17",
"22;""Willian José"";""Real Betis"";32;1615;9;4;6.62;2.19;0.37;0.12;0.49;0.37;0.49;0.19",
"23;""Ante Budimir"";""Osasuna"";28;1746;8;2;9.98;1.07;0.51;0.06;0.57;0.49;0.48;0.09",
"24;""Iñaki Williams"";""Athletic Club"";38;2796;8;5;15.02;7.53;0.48;0.24;0.73;0.7;0.8;0.18",
"25;""Pere Milla"";""Elche"";32;1634;8;3;4.58;1.82;0.25;0.1;0.35;0.35;0.53;0.21",
