"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Lionel Messi"";""Barcelona"";35;3017;30;9;26.68;11.42;0.8;0.34;1.14;1.03;1.13;0.61",
"2;""Gerard Moreno"";""Villarreal"";33;2680;23;7;19.53;7.81;0.66;0.26;0.92;0.67;0.78;0.23",
"3;""Karim Benzema"";""Real Madrid"";34;2914;23;9;19.45;6.76;0.6;0.21;0.81;0.79;0.87;0.19",
"4;""Luis Suárez"";""Atletico Madrid"";32;2541;21;3;17.89;3.14;0.63;0.11;0.75;0.67;0.66;0.04",
"5;""Youssef En-Nesyri"";""Sevilla"";38;2308;18;0;15.79;2.64;0.62;0.1;0.72;0.72;0.69;0.04",
"6;""Alexander Isak"";""Real Sociedad"";34;2389;16;2;16.47;1.84;0.62;0.07;0.69;0.66;0.66;0.11",
"7;""Morales"";""Levante"";38;2469;14;3;7.8;4.62;0.28;0.17;0.45;0.43;0.46;0.12",
"8;""Iago Aspas"";""Celta Vigo"";33;2878;14;13;12.26;9.31;0.38;0.29;0.67;0.56;0.79;0.36",
"9;""Antoine Griezmann"";""Barcelona"";36;2646;13;7;12.43;6.66;0.42;0.23;0.65;0.6;0.84;0.41",
"10;""Rafa Mir"";""SD Huesca"";38;2881;13;1;15.11;0.79;0.47;0.02;0.5;0.43;0.41;0.06",
"11;""Santi Mina"";""Celta Vigo"";34;2443;12;3;9.36;2.63;0.34;0.1;0.44;0.41;0.54;0.19",
"12;""Marcos Llorente"";""Atletico Madrid"";37;2960;12;11;4.77;6.39;0.15;0.19;0.34;0.34;0.59;0.32",
"13;""Roger"";""Levante"";33;2218;12;4;9.54;2.57;0.39;0.1;0.49;0.37;0.52;0.17",
"14;""Kike García"";""Eibar"";37;3124;12;2;10.61;1.9;0.31;0.05;0.36;0.36;0.42;0.13",
"15;""Joselu"";""Alaves"";37;3044;11;3;12.15;3.79;0.36;0.11;0.47;0.38;0.32;0.03",
"16;""Ante Budimir"";""Osasuna"";30;1628;11;0;9.93;0.77;0.55;0.04;0.59;0.59;0.52;0.05",
"17;""Mikel Oyarzabal"";""Real Sociedad"";33;2442;11;8;10.84;7.36;0.4;0.27;0.67;0.48;0.69;0.37",
"18;""Carlos Soler"";""Valencia"";32;2745;11;8;9.41;5.28;0.31;0.17;0.48;0.26;0.32;0.19",
"19;""Borja Iglesias"";""Real Betis"";28;1413;11;0;8.95;0.64;0.57;0.04;0.61;0.37;0.4;0.15",
"20;""Ángel Correa"";""Atletico Madrid"";38;2437;9;8;8.86;7.43;0.33;0.27;0.6;0.6;0.68;0.19",
"21;""Roberto Soldado"";""Granada"";29;1452;9;0;5.59;0.59;0.35;0.04;0.38;0.29;0.26;0.04",
"22;""Brais Méndez"";""Celta Vigo"";34;2693;9;0;7.98;2.94;0.27;0.1;0.36;0.34;0.56;0.3",
"23;""Álvaro Negredo"";""Cadiz"";35;2247;8;4;6.64;3.94;0.27;0.16;0.42;0.42;0.4;0.08",
"24;""Jorge Molina"";""Granada"";33;1604;8;2;5.96;1.95;0.33;0.11;0.44;0.4;0.48;0.11",
"25;""Sergio Canales"";""Real Betis"";31;2509;8;6;5.71;7.23;0.2;0.26;0.46;0.38;0.44;0.22",
"26;""Alex Berenguer"";""Athletic Club"";35;2306;8;4;6.04;3.69;0.24;0.14;0.38;0.38;0.47;0.21",
"27;""Portu"";""Real Sociedad"";37;2181;8;3;6.31;3.69;0.26;0.15;0.41;0.41;0.49;0.15",
"28;""Lucas Boyé"";""Elche"";34;2728;7;2;6.14;1.14;0.2;0.04;0.24;0.24;0.22;0.05",
"29;""Nolito"";""Celta Vigo"";36;2671;7;5;6.98;5.51;0.24;0.19;0.42;0.42;0.68;0.32",
"30;""Roberto Torres"";""Osasuna"";35;1869;7;1;6.14;2.21;0.3;0.11;0.4;0.22;0.27;0.13",
"31;""Maxi Gómez"";""Valencia"";31;2716;7;1;6.65;1.05;0.22;0.03;0.26;0.26;0.26;0.03",
"32;""Gonzalo Melero"";""Levante"";29;1868;7;1;3.87;1.6;0.19;0.08;0.26;0.26;0.54;0.39",
"33;""João Félix"";""Atletico Madrid"";31;1558;7;5;5.8;4.21;0.34;0.24;0.58;0.49;0.64;0.28",
"34;""Casemiro"";""Real Madrid"";34;2902;6;4;6.69;2.91;0.21;0.09;0.3;0.3;0.44;0.32",
"35;""Yannick Carrasco"";""Atletico Madrid"";30;2201;6;10;5.16;6.88;0.21;0.28;0.49;0.49;0.62;0.26",
"36;""Fabián Orellana"";""Real Valladolid"";30;2168;6;2;5.64;3.32;0.23;0.14;0.37;0.25;0.39;0.2",
"37;""Paco Alcácer"";""Villarreal"";27;1568;6;4;8.92;3.05;0.51;0.18;0.69;0.6;0.59;0.08",
"38;""Iñaki Williams"";""Athletic Club"";38;2395;6;6;6.33;4.67;0.24;0.18;0.41;0.39;0.51;0.16",
"39;""Sandro Ramírez"";""SD Huesca"";20;1301;6;1;2.41;0.51;0.17;0.04;0.2;0.2;0.29;0.15",
"40;""Ousmane Dembélé"";""Barcelona"";30;1774;6;3;6.03;4.51;0.31;0.23;0.53;0.53;0.73;0.33",
"41;""Fidel"";""Elche"";30;2410;6;3;4.15;4.92;0.16;0.18;0.34;0.26;0.31;0.12",
"42;""Shon Weissman"";""Real Valladolid"";32;2133;6;1;5.86;2.61;0.25;0.11;0.36;0.36;0.4;0.1",
"43;""Lucas Ocampos"";""Sevilla"";34;2658;5;4;10.78;6.15;0.36;0.21;0.57;0.45;0.48;0.17",
"44;""Carlos Bacca"";""Villarreal"";23;778;5;0;3.81;1.23;0.44;0.14;0.58;0.58;0.63;0.12",
"45;""Cristian Tello"";""Real Betis"";29;1264;5;3;2.58;2.19;0.18;0.16;0.34;0.34;0.48;0.16",
"46;""Jonathan Calleri"";""Osasuna"";25;1560;5;2;5.45;0.79;0.31;0.05;0.36;0.36;0.41;0.12",
"47;""Edgar Méndez"";""Alaves"";33;2123;5;1;4.71;1.29;0.2;0.05;0.25;0.25;0.28;0.03",
"48;""Marco Asensio"";""Real Madrid"";35;1886;5;2;4.13;3.19;0.2;0.15;0.35;0.35;0.55;0.29",
"49;""Luka Modric"";""Real Madrid"";35;2748;5;3;2.58;4.63;0.08;0.15;0.24;0.24;0.55;0.45",
"50;""Raúl García"";""Athletic Club"";34;1742;5;1;5.92;1.02;0.31;0.05;0.36;0.24;0.36;0.15",
"51;""Muniain"";""Athletic Club"";28;1970;5;3;5.35;3.48;0.24;0.16;0.4;0.4;0.5;0.31",
"52;""Nabil Fekir"";""Real Betis"";33;2660;5;5;7.14;5.16;0.24;0.17;0.42;0.34;0.44;0.21",
"53;""Ángel"";""Getafe"";33;1350;5;0;6.36;0.69;0.42;0.05;0.47;0.37;0.36;0.1",
"54;""Gonçalo Guedes"";""Valencia"";31;2310;5;5;3.05;4.02;0.12;0.16;0.28;0.28;0.38;0.19",
"55;""Óscar Plano"";""Real Valladolid"";36;2545;5;5;4.24;1.67;0.15;0.06;0.21;0.21;0.26;0.09",
"56;""Jaime Mata"";""Getafe"";33;2050;5;0;7.8;1.35;0.34;0.06;0.4;0.34;0.35;0.13",
"57;""Manu Vallejo"";""Valencia"";30;914;5;0;3.73;0.68;0.37;0.07;0.43;0.43;0.52;0.2",
"58;""Luis Suárez"";""Granada"";27;1666;5;1;5.4;1.3;0.29;0.07;0.36;0.36;0.43;0.1",
"59;""Adnan Januzaj"";""Real Sociedad"";27;1011;4;4;5.25;4.49;0.47;0.4;0.87;0.67;0.75;0.36",
"60;""Gabriel"";""Valencia"";31;2716;4;1;0.94;0.61;0.03;0.02;0.05;0.05;0.24;0.22",
"61;""Kenedy"";""Granada"";28;1494;4;3;2;3.71;0.12;0.22;0.34;0.34;0.3;0.1",
"62;""Lucas Pérez"";""Alaves"";28;1775;4;4;6.13;3.98;0.31;0.2;0.51;0.36;0.31;0.09",
"63;""Ivan Rakitic"";""Sevilla"";37;2245;4;2;4.98;1.47;0.2;0.06;0.26;0.2;0.41;0.27",
"64;""Munir"";""Sevilla"";24;831;4;2;4.33;1.42;0.47;0.15;0.62;0.62;0.59;0.22",
"65;""Moi Gómez"";""Villarreal"";35;2586;4;0;4.16;2.77;0.14;0.1;0.24;0.22;0.4;0.26",
"66;""Daniel Wass"";""Valencia"";35;3008;4;1;3.1;1.76;0.09;0.05;0.15;0.12;0.26;0.18",
"67;""Kevin Gameiro"";""Valencia"";27;1043;4;1;3.74;0.59;0.32;0.05;0.37;0.37;0.47;0.1",
"68;""Pere Milla"";""Elche"";32;1996;4;3;5.48;2.33;0.25;0.1;0.35;0.35;0.35;0.09",
"69;""Álex Fernández"";""Cadiz"";25;1952;4;1;3.08;1.3;0.14;0.06;0.2;0.13;0.2;0.12",
"70;""Darwin Machís"";""Granada"";32;2027;4;5;5.51;5.12;0.24;0.23;0.47;0.44;0.43;0.09",
"71;""Asier Villalibre"";""Athletic Club"";35;1577;4;2;4.5;2.33;0.26;0.13;0.39;0.39;0.42;0.14",
"72;""Enes Ünal"";""Getafe"";28;1325;4;2;4.26;1.86;0.29;0.13;0.42;0.36;0.34;0.14",
"73;""Samuel Chukwueze"";""Villarreal"";28;1344;4;2;3.2;2.57;0.21;0.17;0.39;0.39;0.56;0.22",
"74;""Bryan Gil Salvatierra"";""Eibar","Sevilla"";29;2293;4;3;3.62;4.63;0.14;0.18;0.32;0.32;0.43;0.21"
"75;""Luis Rioja"";""Alaves"";35;2117;4;2;3.69;1.89;0.16;0.08;0.24;0.24;0.38;0.17",
"76;""Luuk de Jong"";""Sevilla"";34;1256;4;0;5.09;1.06;0.36;0.08;0.44;0.44;0.58;0.23",
"77;""Anssumane Fati"";""Barcelona"";7;448;4;0;1.86;2.04;0.37;0.41;0.78;0.78;0.94;0.38",
"78;""Jorge De Frutos"";""Levante"";37;2186;4;9;3.8;4.08;0.16;0.17;0.32;0.32;0.46;0.22",
"79;""Josan"";""Elche"";33;1952;4;2;1.27;1.13;0.06;0.05;0.11;0.11;0.15;0.06",
"80;""Marcos de Sousa"";""Real Valladolid"";23;1159;4;1;4.4;0.44;0.34;0.03;0.38;0.38;0.46;0.21",
"81;""Fernando"";""Sevilla"";31;2545;3;4;1.4;3.36;0.05;0.12;0.17;0.17;0.41;0.31",
"82;""Suso"";""Sevilla"";34;2260;3;4;2.1;5.05;0.08;0.2;0.28;0.28;0.52;0.33",
"83;""Alejandro Gomez"";""Sevilla"";18;916;3;1;0.8;1.24;0.08;0.12;0.2;0.2;0.41;0.26",
"84;""Jordi Alba"";""Barcelona"";35;3034;3;5;2.6;8.49;0.08;0.25;0.33;0.33;0.75;0.58",
"85;""Sergi Enrich"";""Eibar"";27;1388;3;0;7.19;0.83;0.47;0.05;0.52;0.47;0.59;0.24",
"86;""Rubén García"";""Osasuna"";37;2762;3;5;2.55;5.71;0.08;0.19;0.27;0.24;0.3;0.18",
"87;""Cala"";""Cadiz"";28;2282;3;0;1.84;0.18;0.07;0.01;0.08;0.08;0.08;0.08",
"88;""Antonio Sanabria"";""Real Betis"";16;938;3;0;4.91;0.09;0.47;0.01;0.48;0.48;0.58;0.17",
"89;""Hugo Mallo"";""Celta Vigo"";31;2608;3;1;2.52;3.28;0.09;0.11;0.2;0.2;0.45;0.28",
