"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Robert Lewandowski"";""Bayern Munich"";34;2955;35;3;37.92;4.7;1.16;0.14;1.3;1.18;1.27;0.24",
"2;""Patrik Schick"";""Bayer Leverkusen"";27;2127;24;3;20.01;2.08;0.85;0.09;0.93;0.87;0.86;0.13",
"3;""Erling Haaland"";""Borussia Dortmund"";24;1917;22;7;17.03;5.89;0.8;0.28;1.08;0.86;0.93;0.2",
"4;""Anthony Modeste"";""FC Cologne"";32;2639;20;3;16.32;3.31;0.56;0.11;0.67;0.64;0.61;0.06",
"5;""Christopher Nkunku"";""RasenBallsport Leipzig"";34;2750;20;13;15.59;9.91;0.51;0.32;0.83;0.81;0.93;0.22",
"6;""Taiwo Awoniyi"";""Union Berlin"";31;2227;15;1;14.85;2.32;0.6;0.09;0.69;0.63;0.69;0.17",
"7;""Serge Gnabry"";""Bayern Munich"";34;2205;14;5;10.99;10.52;0.45;0.43;0.88;0.88;1.29;0.5",
"8;""Moussa Diaby"";""Bayer Leverkusen"";32;2793;13;12;8.83;10.13;0.28;0.33;0.61;0.59;0.86;0.33",
"9;""Max Kruse"";""Union Berlin","Wolfsburg"";30;2445;12;5;10.58;6.66;0.39;0.25;0.63;0.5;0.63;0.22"
"10;""Jonas Hofmann"";""Borussia M.Gladbach"";26;2090;12;5;7.79;6.24;0.34;0.27;0.6;0.6;0.71;0.3",
"11;""André Silva"";""RasenBallsport Leipzig"";33;2091;11;3;14.7;3.36;0.63;0.14;0.78;0.68;0.81;0.28",
"12;""Jonathan Burkardt"";""Mainz 05"";34;2678;11;3;13.57;2.91;0.46;0.1;0.55;0.53;0.6;0.11",
"13;""Alassane Pléa"";""Borussia M.Gladbach"";33;2074;10;6;8.97;8.78;0.39;0.38;0.77;0.67;0.82;0.32",
"14;""Sebastian Polter"";""Bochum"";33;2349;10;1;10.94;2.06;0.42;0.08;0.5;0.44;0.45;0.09",
"15;""Michael Gregoritsch"";""Augsburg"";25;1395;9;0;4.37;0.86;0.28;0.06;0.34;0.29;0.34;0.13",
"16;""Branimir Hrgota"";""Greuther Fuerth"";34;2809;9;5;9.19;3.21;0.29;0.1;0.4;0.28;0.32;0.09",
"17;""Julian Brandt"";""Borussia Dortmund"";31;2086;9;8;4.58;4.46;0.2;0.19;0.39;0.39;0.73;0.51",
"18;""Marco Reus"";""Borussia Dortmund"";29;2527;9;13;11.51;7.62;0.41;0.27;0.68;0.68;0.9;0.39",
"19;""Vincenzo Grifo"";""Freiburg"";34;2812;9;7;10.03;8.53;0.32;0.27;0.59;0.45;0.43;0.25",
"20;""Breel Embolo"";""Borussia M.Gladbach"";29;2164;9;3;8.98;4.57;0.37;0.19;0.56;0.56;0.63;0.18",
"21;""Thomas Müller"";""Bayern Munich"";32;2618;8;18;11.05;13.41;0.38;0.46;0.84;0.84;1.18;0.58",
"22;""Grischa Prömel"";""Union Berlin"";29;2440;8;1;8.07;1.17;0.3;0.04;0.34;0.34;0.35;0.14",
"23;""Santos Borré"";""Eintracht Frankfurt"";31;2409;8;4;7.78;3.38;0.29;0.13;0.42;0.42;0.48;0.13",
"24;""Lukas Nmecha"";""Wolfsburg"";25;1637;8;0;9.07;2.33;0.5;0.13;0.63;0.63;0.7;0.18",
"25;""Georginio Rutter"";""Hoffenheim"";33;1595;8;2;7;3.14;0.4;0.18;0.57;0.57;0.7;0.25",
"26;""Masaya Okugawa"";""Arminia Bielefeld"";33;2562;8;1;4.07;1.75;0.14;0.06;0.2;0.2;0.22;0.03",
"27;""Leroy Sané"";""Bayern Munich"";32;1973;7;7;10.87;7.36;0.5;0.34;0.83;0.83;1.23;0.58",
"28;""Ihlas Bebou"";""Hoffenheim"";28;2135;7;2;9.83;1.87;0.41;0.08;0.49;0.49;0.64;0.19",
"29;""Lucas Höler"";""Freiburg"";34;2611;7;2;10.05;5.47;0.35;0.19;0.53;0.53;0.6;0.23",
"30;""Christoph Baumgartner"";""Hoffenheim"";29;1907;7;2;8.59;4.43;0.41;0.21;0.61;0.61;0.77;0.31",
"31;""Florian Wirtz"";""Bayer Leverkusen"";24;1877;7;10;5.79;8.62;0.28;0.41;0.69;0.69;0.92;0.37",
"32;""Kingsley Coman"";""Bayern Munich"";21;1372;6;3;5.03;3.38;0.33;0.22;0.55;0.55;0.93;0.5",
"33;""Andrej Kramaric"";""Hoffenheim"";32;2713;6;9;12.48;7.47;0.41;0.25;0.66;0.66;0.84;0.32",
"34;""Stevan Jovetic"";""Hertha Berlin"";18;1021;6;1;5.07;1.41;0.45;0.12;0.57;0.57;0.52;0.22",
"35;""Emil Forsberg"";""RasenBallsport Leipzig"";31;1713;6;2;7.49;3.78;0.39;0.2;0.59;0.43;0.77;0.43",
"36;""Yussuf Poulsen"";""RasenBallsport Leipzig"";25;1068;6;0;6.54;1.77;0.55;0.15;0.7;0.7;0.8;0.17",
"37;""Lucas Alario"";""Bayer Leverkusen"";27;615;6;0;5.7;1.06;0.83;0.16;0.99;0.88;1.29;0.44",
"38;""Wout Weghorst"";""Wolfsburg"";18;1551;6;1;8.66;1.83;0.5;0.11;0.61;0.52;0.53;0.1",
"39;""Marcus Ingvartsen"";""Mainz 05","Union Berlin"";28;765;6;0;2.69;0.53;0.32;0.06;0.38;0.29;0.43;0.19"
"40;""Sasa Kalajdzic"";""VfB Stuttgart"";15;1218;6;1;7.14;2.8;0.53;0.21;0.73;0.62;0.61;0.17",
"41;""Dominik Szoboszlai"";""RasenBallsport Leipzig"";31;1521;6;8;4.87;6.29;0.29;0.37;0.66;0.62;0.74;0.33",
"42;""Mark Uth"";""FC Cologne"";30;2067;5;8;6.13;6.68;0.27;0.29;0.56;0.56;0.57;0.21",
"43;""Florian Niederlechner"";""Augsburg"";26;1146;5;3;5.44;0.71;0.43;0.06;0.48;0.48;0.4;0.06",
"44;""André Hahn"";""Augsburg"";32;2116;5;2;4.18;2.11;0.18;0.09;0.27;0.27;0.27;0.05",
"45;""Emre Can"";""Borussia Dortmund"";24;1695;5;1;3.25;0.82;0.17;0.04;0.22;0.06;0.3;0.28",
"46;""Philipp Lienhart"";""Freiburg"";32;2872;5;0;4.32;0.7;0.14;0.02;0.16;0.16;0.22;0.21",
"47;""Karim Onisiwo"";""Mainz 05"";31;2404;5;8;9.15;7.51;0.34;0.28;0.62;0.62;0.68;0.18",
"48;""Ishak Belfodil"";""Hertha Berlin"";26;1642;5;2;4.2;2.7;0.23;0.15;0.38;0.34;0.39;0.15",
"49;""Nils Petersen"";""Freiburg"";22;540;5;1;2.78;0.87;0.46;0.15;0.61;0.61;0.51;0.06",
"50;""Gerrit Holtmann"";""Bochum"";29;1875;5;4;3.95;5.1;0.19;0.24;0.43;0.43;0.5;0.08",
