Rank,Player,Rating
1,Joshua Kimmich,7.90
2,Alphonso Davies,7.73
3,Raphaël Guerreiro,7.69
4,Jude Bellingham,7.68
5,Vincenzo Grifo,7.62
6,Christopher Nkunku,7.61
7,Dominik Szoboszlai,7.59
8,Jonas Hofmann,7.57
9,Benjamin Pavard,7.55
10,Julian Brandt,7.52
11,Jamal Musiala,7.50
12,Nico Schlotterbeck,7.46
13,Niclas Füllkrug,7.43
14,Randal Kolo Muani,7.42
15,Ellyes Skhiri,7.42
16,Borna Sosa,7.40
17,Kingsley Coman,7.39
18,Jonas Hector,7.39
19,Wataru Endo,7.36
19,Thomas Müller,7.36
21,Florian Wirtz,7.35
22,Willi Orban,7.35
23,Dayot Upamecano,7.34
24,Jeremie Frimpong,7.34
25,Eric Maxim Choupo-Moting,7.33
26,Exequiel Palacios,7.33
27,Emre Can,7.33
28,Robin Knoche,7.31
29,Paulo Otavio,7.30
30,Marcus Thuram,7.30
31,Mitchell Weiser,7.29
32,Matthijs de Ligt,7.29
33,Leon Goretzka,7.29
34,Marvin Ducksch,7.28
35,Leroy Sané,7.26
36,Christopher Trimmel,7.26
37,Danilho Doekhi,7.26
38,Moussa Diaby,7.26
39,Konstantinos Mavropanos,7.25
40,Maximilian Arnold,7.25
41,Florian Kainz,7.24
42,Mats Hummels,7.24
43,Xaver Schlager,7.23
44,Julian Chabot,7.23
45,Donyell Malen,7.22
46,Serge Gnabry,7.22
47,Andreas Hanche-Olsen,7.22
48,Daichi Kamada,7.21
49,Niklas Süle,7.21
49,Timo Hübers,7.21
51,Kevin Stöger,7.20
52,Anton Stach,7.20
53,Konrad Laimer,7.19
53,Robert Andrich,7.19
55,Sebastien Haller,7.18
56,Benjamin Henrichs,7.18
57,Atakan Karazor,7.17
58,Patrick Wimmer,7.16
58,Ramy Bensebaini,7.16
60,Sadio Mané,7.16
61,Dani Olmo,7.15
61,Felix Nmecha,7.15
63,Angelino,7.14
64,Timo Werner,7.13
65,Lukas Kübler,7.13
65,Serhou Guirassy,7.13
67,Michael Gregoritsch,7.13
68,Hiroki Ito,7.13
69,Matthias Ginter,7.12
70,Tuta,7.12
71,Djibril Sow,7.10
72,Marius Wolf,7.09
73,Nicolas Höfler,7.09
74,Frederik Rønnow,7.08
74,Edmond Tapsoba,7.08
76,Christoph Baumgartner,7.07
77,Ritsu Doan,7.06
78,Lucas Tousart,7.06
79,Lucas Höler,7.06
80,Mario Götze,7.06
81,Philipp Lienhart,7.06
82,Jae-Sung Lee,7.06
83,Ridle Baku,7.06
84,Marco Richter,7.05
85,Kouadio Koné,7.05
86,Mohamed Simakan,7.05
87,Anthony Caci,7.05
88,Sheraldo Becker,7.05
89,Josko Gvardiol,7.04
90,Andrej Kramaric,7.04
91,Dodi Lukebakio,7.04
91,Leandro Barreiro,7.04
93,Kerem Demirbay,7.04
94,Julian Ryerson,7.03
95,Ludovic Ajorque,7.03
96,Dominik Kohr,7.02
97,Dennis Geiger,7.02
98,Marius Bülter,7.01
99,Aurelio Buta,7.01
99,Stefan Bell,7.01
101,Lars Stindl,7.01
101,Rani Khedira,7.01
103,Karim Adeyemi,7.00
104,Rodrigo Zalazar,6.99
105,Piero Hincapié,6.99
106,Marco Reus,6.98
107,Ihlas Bebou,6.97
108,Ko Itakura,6.96
109,Anthony Jung,6.96
110,Tom Krauss,6.96
111,David Raum,6.96
111,Eric Ebimbe,6.96
113,Maximilian Eggestein,6.94
114,Evan N'Dicka,6.94
115,Naouirou Ahamada,6.93
115,Marco Friedl,6.93
117,Aaron Caricol,6.92
118,Niklas Schmidt,6.92
118,Leonardo Bittencourt,6.92
120,Alassane Plea,6.92
121,Kristijan Jakic,6.92
122,Edimilson Fernandes,6.92
123,Roland Sallai,6.91
124,Amine Adli,6.91
125,Janik Haberer,6.90
125,Yannick Gerhardt,6.90
127,Kevin Akpoguma,6.90
127,Micky van de Ven,6.90
129,Eric Martel,6.89
129,Diogo Leite,6.89
131,Waldemar Anton,6.89
132,Sebastian Rode,6.88
132,Anthony Losilla,6.88
134,Mergim Berisha,6.87
135,Christian Günter,6.87
136,Philipp Hofmann,6.86
137,Jakub Kaminski,6.86
138,Mattias Svanberg,6.86
139,Robin Zentner,6.86
139,Philipp Förster,6.86
141,Gregor Kobel,6.86
142,Marcel Halstenberg,6.85
142,Ansgar Knauff,6.85
144,Jesper Lindstrøm,6.85
145,Emil Forsberg,6.84
146,Karim Onisiwo,6.84
146,Christopher Lenz,6.84
148,Ozan Kabak,6.84
149,Mark Flekken,6.83
150,André Silva,6.83
150,Odilon Kossounou,6.83
152,Christopher Antwi-Adjej,6.83
152,Suat Serdar,6.83
154,Giovanni Reyna,6.83
155,Amadou Haidara,6.82
156,Arne Maier,6.82
157,Ermedin Demirovic,6.81
158,Danilo Soares,6.81
159,Robert Skov,6.81
160,Grischa Prömel,6.80
160,Jonathan Tah,6.80
160,Julian Weigl,6.80
163,Chris Führich,6.80
164,Dejan Ljubicic,6.80
164,Maxence Lacroix,6.80
164,Youssoufa Moukoko,6.80
167,Marc-Oliver Kempf,6.79
168,Kevin Behrens,6.79
168,Ivan Ordets,6.79
168,Stanley N'Soki,6.79
171,Ruben Vargas,6.78
171,Maya Yoshida,6.78
173,Christian Gross,6.77
173,Nico Elvedi,6.77
175,Koen Casteels,6.77
176,Janis Blaswich,6.77
177,Munas Dabbur,6.77
178,Kevin Kampl,6.77
178,Silvan Widmer,6.77
180,Genki Haraguchi,6.77
181,Kevin Vogt,6.76
181,Nadiem Amiri,6.76
181,Amos Pieper,6.76
184,Salih Özcan,6.75
184,Sebastiaan Bornauw,6.75
184,Stevan Jovetic,6.75
