Rank,Player,Rating
1,Robert Lewandowski,8.04
2,Joshua Kimmich,7.96
3,Christopher Nkunku,7.79
4,Erling Haaland,7.77
5,Marco Reus,7.73
6,Florian Wirtz,7.69
7,Jonas Hofmann,7.68
8,Thomas Müller,7.62
9,Nico Schlotterbeck,7.59
10,Alphonso Davies,7.58
11,Patrik Schick,7.57
12,Vincenzo Grifo,7.54
13,Dayot Upamecano,7.53
14,Serge Gnabry,7.52
15,Danilo Soares,7.50
16,Moussa Diaby,7.47
17,Julian Brandt,7.45
18,Jonas Hector,7.44
19,Borna Sosa,7.44
20,David Raum,7.44
21,Leon Goretzka,7.43
22,Lucas Hernández,7.43
23,Nicolas Höfler,7.42
24,Josko Gvardiol,7.42
24,Jude Bellingham,7.42
26,Filip Kostic,7.41
27,Max Kruse,7.39
28,Leroy Sané,7.36
29,Christopher Trimmel,7.36
30,Maximilian Arnold,7.35
31,Thomas Meunier,7.34
31,Timo Hübers,7.34
33,Konstantinos Mavropanos,7.33
34,Emre Can,7.32
35,Ellyes Skhiri,7.31
36,Evan N'Dicka,7.30
36,Alexander Hack,7.30
38,Kingsley Coman,7.29
38,Wataru Endo,7.29
40,Kouadio Koné,7.29
41,Alassane Plea,7.28
42,Anton Stach,7.26
43,Benjamin Pavard,7.26
44,Anthony Modeste,7.24
45,Angelino,7.24
46,Mahmoud Dahoud,7.23
46,Ramy Bensebaini,7.23
46,Raphaël Guerreiro,7.23
49,Aaron Caricol,7.22
49,Niklas Süle,7.22
51,Florian Grillitsch,7.22
52,Willi Orban,7.21
53,Tuta,7.20
54,Salih Özcan,7.18
54,Andrej Kramaric,7.18
54,Grischa Prömel,7.18
57,Daniel Caligiuri,7.18
58,Mats Hummels,7.18
59,Kerem Demirbay,7.17
60,Cristian Gamboa,7.16
61,Donyell Malen,7.16
62,Mohamed Simakan,7.16
63,Christian Günter,7.16
64,Jamal Musiala,7.15
65,Djibril Sow,7.15
66,Florian Kainz,7.15
67,Lucas Höler,7.15
68,Mark Uth,7.14
69,Jonathan Tah,7.14
70,Anthony Losilla,7.14
71,Paul Jaeckel,7.13
71,Florian Neuhaus,7.13
73,Amadou Haidara,7.13
74,Moussa Niakhaté,7.12
75,Mitchel Bakker,7.11
75,Edmond Tapsoba,7.11
75,Maxim Leitsch,7.11
78,Ridle Baku,7.10
78,Niko Giesselmann,7.10
