Rank,Player,Rating
1,Robert Lewandowski,8.23
2,Erling Haaland,7.87
3,Jadon Sancho,7.72
4,Thomas Müller,7.70
5,Joshua Kimmich,7.66
6,André Silva,7.61
7,Raphaël Guerreiro,7.54
8,Wout Weghorst,7.49
9,Filip Kostic,7.48
10,Andrej Kramaric,7.46
11,Maximilian Arnold,7.39
12,Christopher Nkunku,7.34
13,Serge Gnabry,7.30
14,Leon Bailey,7.29
15,Jonas Hofmann,7.29
16,Marco Reus,7.28
17,Vincenzo Grifo,7.27
18,Angelino,7.27
19,Marcel Sabitzer,7.26
20,Lars Stindl,7.25
21,Willi Orban,7.23
22,Max Kruse,7.23
23,Lucas Hernández,7.21
24,Alphonso Davies,7.21
25,Christopher Trimmel,7.20
25,Leon Goretzka,7.20
27,Borna Sosa,7.20
28,Kingsley Coman,7.19
29,Sasa Kalajdzic,7.19
30,Mats Hummels,7.18
31,Marcel Halstenberg,7.17
32,Dani Olmo,7.17
33,Daichi Kamada,7.16
34,Silas Katompa Mvumpa,7.13
35,Matheus Cunha,7.13
36,Florian Neuhaus,7.12
37,Martin Hinteregger,7.09
38,Evan N'Dicka,7.09
39,Wataru Endo,7.04
40,Benjamin Pavard,7.04
41,Emre Can,7.03
41,Ridle Baku,7.03
43,Maxence Lacroix,7.02
44,Niklas Süle,7.02
45,Djibril Sow,7.02
46,Marvin Friedrich,7.01
47,Florian Grillitsch,7.01
48,Robert Andrich,7.00
49,Tyler Adams,7.00
50,Amadou Haidara,7.00
51,Daniel Caligiuri,7.00
52,Renato Steffen,6.99
53,Moussa Diaby,6.99
54,Xaver Schlager,6.99
55,Kevin Mbabu,6.98
55,John Anthony Brooks,6.98
55,Nicolas Höfler,6.98
55,Mahmoud Dahoud,6.98
59,David Alaba,6.97
60,Leroy Sané,6.96
60,Gonzalo Castro,6.96
60,Kevin Kampl,6.96
63,Christopher Lenz,6.95
63,Florian Wirtz,6.95
63,Paulo Otavio,6.95
66,Lucas Alario,6.95
67,Josip Brekalo,6.94
68,Dayot Upamecano,6.94
69,Manuel Akanji,6.93
70,Ihlas Bebou,6.92
71,Ondrej Duda,6.92
72,Nordi Mukiele,6.92
73,Marcus Thuram,6.91
73,Ludwig Augustinsson,6.91
75,Konstantinos Mavropanos,6.90
76,Marc-Oliver Kempf,6.90
77,Maximilian Philipp,6.90
78,Ramy Bensebaini,6.90
79,Dominik Kohr,6.89
79,Edmond Tapsoba,6.89
81,Ellyes Skhiri,6.88
82,Nico Elvedi,6.88
83,Amin Younes,6.88
84,Makoto Hasebe,6.87
84,Diadie Samassékou,6.87
86,Lukas Klostermann,6.86
87,Amine Harit,6.85
88,Erik Durm,6.85
89,Jamal Musiala,6.85
90,Emil Forsberg,6.84
91,Patrik Schick,6.84
92,Jérome Boateng,6.84
92,Christoph Baumgartner,6.84
94,Ritsu Doan,6.84
95,Giovanni Reyna,6.84
96,Stefan Lainer,6.83
96,Alassane Plea,6.83
96,Thomas Meunier,6.83
99,Maximilian Eggestein,6.82
100,Matthias Ginter,6.82
101,Lucas Höler,6.82
102,Yannick Gerhardt,6.82
102,Jonas Hector,6.82
104,Maximilian Mittelstaedt,6.81
104,Ryan Sessegnon,6.81
106,Christian Günter,6.81
107,Baptiste Santamaria,6.81
107,Grischa Prömel,6.81
109,Leandro Barreiro,6.80
110,Christoph Kramer,6.79
111,Vladimir Darida,6.79
112,Jérome Roussillon,6.79
113,Jhon Cordoba,6.79
113,Iago,6.79
115,Alexander Sørloth,6.78
115,Jean-Paul Boëtius,6.78
117,Nadiem Amiri,6.78
118,Yussuf Poulsen,6.78
119,Matteo Guendouzi,6.78
119,Danny da Costa,6.78
119,Sebastian Rode,6.78
122,Orel Mangala,6.77
123,Thomas Delaney,6.77
124,Philipp Mwene,6.77
125,Leonardo Bittencourt,6.76
