"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Kylian Mbappe-Lottin"";""Paris Saint Germain"";35;3040;29;17;24.98;12.69;0.74;0.38;1.12;1.03;1.2;0.36",
"2;""Wissam Ben Yedder"";""Monaco"";37;2560;25;5;19.01;6.08;0.67;0.21;0.88;0.67;0.71;0.16",
"3;""Martin Terrier"";""Rennes"";37;2836;21;3;15.06;5.02;0.48;0.16;0.64;0.59;0.79;0.34",
"4;""Moussa Dembele"";""Lyon"";30;2220;21;4;22.63;3.84;0.92;0.16;1.07;0.92;0.91;0.14",
"5;""Andy Delort"";""Montpellier","Nice"";35;2730;18;3;17.2;5.39;0.57;0.18;0.74;0.67;0.65;0.11"
"6;""Gaetan Laborde"";""Montpellier","Rennes"";38;3093;15;8;18.97;6.57;0.55;0.19;0.74;0.7;0.74;0.15"
"7;""Jonathan Christian David"";""Lille"";38;2824;15;0;14.68;2.91;0.47;0.09;0.56;0.49;0.58;0.15",
"8;""Mohamed Bayo"";""Clermont Foot"";32;2442;14;5;13.82;3.97;0.51;0.15;0.66;0.57;0.54;0.08",
"9;""Neymar"";""Paris Saint Germain"";22;1877;13;6;11.74;8.74;0.56;0.42;0.98;0.84;1.2;0.58",
"10;""Dimitri Payet"";""Marseille"";31;2599;12;11;10.22;10.59;0.35;0.37;0.72;0.54;0.65;0.33",
"11;""Karl Toko Ekambi"";""Lyon"";30;2312;12;5;11.93;5.79;0.46;0.23;0.69;0.63;0.83;0.29",
"12;""Randal Kolo Muani"";""Nantes"";36;2970;12;4;11.18;4.52;0.34;0.14;0.48;0.48;0.49;0.06",
"13;""Ludovic Ajorque"";""Strasbourg"";36;2760;12;8;12.54;6.82;0.41;0.22;0.63;0.56;0.61;0.16",
"14;""Arnaud Kalimuendo Muinga"";""Lens","Paris Saint Germain"";34;2190;12;0;8.8;1.8;0.36;0.07;0.44;0.37;0.44;0.1"
"15;""Kevin Gameiro"";""Strasbourg"";35;2415;11;3;14.75;2.51;0.55;0.09;0.64;0.56;0.68;0.21",
"16;""Franck Honorat"";""Brest"";34;2929;11;4;4.79;6.31;0.15;0.19;0.34;0.34;0.41;0.13",
"17;""Benjamin Bourigeaud"";""Rennes"";38;3245;11;12;5.43;12.79;0.15;0.35;0.51;0.51;0.66;0.39",
"18;""Habib Diallo"";""Strasbourg"";31;1519;11;1;10.88;3.38;0.64;0.2;0.84;0.75;0.71;0.16",
"19;""Hwang Ui-Jo"";""Bordeaux"";32;2552;11;2;8.26;1.48;0.29;0.05;0.34;0.34;0.36;0.05",
"20;""Wahbi Khazri"";""Saint-Etienne"";30;2258;10;0;7.49;3.26;0.3;0.13;0.43;0.31;0.31;0.09",
"21;""Ludovic Blas"";""Nantes"";35;2993;10;5;11.14;3.98;0.34;0.12;0.45;0.34;0.48;0.2",
"22;""Cengiz Ünder"";""Marseille"";32;2225;10;2;6.02;4.43;0.24;0.18;0.42;0.39;0.59;0.3",
"23;""Amine Gouiri"";""Nice"";38;2777;10;9;12.05;6.8;0.39;0.22;0.61;0.49;0.53;0.18",
"24;""Romain Faivre"";""Brest","Lyon"";35;2689;10;5;8.08;5.77;0.27;0.19;0.46;0.34;0.48;0.27"
"25;""Hugo Ekitike"";""Reims"";24;1282;10;3;8.2;1.65;0.58;0.12;0.69;0.59;0.57;0.08",
"26;""Sepe Elye Wahi"";""Montpellier"";33;1782;10;1;8.61;0.61;0.43;0.03;0.47;0.47;0.4;0.02",
"27;""Kevin Volland"";""Monaco"";34;2460;9;9;8.4;7.06;0.31;0.26;0.57;0.54;0.67;0.21",
"28;""Gerson"";""Marseille"";35;2552;9;4;5.76;3.07;0.2;0.11;0.31;0.31;0.45;0.21",
"29;""Serhou Guirassy"";""Rennes"";37;979;9;0;7.72;0.28;0.71;0.03;0.74;0.74;0.92;0.34",
"30;""Denis Bouanga"";""Saint-Etienne"";34;2462;9;6;7.83;5.41;0.29;0.2;0.48;0.48;0.48;0.08",
"31;""Steve Mounie"";""Brest"";35;2306;9;2;12.82;1.08;0.5;0.04;0.54;0.48;0.55;0.18",
"32;""Lucas Paquetá"";""Lyon"";35;2730;9;6;9.39;4.87;0.31;0.16;0.47;0.45;0.75;0.41",
"33;""Alberth Elis"";""Bordeaux"";20;1420;9;1;7.01;1.6;0.44;0.1;0.55;0.5;0.53;0.09",
"34;""Seko Fofana"";""Lens"";38;3378;8;1;6.09;2.87;0.16;0.08;0.24;0.24;0.47;0.27",
"35;""Sofiane Boufal"";""Angers"";29;2356;8;4;7.82;6.45;0.3;0.25;0.54;0.46;0.41;0.13",
"36;""Adrien Thomasson"";""Strasbourg"";31;2410;8;4;6.09;4.33;0.23;0.16;0.39;0.39;0.6;0.28",
"37;""Téji Savanier"";""Montpellier"";29;2435;8;7;6.56;5.69;0.24;0.21;0.45;0.34;0.38;0.21",
"38;""Stephy Mavididi"";""Montpellier"";30;2325;8;3;6.92;2.64;0.27;0.1;0.37;0.37;0.39;0.05",
"39;""Terem Igobor Moffi"";""Lorient"";37;2770;8;4;10.11;3.64;0.33;0.12;0.45;0.4;0.42;0.05",
"40;""Elbasan Rashani"";""Clermont Foot"";29;1786;8;3;4.76;2.85;0.24;0.14;0.38;0.38;0.48;0.18",
"41;""Arkadiusz Milik"";""Marseille"";23;1420;7;2;7.3;2.33;0.46;0.15;0.61;0.56;0.51;0.07",
"42;""Thomas Mangani"";""Angers"";33;2196;7;2;5.44;1.34;0.22;0.06;0.28;0.09;0.23;0.21",
"43;""Ahmadou Bamba Dieng"";""Marseille"";25;974;7;1;7.99;1.62;0.74;0.15;0.89;0.82;0.73;0.07",
"44;""Lionel Messi"";""Paris Saint Germain"";26;2155;6;13;9.88;8.68;0.41;0.36;0.78;0.78;1.14;0.58",
"45;""Florian Sotoca"";""Lens"";35;2509;6;4;8.79;3.83;0.32;0.14;0.45;0.4;0.47;0.25",
"46;""Florent Mollet"";""Montpellier"";35;2677;6;2;4.94;2.49;0.17;0.08;0.25;0.25;0.32;0.16",
"47;""Houssem Aouar"";""Lyon"";36;2520;6;4;7.39;5.48;0.26;0.2;0.46;0.46;0.79;0.39",
"48;""Andrei Girotto"";""Nantes"";36;3157;6;1;3.3;1.33;0.09;0.04;0.13;0.13;0.2;0.15",
"49;""Armand Lauriente"";""Lorient"";35;2515;6;2;6.48;3.39;0.23;0.12;0.35;0.33;0.35;0.1",
"50;""Sofiane Diop"";""Monaco"";30;1964;6;4;4.8;3.68;0.22;0.17;0.39;0.39;0.59;0.29",
"51;""Moses Simon"";""Nantes"";30;2379;6;8;5.2;8.72;0.2;0.33;0.53;0.53;0.53;0.16",
"52;""Kasper Dolberg"";""Nice"";26;1506;6;2;7.08;1.32;0.42;0.08;0.5;0.41;0.41;0.09",
"53;""Sékou Mara"";""Bordeaux"";26;889;6;0;5.03;0.67;0.51;0.07;0.58;0.5;0.47;0.11",
"54;""Przemyslaw Frankowski"";""Lens"";37;2456;6;5;2.56;4.41;0.09;0.16;0.26;0.26;0.49;0.29",
"55;""Lovro Majer"";""Rennes"";29;1845;6;8;5.2;5.71;0.25;0.28;0.53;0.53;0.91;0.5",
"56;""Nicolas de Preville"";""Metz"";27;2012;5;2;2.88;2.16;0.13;0.1;0.23;0.23;0.23;0.06",
"57;""Marquinhos"";""Paris Saint Germain"";32;2865;5;0;3.96;0.57;0.12;0.02;0.14;0.14;0.55;0.48",
"58;""Ángel Di María"";""Paris Saint Germain"";26;1664;5;7;5.84;7.28;0.32;0.39;0.71;0.71;0.9;0.45",
"59;""Wesley Said"";""Lens"";21;634;5;0;4.7;1.15;0.67;0.16;0.83;0.83;1.04;0.31",
"60;""Flavien Tait"";""Rennes"";28;2142;5;3;3.09;3.53;0.13;0.15;0.28;0.28;0.57;0.36",
"61;""Matteo Guendouzi"";""Marseille"";38;3159;5;6;4.8;3.51;0.14;0.1;0.24;0.24;0.54;0.42",
"62;""Angelo Fulgini"";""Angers"";36;2982;5;4;5.26;3.43;0.16;0.1;0.26;0.26;0.35;0.19",
"63;""Kalifa Coulibaly"";""Nantes"";21;846;5;0;3.74;0.92;0.4;0.1;0.5;0.5;0.56;0.12",
"64;""Ignatius Ganago"";""Lens"";28;1019;5;1;4.56;1.23;0.4;0.11;0.51;0.51;0.64;0.2",
"65;""Xavier Chavalerin"";""Reims","Troyes"";37;2954;5;2;1.88;3.47;0.06;0.11;0.16;0.16;0.32;0.21"
"66;""Marshall Munetsi"";""Reims"";24;1883;5;1;4.44;0.61;0.21;0.03;0.24;0.24;0.3;0.13",
"67;""Burak Yilmaz"";""Lille"";31;2224;5;3;11.36;4.49;0.46;0.18;0.64;0.58;0.49;0.07",
