"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Kylian Mbappe-Lottin"";""Paris Saint Germain"";31;2392;27;7;22.85;5.38;0.86;0.2;1.06;0.89;1.21;0.39",
"2;""Memphis Depay"";""Lyon"";37;2932;21;12;16.25;14.07;0.5;0.43;0.93;0.74;0.89;0.37",
"3;""Wissam Ben Yedder"";""Monaco"";37;2658;20;7;20.22;6.69;0.68;0.23;0.91;0.6;0.73;0.27",
"4;""Kevin Volland"";""Monaco"";35;2820;16;7;11.14;5.54;0.36;0.18;0.53;0.53;0.58;0.13",
"5;""Gaetan Laborde"";""Montpellier"";38;3297;16;8;11.38;5.43;0.31;0.15;0.46;0.46;0.42;0.12",
"6;""Ludovic Ajorque"";""Strasbourg"";35;2983;16;4;15.86;3.36;0.48;0.1;0.58;0.47;0.49;0.06",
"7;""Burak Yilmaz"";""Lille"";28;2057;16;5;10.41;4.22;0.46;0.18;0.64;0.51;0.5;0.07",
"8;""Andy Delort"";""Montpellier"";30;2516;15;9;12.93;6.79;0.46;0.24;0.71;0.68;0.63;0.15",
"9;""Karl Toko Ekambi"";""Lyon"";35;2849;14;6;17.98;7;0.57;0.22;0.79;0.79;0.89;0.26",
"10;""Boulaye Dia"";""Reims"";36;2974;14;1;13.29;2.01;0.4;0.06;0.46;0.35;0.4;0.07",
"11;""Terem Igobor Moffi"";""Lorient"";32;2104;14;2;10.71;2.91;0.46;0.12;0.58;0.55;0.56;0.08",
"12;""Moise Kean"";""Paris Saint Germain"";26;1723;13;0;10.8;0.96;0.56;0.05;0.61;0.61;0.7;0.16",
"13;""Jonathan Christian David"";""Lille"";37;2375;13;2;10.19;2.66;0.39;0.1;0.49;0.49;0.6;0.13",
"14;""Amine Gouiri"";""Nice"";34;2766;12;7;13.31;6.95;0.43;0.23;0.66;0.56;0.63;0.2",
"15;""Hwang Ui-Jo"";""Bordeaux"";36;2559;12;3;13.86;3.05;0.49;0.11;0.59;0.51;0.46;0.08",
"16;""Gaël Kakuta"";""Lens"";35;2449;11;5;11;6.87;0.4;0.25;0.66;0.41;0.52;0.27",
"17;""Renaud Ripart"";""Nimes"";38;3069;11;0;10.32;2.02;0.3;0.06;0.36;0.21;0.32;0.18",
"18;""Ludovic Blas"";""Nantes"";36;2824;10;4;7.89;3.5;0.25;0.11;0.36;0.36;0.42;0.09",
"19;""Serhou Guirassy"";""Rennes"";27;1766;10;1;8.15;2.81;0.42;0.14;0.56;0.52;0.45;0.09",
"20;""Yoane Wissa"";""Lorient"";38;2693;10;4;13.37;3.58;0.45;0.12;0.57;0.44;0.49;0.12",
"21;""Tinotenda Kadewere"";""Lyon"";33;2033;10;3;10.55;3.56;0.47;0.16;0.62;0.62;0.75;0.31",
"22;""Arkadiusz Milik"";""Marseille"";15;1231;9;1;7.98;1.04;0.58;0.08;0.66;0.49;0.51;0.12",
