"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Victor Osimhen"";""Napoli"";32;2609;26;4;26.63;2.65;0.92;0.09;1.01;0.93;0.8;0.07",
"2;""Lautaro Martínez"";""Inter"";38;2566;21;6;19.82;6.04;0.7;0.21;0.91;0.85;0.89;0.19",
"3;""Boulaye Dia"";""Salernitana"";33;2532;16;6;9.12;2.57;0.32;0.09;0.42;0.39;0.44;0.1",
"4;""Rafael Leão"";""AC Milan"";35;2453;15;8;12.85;8.67;0.47;0.32;0.79;0.79;0.95;0.28",
"5;""Olivier Giroud"";""AC Milan"";33;2166;13;5;15.18;5.84;0.63;0.24;0.87;0.78;0.75;0.21",
"6;""Ademola Lookman"";""Atalanta"";31;1745;13;6;10.58;5.73;0.55;0.3;0.84;0.72;0.85;0.19",
"7;""M&#039;Bala Nzola"";""Spezia"";31;2659;13;2;12.47;2.65;0.42;0.09;0.51;0.43;0.46;0.09",
"8;""Ciro Immobile"";""Lazio"";31;2239;12;5;14.89;2.37;0.6;0.1;0.69;0.54;0.69;0.17",
"9;""Paulo Dybala"";""Roma"";25;1763;12;6;9.71;7.35;0.5;0.38;0.87;0.68;0.59;0.19",
"10;""Domenico Berardi"";""Sassuolo"";26;1894;12;7;11.07;6.5;0.53;0.31;0.83;0.55;0.71;0.31",
"11;""Antonio Sanabria"";""Torino"";33;2457;12;4;11.51;3.66;0.42;0.13;0.56;0.53;0.64;0.2",
"12;""Khvicha Kvaratskhelia"";""Napoli"";34;2575;12;10;8.06;8.78;0.28;0.31;0.59;0.54;0.73;0.29",
"13;""Riccardo Orsolini"";""Bologna"";32;2121;11;4;10.2;3.22;0.43;0.14;0.57;0.47;0.49;0.14",
"14;""Romelu Lukaku"";""Inter"";25;1675;10;6;9.81;4.25;0.53;0.23;0.76;0.67;0.83;0.26",
"15;""Marko Arnautovic"";""Bologna"";21;1556;10;0;8.07;2.59;0.47;0.15;0.62;0.48;0.63;0.18",
"16;""Mattia Zaccagni"";""Lazio"";35;2812;10;6;8.35;5.78;0.27;0.18;0.45;0.43;0.62;0.25",
"17;""Dusan Vlahovic"";""Juventus"";27;1947;10;2;10.76;3.78;0.5;0.17;0.67;0.57;0.47;0.12",
"18;""Teun Koopmeiners"";""Atalanta"";33;2860;10;4;8.45;6.54;0.27;0.21;0.47;0.38;0.44;0.21",
"19;""Beto"";""Udinese"";33;2131;10;1;10.86;2.89;0.46;0.12;0.58;0.55;0.57;0.08",
"20;""Felipe Anderson"";""Lazio"";38;2986;9;2;6.82;4.97;0.21;0.15;0.36;0.36;0.6;0.28",
"21;""Edin Dzeko"";""Inter"";33;1707;9;3;10.62;3.14;0.56;0.17;0.73;0.73;0.76;0.15",
"22;""Sergej Milinkovic-Savic"";""Lazio"";36;3044;9;8;7.64;7.67;0.23;0.23;0.45;0.45;0.53;0.27",
"23;""Rasmus Højlund"";""Atalanta"";32;1846;9;2;10.29;1.9;0.5;0.09;0.59;0.59;0.67;0.13",
"24;""Tammy Abraham"";""Roma"";38;2199;8;3;12.65;4.97;0.52;0.2;0.72;0.72;0.58;0.07",
"25;""Daniel Ciofani"";""Cremonese"";32;1030;8;0;6.31;0.69;0.55;0.06;0.61;0.35;0.29;0.07",
"26;""Adrien Rabiot"";""Juventus"";32;2756;8;4;7.23;2.16;0.24;0.07;0.31;0.31;0.34;0.21",
"27;""Gabriel Strefezza"";""Lecce"";35;2490;8;4;6.2;4.35;0.22;0.16;0.38;0.3;0.38;0.14",
"28;""Arthur Cabral"";""Fiorentina"";28;1415;8;1;7.45;0.68;0.47;0.04;0.52;0.42;0.5;0.17",
"29;""Stephan El Shaarawy"";""Roma"";29;1509;7;2;5.43;1.47;0.32;0.09;0.41;0.41;0.61;0.34",
"30;""Manolo Gabbiadini"";""Sampdoria"";35;2374;7;2;6.77;4.58;0.26;0.17;0.43;0.43;0.42;0.1",
"31;""Antonio Candreva"";""Salernitana"";35;2767;7;4;3.93;4.22;0.13;0.14;0.27;0.27;0.34;0.19",
"32;""Arkadiusz Milik"";""Juventus"";27;1592;7;1;7.24;2.15;0.41;0.12;0.53;0.49;0.45;0.15",
"33;""Davide Frattesi"";""Sassuolo"";36;2930;7;0;7.42;1.89;0.23;0.06;0.29;0.29;0.39;0.14",
"34;""Armand Lauriente"";""Sassuolo"";28;2222;7;6;4.17;5.57;0.17;0.23;0.39;0.36;0.46;0.2",
"35;""David Okereke"";""Cremonese"";33;2277;7;0;5.15;1;0.2;0.04;0.24;0.21;0.29;0.1",
"36;""Lewis Ferguson"";""Bologna"";32;2340;7;0;4.28;0.87;0.16;0.03;0.2;0.2;0.29;0.18",
"37;""Luis Alberto"";""Lazio"";35;2446;6;7;4.82;6.16;0.18;0.23;0.4;0.35;0.59;0.39",
"38;""Moise Kean"";""Juventus"";28;974;6;0;7.23;1.27;0.67;0.12;0.79;0.79;0.75;0.07",
"39;""Nicolò Barella"";""Inter"";35;2643;6;6;2.84;4.79;0.1;0.16;0.26;0.26;0.65;0.45",
"40;""Stefan Posch"";""Bologna"";30;2556;6;2;3.61;1.84;0.13;0.06;0.19;0.19;0.28;0.18",
"41;""Luka Jovic"";""Fiorentina"";31;1526;6;3;8.55;1.96;0.5;0.12;0.62;0.57;0.46;0.07",
"42;""Brahim Diaz"";""AC Milan"";33;1999;6;7;7.09;6.15;0.32;0.28;0.6;0.6;0.93;0.4",
"43;""Francesco Caputo"";""Empoli","Sampdoria"";36;2847;6;4;10.02;3.37;0.32;0.11;0.42;0.37;0.34;0.11"
"44;""Nicolás González"";""Fiorentina"";24;1338;6;1;7.06;1.62;0.47;0.11;0.58;0.48;0.61;0.26",
"45;""Nicolò Cambiaghi"";""Empoli"";28;1268;6;1;3.47;0.93;0.25;0.07;0.31;0.31;0.51;0.23",
"46;""Eljif Elmas"";""Napoli"";36;1595;6;3;3.97;2.54;0.22;0.14;0.37;0.32;0.52;0.25",
"47;""Carlos Augusto"";""Monza"";35;3094;6;5;4.3;3.99;0.13;0.12;0.24;0.24;0.44;0.3",
"48;""Patrick Ciurria"";""Monza"";36;2765;6;6;4.57;5.45;0.15;0.18;0.33;0.33;0.49;0.3",
"49;""Assan Ceesay"";""Lecce"";34;1824;6;0;5.53;0.72;0.27;0.04;0.31;0.27;0.31;0.06",
"50;""Cyriel Dessers"";""Cremonese"";26;1598;6;2;6.51;2.11;0.37;0.12;0.49;0.44;0.44;0.07",
"51;""Giacomo Bonaventura"";""Fiorentina"";30;1915;5;1;4.33;3.34;0.2;0.16;0.36;0.36;0.38;0.15",
"52;""Mario Pasalic"";""Atalanta"";32;1811;5;2;5.76;2.13;0.29;0.11;0.39;0.39;0.52;0.25",
"53;""Gianluca Caprari"";""Monza"";37;2513;5;2;4.92;2.03;0.18;0.07;0.25;0.22;0.53;0.36",
"54;""Simone Verdi"";""Verona"";24;1094;5;0;2.73;2.14;0.22;0.18;0.4;0.34;0.33;0.1",
"55;""Roberto Pereyra"";""Udinese"";34;2869;5;7;5.22;5.53;0.16;0.17;0.34;0.31;0.51;0.29",
"56;""Andrea Pinamonti"";""Sassuolo"";32;2191;5;0;6.85;1.85;0.28;0.08;0.36;0.33;0.43;0.14",
"57;""Nikola Vlasic"";""Torino"";34;2740;5;6;5.87;4.17;0.19;0.14;0.33;0.33;0.5;0.23",
"58;""Matteo Pessina"";""Monza"";35;2958;5;3;4.66;2.25;0.14;0.07;0.21;0.14;0.42;0.33",
"59;""Lazar Samardzic"";""Udinese"";37;1847;5;4;2.08;3.91;0.1;0.19;0.29;0.29;0.4;0.3",
"60;""Lorenzo Colombo"";""Lecce"";33;1521;5;2;6.12;2.1;0.36;0.12;0.49;0.4;0.49;0.14",
"61;""Junior Messias"";""AC Milan"";25;1534;5;2;2.51;1.26;0.15;0.07;0.22;0.22;0.42;0.25",
"62;""Sandi Lovric"";""Udinese"";37;2375;5;6;3.9;3.11;0.15;0.12;0.27;0.27;0.35;0.17",
"63;""Dany Mota"";""Monza"";29;1933;5;1;6.05;1.87;0.28;0.09;0.37;0.37;0.47;0.14",
"64;""Pedro"";""Lazio"";36;1880;4;3;3.07;2.83;0.15;0.14;0.28;0.28;0.41;0.21",
"65;""Giovanni Simeone"";""Napoli"";25;361;4;1;1.89;1.29;0.47;0.32;0.79;0.79;0.91;0.2",
"66;""Darko Lazovic"";""Verona"";30;2284;4;5;4.06;7.55;0.16;0.3;0.46;0.46;0.42;0.08",
"67;""Davide Zappacosta"";""Atalanta"";21;1485;4;2;1.2;1.8;0.07;0.11;0.18;0.18;0.44;0.33",
"68;""Riccardo Saponara"";""Fiorentina"";29;1199;4;3;3.79;3.03;0.28;0.23;0.51;0.51;0.71;0.3",
"69;""Federico Dimarco"";""Inter"";33;2117;4;3;3.51;7.46;0.15;0.32;0.47;0.47;0.62;0.32",
"70;""Lorenzo Pellegrini"";""Roma"";32;2574;4;5;8.05;7.26;0.28;0.25;0.54;0.46;0.49;0.27",
"71;""Andrea Petagna"";""Monza"";31;1669;4;5;5.08;3.92;0.27;0.21;0.49;0.44;0.52;0.12",
