"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Ciro Immobile"";""Lazio"";31;2731;27;2;22.36;2.59;0.74;0.09;0.82;0.6;0.68;0.15",
"2;""Dusan Vlahovic"";""Fiorentina","Juventus"";36;2948;24;3;18.23;3.12;0.56;0.1;0.65;0.51;0.58;0.16"
"3;""Lautaro Martínez"";""Inter"";35;2334;21;3;24.57;3.6;0.95;0.14;1.09;0.91;0.95;0.2",
"4;""Tammy Abraham"";""Roma"";37;3122;17;4;20.97;4.46;0.6;0.13;0.73;0.67;0.6;0.08",
"5;""Giovanni Simeone"";""Cagliari","Verona"";36;2690;17;5;11.99;3.37;0.4;0.11;0.51;0.49;0.62;0.16"
"6;""Gianluca Scamacca"";""Sassuolo"";36;2166;16;0;11.13;2.16;0.46;0.09;0.55;0.52;0.66;0.21",
"7;""Domenico Berardi"";""Sassuolo"";33;2867;15;15;12.5;9.72;0.39;0.31;0.7;0.55;0.73;0.32",
"8;""Marko Arnautovic"";""Bologna"";33;2712;14;1;15.74;3.62;0.52;0.12;0.64;0.57;0.61;0.19",
"9;""Victor Osimhen"";""Napoli"";27;1983;14;2;12.61;2.23;0.57;0.1;0.67;0.67;0.67;0.11",
"10;""Gerard Deulofeu"";""Udinese"";34;2653;13;5;9.11;7.81;0.31;0.26;0.57;0.55;0.56;0.18",
"11;""Mario Pasalic"";""Atalanta"";37;2021;13;6;10.01;5.65;0.45;0.25;0.7;0.7;0.83;0.24",
"12;""Edin Dzeko"";""Inter"";36;2478;13;5;16.46;4.34;0.6;0.16;0.76;0.76;0.87;0.28",
"13;""João Pedro"";""Cagliari"";37;3330;13;4;12.94;3.61;0.35;0.1;0.45;0.36;0.41;0.12",
"14;""Andrea Pinamonti"";""Empoli"";36;2871;13;2;12.28;3.37;0.38;0.11;0.49;0.4;0.43;0.11",
"15;""Gianluca Caprari"";""Verona"";35;2777;12;7;7.15;6.82;0.23;0.22;0.45;0.4;0.75;0.43",
"16;""Olivier Giroud"";""AC Milan"";29;1927;11;3;11.49;2.9;0.54;0.14;0.67;0.6;0.56;0.16",
"17;""Dries Mertens"";""Napoli"";30;1377;11;1;5.35;3.35;0.35;0.22;0.57;0.52;0.69;0.32",
"18;""Lorenzo Insigne"";""Napoli"";32;2322;11;9;15.74;6.32;0.61;0.25;0.86;0.47;0.58;0.28",
"19;""Sergej Milinkovic-Savic"";""Lazio"";37;3121;11;11;8.49;7.11;0.24;0.21;0.45;0.45;0.52;0.32",
"20;""Antonin Barak"";""Verona"";29;2355;11;4;10.65;3.35;0.41;0.13;0.54;0.42;0.61;0.32",
"21;""Francesco Caputo"";""Sampdoria","Sassuolo"";38;2964;11;6;11.48;4.32;0.35;0.13;0.48;0.46;0.5;0.1"
"22;""Rafael Leão"";""AC Milan"";34;2649;11;8;9.12;7.43;0.31;0.25;0.56;0.56;0.61;0.12",
"23;""Beto"";""Udinese"";28;2180;11;0;13.28;1.76;0.55;0.07;0.62;0.62;0.66;0.16",
"24;""Duván Zapata"";""Atalanta"";24;1739;10;4;15.46;4.2;0.8;0.22;1.02;0.9;0.91;0.2",
"25;""Paulo Dybala"";""Juventus"";29;2079;10;5;8.14;5.42;0.35;0.23;0.59;0.52;0.69;0.3",
"26;""Federico Bonazzoli"";""Salernitana"";32;1871;10;0;7.84;0.97;0.38;0.05;0.42;0.35;0.35;0.07",
"27;""Giacomo Raspadori"";""Sassuolo"";36;2777;10;5;8.07;4.4;0.26;0.14;0.4;0.4;0.54;0.21",
"28;""Pedro"";""Lazio"";32;2048;9;5;4.06;3.87;0.18;0.17;0.35;0.35;0.59;0.27",
"29;""Luis Muriel"";""Atalanta"";27;1545;9;8;7.26;6.06;0.42;0.35;0.78;0.69;0.77;0.29",
"30;""Lorenzo Pellegrini"";""Roma"";28;2321;9;5;9.26;8.1;0.36;0.31;0.67;0.58;0.52;0.22",
"31;""Mattia Destro"";""Genoa"";27;1763;9;1;8.29;0.96;0.42;0.05;0.47;0.47;0.44;0.02",
"32;""Álvaro Morata"";""Juventus"";35;2326;9;7;9.88;6.92;0.38;0.27;0.65;0.62;0.65;0.17",
"33;""Thomas Henry"";""Venezia"";33;2138;9;3;7.64;2.64;0.32;0.11;0.43;0.43;0.37;0.04",
"34;""Ivan Perisic"";""Inter"";35;2860;8;7;4.65;9.09;0.15;0.29;0.43;0.41;0.69;0.42",
"35;""Andrea Belotti"";""Torino"";22;1393;8;1;7.68;0.65;0.5;0.04;0.54;0.39;0.34;0.08",
"36;""Zlatan Ibrahimovic"";""AC Milan"";23;986;8;3;7.34;2.37;0.67;0.22;0.89;0.82;0.93;0.2",
"37;""Daniele Verde"";""Spezia"";33;1964;8;6;5.55;4.84;0.25;0.22;0.48;0.41;0.43;0.18",
"38;""Hakan Calhanoglu"";""Inter"";34;2550;7;12;6;8.46;0.21;0.3;0.51;0.43;0.65;0.5",
"39;""Manolo Gabbiadini"";""Sampdoria"";18;1152;7;2;3.96;1.55;0.31;0.12;0.43;0.43;0.38;0.07",
"40;""Antonio Candreva"";""Sampdoria"";36;3154;7;10;6.31;8.69;0.18;0.25;0.43;0.38;0.42;0.19",
"41;""Mattia Aramu"";""Venezia"";32;2123;7;5;6.25;4.52;0.26;0.19;0.46;0.33;0.31;0.13",
"42;""Fabián"";""Napoli"";32;2415;7;4;1.52;3.54;0.06;0.13;0.19;0.19;0.54;0.44",
"43;""Josip Brekalo"";""Torino"";32;2305;7;2;5.65;6.51;0.22;0.25;0.47;0.47;0.54;0.23",
"44;""Hamed Junior Traore"";""Sassuolo"";31;1786;7;2;5.89;4.18;0.3;0.21;0.51;0.51;0.72;0.37",
"45;""Nicolás González"";""Fiorentina"";33;2370;7;6;10.3;4.32;0.39;0.16;0.56;0.47;0.56;0.21",
"46;""Nahuel Molina"";""Udinese"";35;2662;7;2;4.13;4.45;0.14;0.15;0.29;0.29;0.44;0.28",
"47;""David Okereke"";""Venezia"";32;2073;7;0;5.31;0.89;0.23;0.04;0.27;0.27;0.33;0.11",
"48;""Felipe Anderson"";""Lazio"";38;2930;6;8;6.13;6.42;0.19;0.2;0.39;0.39;0.53;0.23",
"49;""Piotr Zielinski"";""Napoli"";35;2114;6;5;3.22;4.05;0.14;0.17;0.31;0.31;0.51;0.27",
"50;""Simone Verdi"";""Salernitana","Torino"";18;895;6;0;3.57;1.32;0.36;0.13;0.49;0.42;0.41;0.13"
"51;""Franck Kessié"";""AC Milan"";31;2313;6;0;4.83;1.92;0.19;0.07;0.26;0.17;0.49;0.38",
"52;""Joaquín Correa"";""Inter"";26;1016;6;1;5.49;2.14;0.49;0.19;0.68;0.68;0.88;0.3",
"53;""Mattia Zaccagni"";""Lazio","Verona"";31;2061;6;5;5.09;4.35;0.22;0.19;0.41;0.38;0.42;0.11"
"54;""Antonio Sanabria"";""Torino"";29;1819;6;2;9.61;2.1;0.48;0.1;0.58;0.58;0.61;0.12",
"55;""Domenico Criscito"";""Genoa"";20;1624;6;1;5.66;1.14;0.31;0.06;0.38;0.08;0.2;0.13",
"56;""Riccardo Orsolini"";""Bologna"";29;1805;6;3;6.19;1.87;0.31;0.09;0.4;0.33;0.42;0.18",
"57;""Musa Barrow"";""Bologna"";34;2162;6;6;5.11;5.71;0.21;0.24;0.45;0.45;0.51;0.22",
"58;""Szymon Zurkowski"";""Empoli"";35;2333;6;2;4.34;1.43;0.17;0.06;0.22;0.22;0.31;0.16",
"59;""Ruslan Malinovskiy"";""Atalanta"";30;1594;6;4;3.4;6.82;0.19;0.39;0.58;0.58;0.63;0.29",
"60;""Emmanuel Gyasi"";""Spezia"";36;3058;6;0;6.51;1.56;0.19;0.05;0.24;0.24;0.37;0.17",
"61;""Nedim Bajrami"";""Empoli"";35;2066;6;5;5.87;4.05;0.26;0.18;0.43;0.33;0.41;0.22",
"62;""Henrikh Mkhitaryan"";""Roma"";31;2517;5;6;3.8;4.61;0.14;0.16;0.3;0.3;0.52;0.27",
