Rank,Player,Rating
1,Kevin De Bruyne,7.81
2,Bruno Fernandes,7.72
3,Ilkay Gündogan,7.71
4,Harry Kane,7.68
5,Jack Grealish,7.67
6,Rodri,7.47
7,Mason Mount,7.43
8,Riyad Mahrez,7.43
9,Joao Cancelo,7.41
10,Phil Foden,7.40
11,Sadio Mané,7.40
12,Raphinha,7.39
13,Wilfred Ndidi,7.39
14,James Ward-Prowse,7.37
15,Heung-Min Son,7.33
16,Youri Tielemans,7.32
17,Thiago Alcántara,7.29
18,Mohamed Salah,7.29
18,Raheem Sterling,7.29
20,Trent Alexander-Arnold,7.27
21,Jamie Vardy,7.26
22,Marcus Rashford,7.26
22,Aaron Wan-Bissaka,7.26
24,James Maddison,7.25
25,James Rodriguez,7.24
26,Andrew Robertson,7.21
26,Bernardo Silva,7.21
28,Luke Shaw,7.21
29,Antonio Rüdiger,7.20
30,John Stones,7.20
31,Ben Chilwell,7.19
32,Scott McTominay,7.19
33,Jorginho,7.18
34,Roberto Firmino,7.16
35,Tomas Soucek,7.15
36,Gabriel Jesus,7.14
37,Dominic Calvert-Lewin,7.13
38,James Justin,7.12
39,Michail Antonio,7.11
40,Paul Pogba,7.11
40,Pedro Neto,7.11
42,Patrick Bamford,7.10
43,Matheus Pereira,7.10
44,César Azpilicueta,7.10
45,Wesley Fofana,7.10
46,Declan Rice,7.10
47,Fred,7.10
48,Vladimir Coufal,7.09
49,Pierre-Emile Højbjerg,7.08
50,Pascal Gross,7.07
51,Mateo Kovacic,7.07
52,Reece James,7.07
52,Yves Bissouma,7.07
54,Kurt Zouma,7.06
55,Harvey Barnes,7.06
56,Oleksandr Zinchenko,7.06
56,Harry Maguire,7.06
56,Serge Aurier,7.06
59,Lucas Digne,7.06
60,Dani Ceballos,7.05
61,Emile Smith Rowe,7.04
62,Ruben Neves,7.03
63,Ollie Watkins,7.03
64,Kalvin Phillips,7.02
65,Thomas Partey,7.02
65,Fabinho,7.02
65,Jordan Henderson,7.02
68,Kelechi Iheanacho,7.01
69,Kyle Walker,7.01
69,Bertrand Traoré,7.01
71,Ruben Dias,7.01
72,Jack Harrison,7.00
73,Jonjo Shelvey,7.00
73,Adama Traoré,7.00
75,N'Golo Kanté,7.00
76,John McGinn,6.99
77,Allan Saint-Maximin,6.99
78,Richarlison,6.98
79,Stuart Dallas,6.98
80,Solly March,6.98
81,Oriol Romeu,6.97
82,Matt Targett,6.97
82,Timo Werner,6.97
82,Christian Benteke,6.97
85,Andre-Frank Zambo Anguissa,6.97
86,Aaron Cresswell,6.97
87,Abdoulaye Doucouré,6.96
87,Pablo Fornals,6.96
89,Stuart Armstrong,6.95
90,Timothy Castagne,6.95
91,Emiliano Martinez,6.94
92,Wilfried Zaha,6.94
93,Luke Ayling,6.94
94,Ashley Westwood,6.93
94,Jonny Evans,6.93
96,Joao Moutinho,6.93
97,Thiago Silva,6.93
98,Tanguy Ndombélé,6.92
99,Anwar El-Ghazi,6.92
99,Eberechi Eze,6.92
101,Romain Saiss,6.91
102,Joel Veltman,6.91
103,Pierre-Emerick Aubameyang,6.91
104,Bukayo Saka,6.90
105,Danny Ings,6.90
106,Hakim Ziyech,6.90
107,Nélson Semedo,6.90
108,Antonee Robinson,6.89
108,Georginio Wijnaldum,6.89
108,Allan,6.89
111,Callum Wilson,6.89
112,Ademola Lookman,6.89
113,Alexandre Lacazette,6.88
114,Granit Xhaka,6.88
114,Joseph Willock,6.88
116,Jannik Vestergaard,6.87
117,Dwight McNeil,6.87
118,Andros Townsend,6.86
119,Nick Pope,6.86
120,Josh Brownhill,6.86
121,Christian Pulisic,6.85
122,James Tarkowski,6.85
122,Kyle Walker-Peters,6.85
124,Yerry Mina,6.85
125,Seamus Coleman,6.85
126,Adam Webster,6.85
127,Willy Boly,6.85
128,Édinson Cavani,6.84
129,Gylfi Sigurdsson,6.84
130,Liam Cooper,6.84
131,Hector Bellerin,6.84
132,Victor Nilsson Lindelöf,6.84
133,Joachim Andersen,6.83
134,Miguel Almiron,6.83
135,Anthony Martial,6.83
136,Caglar Söyüncü,6.82
137,Leandro Trossard,6.82
138,Toby Alderweireld,6.82
138,Tyrone Mings,6.82
140,Mason Greenwood,6.82
140,Gabriel,6.82
142,Nicolas Pépé,6.82
143,Matty Cash,6.81
144,Michael Keane,6.81
145,Callum Hudson-Odoi,6.80
145,Lewis Dunk,6.80
145,Rodrigo,6.80
148,Ferran Torres,6.79
149,Marc Albrighton,6.79
150,Willian,6.79
151,Ross Barkley,6.78
152,Rob Holding,6.77
152,Sergio Reguilon,6.77
154,Conor Townsend,6.77
155,Kieran Tierney,6.76
155,Jarrod Bowen,6.76
157,Matthew Lowton,6.76
158,Daniel Podence,6.75
159,Ben Godfrey,6.75
159,Ola Aina,6.75
161,Ezgjan Alioski,6.74
162,Tammy Abraham,6.74
163,Ederson,6.74
164,Che Adams,6.73
165,Ben Mee,6.73
165,Kai Havertz,6.73
167,Craig Dawson,6.72
168,Angelo Ogbonna,6.72
169,Said Benrahma,6.72
170,Kenny Tete,6.71
170,Eric Dier,6.71
172,Trezeguet,6.71
172,Tyrick Mitchell,6.71
174,Conor Gallagher,6.70
174,Pascal Struijk,6.70
174,Tom Davies,6.70
177,Luka Milivojevic,6.70
178,Tosin Adarabioyo,6.70
179,Danny Welbeck,6.70
180,Mateusz Klich,6.69
181,Daniel Burn,6.69
182,Douglas Luiz,6.69
