Rank,Player,Rating
1,Rodri,8.12
2,Bukayo Saka,7.97
3,Phil Foden,7.83
4,Bruno Fernandes,7.83
5,Cole Palmer,7.78
6,Michael Olise,7.71
7,Declan Rice,7.66
8,Bruno Guimaraes,7.65
9,Erling Haaland,7.64
10,Mohamed Salah,7.64
11,Martin Ødegaard,7.64
12,Eberechi Eze,7.60
13,James Maddison,7.59
14,Bernardo Silva,7.57
15,Trent Alexander-Arnold,7.57
16,Josko Gvardiol,7.53
17,Anthony Gordon,7.51
17,Alexis Mac Allister,7.51
19,Conor Gallagher,7.50
20,Heung-Min Son,7.50
21,Andrew Robertson,7.48
22,Julián Álvarez,7.47
23,Pascal Gross,7.47
24,Ollie Watkins,7.40
25,Mohammed Kudus,7.39
26,Virgil van Dijk,7.39
27,Pedro Porro,7.38
28,James Ward-Prowse,7.37
28,Alexander Isak,7.37
30,Kyle Walker,7.36
31,Kieran Trippier,7.35
32,Cristian Romero,7.32
32,Ross Barkley,7.32
34,Jérémy Doku,7.32
35,Manuel Akanji,7.31
36,Lucas Paquetá,7.31
37,Luis Diaz,7.31
38,Pedro Neto,7.30
39,Kai Havertz,7.30
40,Matheus Cunha,7.29
41,Dominik Szoboszlai,7.28
41,Ben White,7.28
43,Douglas Luiz,7.28
44,Nathan Aké,7.27
45,William Saliba,7.27
46,Christian Nørgaard,7.26
47,Diogo Jota,7.25
48,Jarrod Bowen,7.25
49,Morgan Gibbs-White,7.24
50,Idrissa Gana Gueye,7.24
51,Bryan Mbeumo,7.23
52,Kaoru Mitoma,7.23
53,Gabriel,7.22
53,Oleksandr Zinchenko,7.22
55,Diogo Dalot,7.20
56,Marcos Senesi,7.20
57,John McGinn,7.19
58,Mario Lemina,7.18
59,Harry Maguire,7.18
60,Nicolas Jackson,7.18
61,Antonee Robinson,7.17
62,Alfie Doughty,7.16
63,Ibrahima Konaté,7.16
63,Casemiro,7.16
65,Dwight McNeil,7.16
65,Darwin Nunez,7.16
67,Jefferson Lerma,7.15
67,Joao Palhinha,7.15
67,James Garner,7.15
70,Leon Bailey,7.14
71,Ruben Dias,7.14
72,Josh Cullen,7.13
72,Malo Gusto,7.13
74,James Tarkowski,7.13
75,Jarrad Branthwaite,7.12
76,Dejan Kulusevski,7.12
77,Micky van de Ven,7.12
77,Sergio Reguilon,7.12
79,Chiedozie Ogbene,7.10
80,Levi Colwill,7.10
80,Lewis Cook,7.10
82,Noni Madueke,7.10
83,Gabriel Martinelli,7.09
84,Alejandro Garnacho,7.09
85,Destiny Udogie,7.09
85,Mateo Kovacic,7.09
87,Simon Adingra,7.09
88,Pape Sarr,7.08
89,Brennan Johnson,7.08
90,Marcus Tavernier,7.08
91,Vitaly Janelt,7.08
92,Ryan Christie,7.08
93,Yoane Wissa,7.07
94,Tyrick Mitchell,7.07
94,Willy Boly,7.07
96,Vitaliy Mykolenko,7.06
96,Alex Iwobi,7.06
98,Yves Bissouma,7.06
99,Boubacar Kamara,7.06
100,Joao Pedro,7.06
101,Dominic Solanke,7.05
102,Harvey Elliott,7.05
103,Jan Paul van Hecke,7.05
104,Moisés Caicedo,7.05
105,Callum Hudson-Odoi,7.04
106,Amadou Onana,7.04
107,Aaron Wan-Bissaka,7.03
108,Cody Gakpo,7.03
108,Joachim Andersen,7.03
110,Hee-Chan Hwang,7.02
111,Gustavo Hamer,7.01
112,Thiago Silva,7.01
112,Abdoulaye Doucouré,7.01
114,Leandro Trossard,7.01
115,Jordan Ayew,7.00
116,Gabriel Jesus,7.00
117,Joao Gomes,6.99
117,Enzo Fernández,6.99
119,Willian,6.99
120,Richarlison,6.99
121,Joelinton,6.99
122,Sean Longstaff,6.98
123,Youri Tielemans,6.98
124,Joseph Gomez,6.98
124,Marcus Rashford,6.98
126,Pablo Sarabia,6.98
127,Marc Cucurella,6.97
128,Raheem Sterling,6.97
129,Rayan Ait Nouri,6.97
130,Josh Brownhill,6.97
131,Wataru Endo,6.96
132,Mathias Jensen,6.95
133,Kobbie Mainoo,6.95
134,Jean-Philippe Mateta,6.95
135,Tomas Soucek,6.95
136,Emerson,6.94
137,Guglielmo Vicario,6.94
138,Mykhaylo Mudryk,6.94
139,Alphonse Areola,6.94
140,Jordan Pickford,6.94
141,Nicolás Dominguez,6.93
142,Ederson,6.93
142,Nélson Semedo,6.93
142,Ethan Pinnock,6.93
145,Pau Torres,6.93
146,Lewis Dunk,6.91
147,Chris Wood,6.91
148,Ola Aina,6.91
