Rank,Player,Rating
1,Mohamed Salah,8.00
2,Cole Palmer,7.64
3,Bruno Fernandes,7.57
4,Bryan Mbeumo,7.57
5,Erling Haaland,7.48
6,Matheus Cunha,7.46
7,Bukayo Saka,7.45
8,Amad,7.44
9,Moisés Caicedo,7.42
10,Eberechi Eze,7.40
10,Alexander Isak,7.40
12,Youri Tielemans,7.39
13,Trent Alexander-Arnold,7.38
14,Alexis Mac Allister,7.38
14,Daniel Munoz,7.38
16,Thomas Partey,7.38
17,Luis Diaz,7.37
18,Josko Gvardiol,7.36
19,Savinho,7.35
20,Virgil van Dijk,7.34
21,Declan Rice,7.34
22,Antonee Robinson,7.34
23,Jérémy Doku,7.33
24,Mateo Kovacic,7.33
25,Enzo Fernández,7.30
26,Ryan Gravenberch,7.29
27,James Maddison,7.29
28,Yoane Wissa,7.27
29,Antoine Semenyo,7.27
30,Bernardo Silva,7.27
31,Alex Iwobi,7.26
32,Aaron Wan-Bissaka,7.26
33,Bruno Guimaraes,7.26
34,Ryan Christie,7.25
35,Morgan Gibbs-White,7.25
36,Ilkay Gündogan,7.24
36,Christian Nørgaard,7.24
38,Mikkel Damsgaard,7.24
39,Kevin De Bruyne,7.24
40,Jordan Pickford,7.24
41,Jacob Murphy,7.23
41,Martin Ødegaard,7.23
43,Heung-Min Son,7.23
44,Dean Huijsen,7.21
45,David Raya,7.21
46,Gabriel,7.21
47,William Saliba,7.21
48,Matheus Nunes,7.21
49,Pedro Porro,7.20
50,Jarrod Bowen,7.20
51,Callum Hudson-Odoi,7.19
52,Dominik Szoboszlai,7.18
53,Noni Madueke,7.18
54,Elliot Anderson,7.18
55,Dwight McNeil,7.17
56,Joao Pedro,7.17
57,Sandro Tonali,7.17
58,Nick Pope,7.16
58,Murillo,7.16
60,Alisson Becker,7.14
61,Rayan Ait Nouri,7.14
62,Justin Kluivert,7.14
63,Robert Sánchez,7.13
64,Carlos Baleba,7.13
65,Diogo Dalot,7.13
65,Jurrien Timber,7.13
67,Iliman Ndiaye,7.12
68,Kaoru Mitoma,7.12
69,Dango Ouattara,7.12
69,Ibrahima Konaté,7.12
71,Ederson,7.11
72,Cody Gakpo,7.11
73,Neco Williams,7.10
74,Casemiro,7.09
75,Lewis Cook,7.09
76,James Tarkowski,7.09
77,Matz Sels,7.09
78,Milos Kerkez,7.08
79,Lisandro Martinez,7.08
80,Kai Havertz,7.08
81,Ilya Zabarnyi,7.08
82,Ruben Dias,7.08
83,Ismaila Sarr,7.07
84,Ola Aina,7.07
85,Anthony Gordon,7.07
86,Lewis Hall,7.07
87,Chris Wood,7.06
88,Tyrick Mitchell,7.06
89,Nicolas Jackson,7.05
89,Kenny Tete,7.05
91,Marcus Tavernier,7.05
91,Pervis Estupinán,7.05
93,Joelinton,7.05
94,Mark Flekken,7.05
95,Trevoh Chalobah,7.05
96,Idrissa Gana Gueye,7.04
96,Mats Wieffer,7.04
98,Morgan Rogers,7.04
99,Leandro Trossard,7.04
100,Nikola Milenkovic,7.03
101,Brennan Johnson,7.03
101,Yankuba Minteh,7.03
101,Danny Welbeck,7.03
101,Andre,7.03
105,Dean Henderson,7.03
106,Mikel Merino,7.02
106,Levi Colwill,7.02
108,Marcus Rashford,7.01
109,Anthony Elanga,7.01
110,Gabriel Martinelli,7.01
111,Emiliano Martinez,7.01
112,Evanilson,7.00
113,Tyler Adams,7.00
114,Mateus Fernandes,6.99
115,Noussair Mazraoui,6.99
115,James Garner,6.99
117,Maxence Lacroix,6.98
118,Jarrad Branthwaite,6.98
119,Phil Foden,6.98
119,Marc Cucurella,6.98
121,Jan Paul van Hecke,6.98
122,Pedro Neto,6.98
123,Rodrigo Bentancur,6.97
124,Toti Gomes,6.97
125,Jadon Sancho,6.96
126,Amadou Onana,6.96
127,Kieran Trippier,6.95
128,Nathan Collins,6.95
129,Kevin Schade,6.95
130,Joel Veltman,6.95
131,Kepa Arrizabalaga,6.95
132,Joachim Andersen,6.94
132,Matty Cash,6.94
132,Lucas Digne,6.94
135,Raul Jiménez,6.93
136,Harvey Barnes,6.92
136,Dejan Kulusevski,6.92
138,Rico Lewis,6.92
139,Marc Guehi,6.92
140,Vitaliy Mykolenko,6.91
141,Guglielmo Vicario,6.91
141,Wilfred Ndidi,6.91
143,Joao Gomes,6.90
144,Mohammed Kudus,6.90
144,Calvin Bassey,6.90
146,Ollie Watkins,6.89
147,Destiny Udogie,6.89
148,Matt Doherty,6.89
149,Yasin Ayari,6.89
150,Jack Hinshelwood,6.89
151,Nélson Semedo,6.89
152,Fabian Schär,6.88
153,Tomas Soucek,6.88
154,Emile Smith Rowe,6.87
155,José Sá,6.87
156,Harry Wilson,6.87
