Rank,Player,Rating
215,Jordan Pickford,6.69
216,Brennan Johnson,6.68
217,Che Adams,6.68
218,Thilo Kehrer,6.67
218,Conor Gallagher,6.67
220,Richarlison,6.67
221,Conor Coady,6.67
222,Lukasz Fabianski,6.66
223,Ainsley Maitland-Niles,6.66
223,Joe Aribo,6.66
225,Vicente Guaita,6.66
226,Danny Ings,6.65
227,Jan Bednarek,6.64
227,Orel Mangala,6.64
227,Kyle Walker-Peters,6.64
230,Adama Traoré,6.63
231,Mikkel Damsgaard,6.61
232,Anthony Gordon,6.61
233,Wilfred Ndidi,6.61
234,James Milner,6.60
234,Nathaniel Clyne,6.60
234,Robin Koch,6.60
237,Frank Onyeka,6.59
238,Mohamed Elyounoussi,6.58
238,Edward Nketiah,6.58
240,Theo Walcott,6.58
241,Nathan Collins,6.57
241,Ederson,6.57
243,Hugo Bueno,6.56
243,Lucas Digne,6.56
245,José Sá,6.56
246,Leon Bailey,6.56
246,Joshua Dasilva,6.56
248,Kelechi Iheanacho,6.55
248,Romain Perraud,6.55
250,Hugo Lloris,6.54
251,Tom Cairney,6.54
251,Brenden Aaronson,6.54
253,Will Hughes,6.53
254,Kieran Tierney,6.52
254,Adam Smith,6.52
256,Patson Daka,6.51
257,Jaidon Anthony,6.50
257,Stuart Armstrong,6.50
257,Patrick Bamford,6.50
260,Danny Ward,6.49
261,Daniel James,6.47
262,Gavin Bazunu,6.47
262,Weston McKennie,6.47
264,Chris Mepham,6.46
265,Hee-Chan Hwang,6.44
265,Robert Sánchez,6.44
267,Odsonne Edouard,6.43
267,Christian Pulisic,6.43
269,Illan Meslier,6.42
270,Michail Antonio,6.42
271,Scott McKenna,6.41
271,Adam Armstrong,6.41
273,Shandon Baptiste,6.39
274,Jamie Vardy,6.37
275,Kieffer Moore,6.34
276,Neal Maupay,6.27
277,Jean-Philippe Mateta,6.15
278,Diego Costa,6.14
