Rank,Player,Rating
1,Rodri,7.95
2,Trent Alexander-Arnold,7.94
3,Kevin De Bruyne,7.91
4,Heung-Min Son,7.81
5,Joao Cancelo,7.80
6,Mohamed Salah,7.74
7,Andrew Robertson,7.71
8,Bernardo Silva,7.66
9,Ilkay Gündogan,7.66
10,Joel Matip,7.61
11,Pierre-Emile Højbjerg,7.59
12,Jack Grealish,7.56
13,Bruno Fernandes,7.51
14,Thiago Alcántara,7.50
15,Reece James,7.50
16,Harry Kane,7.49
17,Jorginho,7.49
18,Virgil van Dijk,7.48
19,Mason Mount,7.48
20,Declan Rice,7.48
21,Sadio Mané,7.47
22,James Ward-Prowse,7.47
23,Gabriel Jesus,7.45
24,Christian Nørgaard,7.44
25,John McGinn,7.44
26,Jordan Henderson,7.43
27,Raheem Sterling,7.42
27,Marc Cucurella,7.42
29,Phil Foden,7.41
30,Thiago Silva,7.41
31,Marcos Alonso,7.41
32,Trevoh Chalobah,7.40
32,Fabinho,7.40
32,Diogo Dalot,7.40
35,Aymeric Laporte,7.39
36,N'Golo Kanté,7.38
36,Ruben Neves,7.38
38,Cristiano Ronaldo,7.37
39,Riyad Mahrez,7.37
40,Bukayo Saka,7.35
41,Raphinha,7.34
42,Oriol Romeu,7.34
43,Thomas Partey,7.33
44,Yves Bissouma,7.32
45,Ivan Toney,7.32
46,Rayan Ait Nouri,7.32
47,Jarrod Bowen,7.31
48,Antonio Rüdiger,7.31
49,Youri Tielemans,7.30
50,Ruben Dias,7.30
51,Cristian Romero,7.28
52,Fred,7.26
53,Mateo Kovacic,7.25
54,Nélson Semedo,7.25
54,Kyle Walker,7.25
56,Andreas Christensen,7.24
56,James McArthur,7.24
56,Sergio Reguilon,7.24
59,Conor Gallagher,7.24
60,Diogo Jota,7.23
60,James Maddison,7.23
62,Max Kilman,7.22
63,Martin Ødegaard,7.22
63,Wilfred Ndidi,7.22
65,Abdoulaye Doucouré,7.20
66,Romain Saiss,7.19
67,Hakim Ziyech,7.19
68,Said Benrahma,7.19
69,Josh Brownhill,7.19
70,Paul Pogba,7.18
70,Dwight McNeil,7.18
72,Naby Keita,7.17
73,Alexis Mac Allister,7.17
74,César Azpilicueta,7.17
75,Joao Moutinho,7.16
76,Emerson Royal,7.16
77,Davinson Sánchez,7.15
78,Manuel Lanzini,7.15
79,Alex Telles,7.14
80,Hassane Kamara,7.14
81,Allan Saint-Maximin,7.13
81,Gabriel,7.13
81,Pascal Gross,7.13
84,Kieran Tierney,7.11
84,Nathan Collins,7.11
86,Pablo Fornals,7.11
87,Douglas Luiz,7.11
88,Jonjo Shelvey,7.10
89,Joel Veltman,7.10
90,Ben Mee,7.10
90,Aaron Cresswell,7.10
92,Ruben Loftus-Cheek,7.09
