Rank,Player,Rating
93,Philippe Coutinho,7.09
94,Leandro Trossard,7.09
95,Valentino Livramento,7.09
96,Kiernan Dewsbury-Hall,7.09
97,Gabriel Martinelli,7.09
97,Tyrick Mitchell,7.09
99,Raphaël Varane,7.08
100,Aaron Wan-Bissaka,7.07
101,Wilfried Zaha,7.07
102,Granit Xhaka,7.07
103,Jamie Vardy,7.07
104,Liam Cooper,7.05
105,Vitaly Janelt,7.05
106,Kai Havertz,7.05
107,Ethan Pinnock,7.04
108,Takehiro Tomiyasu,7.04
109,James Tarkowski,7.04
110,Scott McTominay,7.04
111,Lucas Moura,7.04
112,Marc Guehi,7.04
113,Kalvin Phillips,7.04
114,Matty Cash,7.04
115,Tomas Soucek,7.03
116,Jadon Sancho,7.03
117,Emile Smith Rowe,7.03
118,Daniel Burn,7.02
119,Lucas Digne,7.02
120,Andros Townsend,7.02
121,Richarlison,7.01
122,Ben White,7.01
123,Charlie Taylor,7.01
123,Adam Webster,7.01
125,Matt Targett,7.00
126,Jacob Ramsey,7.00
127,Alisson Becker,7.00
128,Mohammed Salisu,6.99
128,Cheikhou Kouyaté,6.99
130,Adama Traoré,6.99
131,Joelinton,6.98
132,Fabian Schär,6.98
132,Ben Davies,6.98
134,Kyle Walker-Peters,6.98
135,Tyrone Mings,6.98
136,Stuart Dallas,6.98
137,Daniel Podence,6.98
138,Matthew Lowton,6.97
139,Harvey Barnes,6.97
140,Moussa Sissoko,6.96
141,Connor Roberts,6.95
142,Christian Pulisic,6.95
143,Romelu Lukaku,6.95
144,Caglar Söyüncü,6.95
145,Michael Olise,6.95
146,Nemanja Matic,6.95
146,Lewis Dunk,6.95
148,José Sá,6.95
149,Kristoffer Vassbakk Ajer,6.95
150,Joel Ward,6.94
151,Michail Antonio,6.94
152,Adam Lallana,6.94
153,Alex Iwobi,6.94
153,Emiliano Buendia,6.94
155,Timothy Castagne,6.94
156,Demarai Gray,6.93
157,Trincao,6.93
158,Juraj Kucka,6.93
159,Ollie Watkins,6.93
160,Jan Bednarek,6.93
161,Eric Dier,6.92
162,Diego Llorente,6.91
163,Nathan Redmond,6.91
164,Luke Shaw,6.91
165,Emil Krafth,6.91
166,Joachim Andersen,6.91
167,David Raya,6.90
168,Allan,6.90
169,Luke Thomas,6.90
170,Anthony Gordon,6.88
171,Alexandre Lacazette,6.88
171,Vladimir Coufal,6.88
173,Leander Dendoncker,6.87
173,Imran Louza,6.87
173,Ashley Westwood,6.87
176,Nick Pope,6.87
177,Pontus Jansson,6.86
178,Brandon Williams,6.86
179,Jeffrey Schlupp,6.86
180,Che Adams,6.85
181,Bryan Mbeumo,6.85
182,Harry Maguire,6.85
183,Emmanuel Dennis,6.85
184,Joseph Willock,6.85
184,Conor Coady,6.85
186,Hugo Lloris,6.84
186,Rico Henry,6.84
188,Stuart Armstrong,6.82
189,Jack Harrison,6.82
190,Sergi Canos,6.82
191,Anthony Elanga,6.81
191,Pierre Lees-Melou,6.81
193,Rodrigo,6.81
194,Jakub Moder,6.80
194,Mohamed Elyounoussi,6.80
196,Danny Ings,6.80
197,Ismaila Sarr,6.79
198,Tariq Lamptey,6.78
199,Ashley Young,6.78
199,Odsonne Edouard,6.78
199,Craig Dawson,6.78
202,Kurt Zouma,6.78
203,Solly March,6.77
204,Raul Jiménez,6.77
205,Cédric Soares,6.77
206,Christian Benteke,6.77
207,Danny Welbeck,6.77
208,Seamus Coleman,6.76
209,Ademola Lookman,6.76
210,Aaron Ramsdale,6.75
211,Maxwel Cornet,6.75
212,Jordan Ayew,6.75
212,Billy Gilmour,6.75
212,Miguel Almiron,6.75
215,Hee-Chan Hwang,6.74
216,Edouard Mendy,6.74
217,Daniel Amartey,6.73
218,Mathias Normann,6.72
219,Sean Longstaff,6.72
219,Kiko,6.72
221,Ederson,6.71
221,Michael Keane,6.71
221,Jacob Murphy,6.71
224,Mateusz Klich,6.70
225,Romain Perraud,6.70
226,Joshua King,6.68
227,Luke Ayling,6.68
227,Kelechi Iheanacho,6.68
229,Victor Nilsson Lindelöf,6.67
229,Timo Werner,6.67
231,Daniel James,6.66
232,Mason Holgate,6.65
233,Ryan Fraser,6.65
234,Yoane Wissa,6.65
234,Mathias Jensen,6.65
234,Junior Firpo,6.65
237,Kenny McLean,6.64
238,Vicente Guaita,6.63
238,Wout Weghorst,6.63
240,Joao Pedro,6.61
241,Neal Maupay,6.60
241,Jean-Philippe Mateta,6.60
243,Jack Cork,6.60
243,Grant Hanley,6.60
243,Teemu Pukki,6.60
246,Juan Hernández,6.59
247,Ezri Konsa,6.59
248,Patson Daka,6.58
248,Robert Sánchez,6.58
250,Adam Forshaw,6.57
250,Ben Godfrey,6.57
252,Chris Wood,6.57
253,Max Aarons,6.57
254,Milot Rashica,6.57
255,Martin Dubravka,6.56
256,Fraser Forster,6.56
257,Emiliano Martinez,6.55
257,Dele Alli,6.55
259,Frank Onyeka,6.55
259,Adam Armstrong,6.55
261,Pascal Struijk,6.54
262,Lukasz Fabianski,6.52
263,Jamaal Lascelles,6.50
263,Samir Caetano,6.50
263,Aaron Lennon,6.50
266,Marcus Rashford,6.49
267,Kasper Schmeichel,6.49
268,Tyler Roberts,6.49
269,Armando Broja,6.49
270,Jordan Pickford,6.48
271,Jay Rodriguez,6.48
272,Joshua Sargent,6.47
273,Tom Cleverley,6.46
274,Mads Roerslev,6.45
275,David de Gea,6.44
276,Ben Gibson,6.39
277,Craig Cathcart,6.36
278,Robin Koch,6.33
279,Illan Meslier,6.32
280,Ben Foster,6.05
281,Tim Krul,5.98
