player_name,season_label,league,player_id,appearances,goals_conceded_total,clean_sheets,wins,minutes_total,yellow_cards,red_cards,goals_conceded_per90,clean_sheet_pct,win_rate
Mathew Ryan,2021-2022,es La Liga,128969,3,5.0,1,2,270.0,0.0,0.0,1.667,0.333,0.667
Mathieu Gorgelin,2023-2024,fr Ligue 1,60543,1,2.0,0,0,90.0,1.0,0.0,2.0,0.0,0.0
Matis Carvalho,2022-2023,fr Ligue 1,478346,1,3.0,0,0,90.0,0.0,0.0,3.0,0.0,0.0
Matt Turner,2023-2024,eng Premier League,425306,2,5.0,0,0,180.0,0.0,0.0,2.5,0.0,0.0
Matthieu Dreyer,2020-2021,fr Ligue 1,57134,15,25.0,2,5,1350.0,1.0,0.0,1.667,0.133,0.333
Matthieu Dreyer,2021-2022,fr Ligue 1,57134,16,25.0,7,5,1440.0,0.0,0.0,1.562,0.438,0.312
Mattia Perin,2020-2021,it Serie A,110923,32,44.0,8,9,2880.0,1.0,1.0,1.375,0.25,0.281
Mattia Perin,2021-2022,it Serie A,110923,5,8.0,1,2,405.0,0.0,0.0,1.778,0.2,0.4
Mattia Perin,2022-2023,it Serie A,110923,10,7.0,5,5,900.0,0.0,0.0,0.7,0.5,0.5
Matz Sels,2020-2021,fr Ligue 1,127202,6,13.0,0,1,540.0,0.0,0.0,2.167,0.0,0.167
Matz Sels,2021-2022,fr Ligue 1,127202,37,43.0,13,16,3330.0,1.0,0.0,1.162,0.351,0.432
Matz Sels,2022-2023,fr Ligue 1,127202,38,59.0,6,9,3420.0,2.0,0.0,1.553,0.158,0.237
Matz Sels,2023-2024,eng Premier League,127202,7,11.0,1,1,630.0,1.0,0.0,1.571,0.143,0.143
Matz Sels,2023-2024,fr Ligue 1,127202,1,1.0,0,0,90.0,0.0,0.0,1.0,0.0,0.0
Matías Dituro,2021-2022,es La Liga,144128,38,43.0,14,12,3420.0,1.0,0.0,1.132,0.368,0.316
Maxime Dupé,2022-2023,fr Ligue 1,127188,38,57.0,9,13,3420.0,2.0,0.0,1.5,0.237,0.342
