"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Erling Haaland"";""Manchester City"";31;2581;27;5;31.65;4.75;1.1;0.17;1.27;1.06;1.05;0.11",
"2;""Cole Palmer"";""Chelsea","Manchester City"";34;2640;22;11;17.83;11.87;0.61;0.4;1.01;0.78;1.06;0.52"
"3;""Alexander Isak"";""Newcastle United"";30;2305;21;2;22.07;3.65;0.86;0.14;1;0.83;0.94;0.22",
"4;""Dominic Solanke"";""Bournemouth"";38;3346;19;3;21.41;3.54;0.58;0.1;0.67;0.61;0.61;0.11",
"5;""Phil Foden"";""Manchester City"";35;2895;19;8;11.31;8.52;0.35;0.26;0.62;0.62;0.95;0.53",
"6;""Ollie Watkins"";""Aston Villa"";37;3250;19;13;19.26;7.75;0.53;0.21;0.75;0.75;0.81;0.16",
"7;""Mohamed Salah"";""Liverpool"";32;2556;18;10;21.94;12.33;0.77;0.43;1.21;1.02;1.12;0.29",
"8;""Son Heung-Min"";""Tottenham"";35;2989;17;10;12.98;13.34;0.39;0.4;0.79;0.75;0.91;0.31",
"9;""Jarrod Bowen"";""West Ham"";34;3026;16;6;13.5;6.44;0.4;0.19;0.59;0.59;0.53;0.07",
"10;""Jean-Philippe Mateta"";""Crystal Palace"";35;2303;16;5;12.29;3.53;0.48;0.14;0.62;0.56;0.61;0.11",
"11;""Bukayo Saka"";""Arsenal"";35;2990;16;8;16.81;11.33;0.51;0.34;0.85;0.71;0.91;0.4",
"12;""Chris Wood"";""Nottingham Forest"";31;1797;14;1;13.36;1.99;0.67;0.1;0.77;0.77;0.77;0.05",
"13;""Nicolas Jackson"";""Chelsea"";35;2818;14;5;19.86;5.28;0.63;0.17;0.8;0.8;0.89;0.23",
"14;""Kai Havertz"";""Arsenal"";37;2651;13;7;13.47;5.81;0.46;0.2;0.65;0.63;0.84;0.32",
"15;""Yoane Wissa"";""Brentford"";34;2556;12;3;11.17;3.83;0.39;0.13;0.53;0.53;0.58;0.16",
"16;""Matheus Cunha"";""Wolverhampton Wanderers"";32;2499;12;7;10.23;3.92;0.37;0.14;0.51;0.48;0.47;0.08",
"17;""Leandro Trossard"";""Arsenal"";34;1649;12;1;9.58;3.25;0.52;0.18;0.7;0.7;0.93;0.3",
"18;""Hee-Chan Hwang"";""Wolverhampton Wanderers"";29;2154;12;3;8.68;3.14;0.36;0.13;0.49;0.46;0.5;0.11",
"19;""Richarlison"";""Tottenham"";28;1511;11;4;9.62;1.97;0.57;0.12;0.69;0.69;0.76;0.14",
"20;""Anthony Gordon"";""Newcastle United"";35;2956;11;10;11.29;8.83;0.34;0.27;0.61;0.59;0.81;0.35",
"21;""Eberechi Eze"";""Crystal Palace"";27;2097;11;4;9.37;6.84;0.4;0.29;0.7;0.66;0.7;0.27",
"22;""Darwin Núñez"";""Liverpool"";36;2037;11;8;19.19;5.95;0.85;0.26;1.11;1.08;1.11;0.23",
"23;""Julián Álvarez"";""Manchester City"";36;2682;11;8;14.37;5.82;0.48;0.2;0.68;0.63;0.91;0.44",
"24;""Carlton Morris"";""Luton"";38;2879;11;4;12.31;3.69;0.38;0.12;0.5;0.38;0.39;0.16",
"25;""Bruno Fernandes"";""Manchester United"";35;3121;10;8;10.75;13.16;0.31;0.38;0.69;0.58;0.65;0.36",
"26;""Leon Bailey"";""Aston Villa"";35;2112;10;9;6.47;10.3;0.28;0.44;0.71;0.71;0.77;0.28",
"27;""Diogo Jota"";""Liverpool"";21;1164;10;3;6.72;3.2;0.52;0.25;0.77;0.77;0.95;0.41",
"28;""Michael Olise"";""Crystal Palace"";19;1281;10;6;5.69;5.2;0.4;0.37;0.76;0.71;0.85;0.35",
"29;""Rasmus Højlund"";""Manchester United"";30;2210;10;2;9.34;1.78;0.38;0.07;0.45;0.45;0.47;0.12",
"30;""Elijah Adebayo"";""Luton"";27;1422;10;0;6.63;0.81;0.42;0.05;0.47;0.47;0.52;0.12",
"31;""Callum Wilson"";""Newcastle United"";20;963;9;1;10.12;0.93;0.95;0.09;1.03;0.89;0.99;0.17",
"32;""Douglas Luiz"";""Aston Villa"";35;3043;9;5;7.57;5.29;0.22;0.16;0.38;0.29;0.51;0.4",
"33;""Bryan Mbeumo"";""Brentford"";25;1954;9;6;9.16;5.14;0.42;0.24;0.66;0.55;0.7;0.28",
"34;""João Pedro"";""Brighton"";31;2026;9;3;11.92;5.42;0.53;0.24;0.77;0.6;0.78;0.34",
"35;""Rodrigo Muniz"";""Fulham"";26;1602;9;1;8.48;1.39;0.48;0.08;0.55;0.55;0.55;0.12",
"36;""Raheem Sterling"";""Chelsea"";31;1987;8;4;8.57;4.97;0.39;0.23;0.61;0.61;0.87;0.4",
"37;""Rodri"";""Manchester City"";34;2967;8;9;4.29;5.33;0.13;0.16;0.29;0.29;0.96;0.8",
"38;""Martin Odegaard"";""Arsenal"";35;3117;8;10;7.67;11.58;0.22;0.33;0.56;0.51;0.86;0.52",
"39;""Callum Hudson-Odoi"";""Nottingham Forest"";29;1844;8;1;3.02;3.09;0.15;0.15;0.3;0.3;0.6;0.34",
"40;""Dejan Kulusevski"";""Tottenham"";36;2787;8;3;5.84;8.62;0.19;0.28;0.47;0.47;0.77;0.4",
"41;""Luis Díaz"";""Liverpool"";37;2706;8;5;12.86;6.48;0.43;0.22;0.64;0.64;0.81;0.34",
"42;""Cody Gakpo"";""Liverpool"";35;1640;8;5;8.77;4.23;0.48;0.23;0.71;0.71;0.96;0.36",
"43;""Antoine Semenyo"";""Bournemouth"";33;2141;8;2;6.42;3.8;0.27;0.16;0.43;0.43;0.65;0.24",
"44;""Mohammed Kudus"";""West Ham"";33;2490;8;6;5.18;3.51;0.19;0.13;0.31;0.31;0.42;0.16",
"45;""Marcus Rashford"";""Manchester United"";33;2292;7;2;7.66;2.39;0.3;0.09;0.39;0.33;0.5;0.19",
"46;""James Ward-Prowse"";""West Ham"";37;3025;7;7;5.64;8.11;0.17;0.24;0.41;0.36;0.36;0.21",
"47;""Abdoulaye Doucouré"";""Everton"";32;2678;7;1;10.2;2.55;0.34;0.09;0.43;0.43;0.45;0.18",
"48;""Odsonne Edouard"";""Crystal Palace"";30;1534;7;0;7.87;1.04;0.46;0.06;0.52;0.52;0.49;0.13",
"49;""Raúl Jiménez"";""Fulham"";24;1423;7;0;5.99;1.69;0.38;0.11;0.49;0.49;0.5;0.11",
"50;""Declan Rice"";""Arsenal"";38;3256;7;8;3.19;5.9;0.09;0.16;0.25;0.25;0.54;0.45",
"51;""Dominic Calvert-Lewin"";""Everton"";32;2234;7;2;13.63;3.07;0.55;0.12;0.67;0.61;0.47;0.07",
"52;""Scott McTominay"";""Manchester United"";32;1861;7;1;6.78;1.06;0.33;0.05;0.38;0.38;0.45;0.18",
"53;""Justin Kluivert"";""Bournemouth"";32;2029;7;1;7.3;1.67;0.32;0.07;0.4;0.4;0.52;0.2",
"54;""Tomas Soucek"";""West Ham"";37;2885;7;2;7.47;2.15;0.23;0.07;0.3;0.3;0.38;0.19",
"55;""Bruno Guimarães"";""Newcastle United"";37;3292;7;8;4.98;7.89;0.14;0.22;0.35;0.35;0.65;0.51",
"56;""Alejandro Garnacho"";""Manchester United"";36;2601;7;4;9.87;5.92;0.34;0.2;0.55;0.55;0.64;0.21",
"57;""Michail Antonio"";""West Ham"";26;1775;6;2;6.03;1.56;0.31;0.08;0.38;0.38;0.42;0.13",
"58;""Oliver McBurnie"";""Sheffield United"";21;1290;6;3;7.43;2.19;0.52;0.15;0.67;0.57;0.49;0.2",
"59;""Neal Maupay"";""Brentford","Everton"";31;1381;6;3;7.23;2.38;0.47;0.16;0.63;0.63;0.76;0.2"
"60;""Bernardo Silva"";""Manchester City"";33;2599;6;9;4.1;8.53;0.14;0.3;0.44;0.44;0.84;0.54",
"61;""Jacob Bruun Larsen"";""Burnley"";32;1272;6;0;5.29;1.45;0.37;0.1;0.48;0.42;0.52;0.18",
"62;""Moussa Diaby"";""Aston Villa"";38;2233;6;8;6.46;8.62;0.26;0.35;0.61;0.61;0.72;0.25",
"63;""Bobby Reid"";""Fulham"";33;1431;6;2;5.47;1.58;0.34;0.1;0.44;0.44;0.4;0.11",
"64;""Sean Longstaff"";""Newcastle United"";35;2748;6;2;7.08;3.02;0.23;0.1;0.33;0.33;0.56;0.33",
"65;""John McGinn"";""Aston Villa"";35;3053;6;4;4.67;5.63;0.14;0.17;0.3;0.3;0.61;0.41",
"66;""Gabriel Martinelli"";""Arsenal"";35;2056;6;4;7.12;5.32;0.31;0.23;0.54;0.54;0.74;0.29",
"67;""Taiwo Awoniyi"";""Nottingham Forest"";20;1066;6;3;5.06;1.63;0.43;0.14;0.56;0.56;0.51;0.13",
"68;""Evan Ferguson"";""Brighton"";27;1364;6;0;3.97;0.65;0.26;0.04;0.3;0.3;0.45;0.16",
"69;""Simon Adingra"";""Brighton"";31;2256;6;1;5.1;3.3;0.2;0.13;0.34;0.34;0.52;0.25",
"70;""Ben Brereton Díaz"";""Sheffield United"";14;1134;6;1;6.06;1.64;0.48;0.13;0.61;0.55;0.57;0.12",
"71;""Alex Iwobi"";""Everton","Fulham"";32;2398;5;2;5.66;4.81;0.21;0.18;0.39;0.39;0.62;0.32"
"72;""Danny Welbeck"";""Brighton"";29;1723;5;1;6.24;2.19;0.33;0.11;0.44;0.44;0.71;0.39",
"73;""Ross Barkley"";""Luton"";32;2627;5;4;4.48;4.82;0.15;0.17;0.32;0.32;0.38;0.2",
"74;""Eddie Nketiah"";""Arsenal"";27;1036;5;2;5.06;1.21;0.44;0.11;0.54;0.54;0.51;0.09",
"75;""Harvey Barnes"";""Newcastle United"";21;738;5;3;3.47;4.21;0.42;0.51;0.94;0.94;1.11;0.31",
"76;""Morgan Gibbs-White"";""Nottingham Forest"";37;3177;5;10;6.07;9.52;0.17;0.27;0.44;0.42;0.52;0.26",
"77;""Cristian Romero"";""Tottenham"";33;2796;5;0;3.99;0.34;0.13;0.01;0.14;0.14;0.57;0.53",
"78;""Lyle Foster"";""Burnley"";24;1938;5;3;5.61;1.5;0.26;0.07;0.33;0.33;0.4;0.12",
"79;""Alexis Mac Allister"";""Liverpool"";33;2661;5;5;4;3.58;0.14;0.12;0.26;0.23;0.77;0.62",
"80;""Conor Gallagher"";""Chelsea"";37;3171;5;7;4.72;5.79;0.13;0.16;0.3;0.3;0.74;0.53",
"81;""Anthony Elanga"";""Nottingham Forest"";36;2430;5;9;6.77;7.09;0.25;0.26;0.51;0.51;0.65;0.21",
"82;""Brennan Johnson"";""Nottingham Forest","Tottenham"";35;2350;5;10;12.17;7.64;0.47;0.29;0.76;0.76;0.83;0.12"
"83;""Mykhailo Mudryk"";""Chelsea"";31;1563;5;2;5.11;3.89;0.29;0.22;0.52;0.52;0.63;0.25",
"84;""Noni Madueke"";""Chelsea"";23;1066;5;2;3;2.16;0.25;0.18;0.44;0.37;0.66;0.4",
"85;""Jhon Durán"";""Aston Villa"";23;394;5;0;1.95;0.21;0.45;0.05;0.49;0.49;0.73;0.26",
"86;""Zeki Amdouni"";""Burnley"";34;2025;5;1;6.1;1.49;0.27;0.07;0.34;0.3;0.35;0.12",
"87;""Fabian Schär"";""Newcastle United"";36;3057;4;1;2.68;1.22;0.08;0.04;0.11;0.11;0.41;0.39",
"88;""Pascal Groß"";""Brighton"";36;3107;4;10;6.08;8.45;0.18;0.24;0.42;0.4;0.69;0.52",
