"number;""player"";""team"";""apps"";""min"";""goals"";""a"";""xG"";""xA"";""xG90"";""xA90"";""xG90xA90"";""NPxG90xA90"";""xGChain90"";""xGBuildup90""",
"1;""Erling Haaland"";""Manchester City"";35;2803;36;8;32.76;5.85;1.05;0.19;1.24;1.07;1.03;0.11",
"2;""Harry Kane"";""Tottenham"";38;3414;30;3;23.06;7.55;0.61;0.2;0.81;0.69;0.66;0.13",
"3;""Ivan Toney"";""Brentford"";33;2960;20;4;21.69;4.91;0.66;0.15;0.81;0.65;0.55;0.12",
"4;""Mohamed Salah"";""Liverpool"";38;3307;19;12;23.34;8.72;0.64;0.24;0.87;0.79;0.89;0.24",
"5;""Callum Wilson"";""Newcastle United"";31;1911;18;5;18.86;3.57;0.89;0.17;1.06;0.95;0.73;0.09",
"6;""Marcus Rashford"";""Manchester United"";35;2907;17;5;18.76;3.74;0.58;0.12;0.7;0.7;0.94;0.3",
"7;""Martin Odegaard"";""Arsenal"";37;3203;15;7;9.14;9.21;0.26;0.26;0.52;0.52;0.78;0.42",
"8;""Gabriel Martinelli"";""Arsenal"";36;2851;15;5;10.54;9.35;0.33;0.3;0.63;0.63;0.79;0.29",
"9;""Ollie Watkins"";""Aston Villa"";37;3150;15;6;17.49;3.67;0.5;0.1;0.6;0.56;0.63;0.16",
"10;""Aleksandar Mitrovic"";""Fulham"";24;2022;14;1;16.18;2.33;0.72;0.1;0.82;0.55;0.53;0.11",
"11;""Bukayo Saka"";""Arsenal"";38;3216;14;11;11.3;7.04;0.32;0.2;0.51;0.45;0.66;0.32",
"12;""Rodrigo"";""Leeds"";31;1955;13;1;8.57;2.3;0.39;0.11;0.5;0.47;0.5;0.16",
"13;""Harvey Barnes"";""Leicester"";34;2738;13;1;9.12;3.11;0.3;0.1;0.4;0.4;0.48;0.12",
"14;""Roberto Firmino"";""Liverpool"";25;1203;11;4;8.12;3.05;0.61;0.23;0.84;0.84;1.04;0.5",
"15;""Gabriel Jesus"";""Arsenal"";26;2107;11;6;16.17;4.24;0.69;0.18;0.87;0.84;0.96;0.3",
"16;""Phil Foden"";""Manchester City"";32;1837;11;6;6.19;5.7;0.3;0.28;0.58;0.58;0.85;0.4",
"17;""Miguel Almirón"";""Newcastle United"";34;2550;11;2;8.73;2.96;0.31;0.1;0.41;0.41;0.51;0.2",
"18;""Son Heung-Min"";""Tottenham"";36;2920;10;6;9.6;6.33;0.3;0.2;0.49;0.49;0.54;0.18",
"19;""Alexander Isak"";""Newcastle United"";22;1530;10;1;8.78;1.77;0.52;0.1;0.62;0.53;0.66;0.17",
